Tiempo(s)	Amplitud(mm)
# npts=18501
# fs=50.0000 Hz
# duracion=370.0000 s

0.000000	-0.000038
0.020000	-0.000039
0.040000	-0.000042
0.060000	-0.000052
0.080000	-0.000069
0.100000	-0.000094
0.120000	-0.000129
0.140000	-0.000175
0.160000	-0.000230
0.180000	-0.000295
0.200000	-0.000369
0.220000	-0.000453
0.240000	-0.000546
0.260000	-0.000646
0.280000	-0.000754
0.300000	-0.000868
0.320000	-0.000989
0.340000	-0.001115
0.360000	-0.001245
0.380000	-0.001380
0.400000	-0.001519
0.420000	-0.001660
0.440000	-0.001805
0.460000	-0.001952
0.480000	-0.002100
0.500000	-0.002251
0.520000	-0.002402
0.540000	-0.002555
0.560000	-0.002709
0.580000	-0.002863
0.600000	-0.003018
0.620000	-0.003173
0.640000	-0.003329
0.660000	-0.003485
0.680000	-0.003640
0.700000	-0.003796
0.720000	-0.003952
0.740000	-0.004108
0.760000	-0.004263
0.780000	-0.004419
0.800000	-0.004574
0.820000	-0.004730
0.840000	-0.004885
0.860000	-0.005040
0.880000	-0.005195
0.900000	-0.005350
0.920000	-0.005504
0.940000	-0.005659
0.960000	-0.005813
0.980000	-0.005968
1.000000	-0.006122
1.020000	-0.006276
1.040000	-0.006430
1.060000	-0.006584
1.080000	-0.006737
1.100000	-0.006891
1.120000	-0.007044
1.140000	-0.007197
1.160000	-0.007350
1.180000	-0.007503
1.200000	-0.007656
1.220000	-0.007809
1.240000	-0.007961
1.260000	-0.008114
1.280000	-0.008266
1.300000	-0.008418
1.320000	-0.008570
1.340000	-0.008721
1.360000	-0.008873
1.380000	-0.009024
1.400000	-0.009175
1.420000	-0.009326
1.440000	-0.009476
1.460000	-0.009626
1.480000	-0.009778
1.500000	-0.009928
1.520000	-0.010074
1.540000	-0.010224
1.560000	-0.010374
1.580000	-0.010522
1.600000	-0.010672
1.620000	-0.010820
1.640000	-0.010967
1.660000	-0.011115
1.680000	-0.011262
1.700000	-0.011409
1.720000	-0.011556
1.740000	-0.011702
1.760000	-0.011848
1.780000	-0.011994
1.800000	-0.012139
1.820000	-0.012284
1.840000	-0.012429
1.860000	-0.012575
1.880000	-0.012718
1.900000	-0.012863
1.920000	-0.013004
1.940000	-0.013148
1.960000	-0.013288
1.980000	-0.013431
2.000000	-0.013570
2.020000	-0.013715
2.040000	-0.013879
2.060000	-0.013992
2.080000	-0.014108
2.100000	-0.014263
2.120000	-0.014408
2.140000	-0.014554
2.160000	-0.014685
2.180000	-0.014818
2.200000	-0.014954
2.220000	-0.015090
2.240000	-0.015226
2.260000	-0.015356
2.280000	-0.015492
2.300000	-0.015625
2.320000	-0.015760
2.340000	-0.015897
2.360000	-0.016039
2.380000	-0.016173
2.400000	-0.016309
2.420000	-0.016447
2.440000	-0.016566
2.460000	-0.016692
2.480000	-0.016794
2.500000	-0.016931
2.520000	-0.017032
2.540000	-0.017199
2.560000	-0.017405
2.580000	-0.017376
2.600000	-0.017485
2.620000	-0.017674
2.640000	-0.017777
2.660000	-0.017929
2.680000	-0.018022
2.700000	-0.018148
2.720000	-0.018281
2.740000	-0.018414
2.760000	-0.018535
2.780000	-0.018635
2.800000	-0.018750
2.820000	-0.018848
2.840000	-0.018979
2.860000	-0.019107
2.880000	-0.019224
2.900000	-0.019335
2.920000	-0.019468
2.940000	-0.019612
2.960000	-0.019707
2.980000	-0.019802
3.000000	-0.019880
3.020000	-0.020022
3.040000	-0.020064
3.060000	-0.020184
3.080000	-0.020540
3.100000	-0.020373
3.120000	-0.020180
3.140000	-0.020510
3.160000	-0.020765
3.180000	-0.020834
3.200000	-0.020859
3.220000	-0.020937
3.240000	-0.021022
3.260000	-0.021122
3.280000	-0.021230
3.300000	-0.021327
3.320000	-0.021411
3.340000	-0.021505
3.360000	-0.021622
3.380000	-0.021767
3.400000	-0.021866
3.420000	-0.021980
3.440000	-0.022088
3.460000	-0.022098
3.480000	-0.022217
3.500000	-0.022252
3.520000	-0.022364
3.540000	-0.022406
3.560000	-0.022561
3.580000	-0.022570
3.600000	-0.022689
3.620000	-0.023373
3.640000	-0.022674
3.660000	-0.022266
3.680000	-0.022922
3.700000	-0.023125
3.720000	-0.023308
3.740000	-0.023146
3.760000	-0.023098
3.780000	-0.023266
3.800000	-0.023318
3.820000	-0.023372
3.840000	-0.023453
3.860000	-0.023500
3.880000	-0.023528
3.900000	-0.023645
3.920000	-0.023808
3.940000	-0.023866
3.960000	-0.024037
3.980000	-0.024160
4.000000	-0.024092
4.020000	-0.024115
4.040000	-0.024158
4.060000	-0.024243
4.080000	-0.024108
4.100000	-0.025119
4.120000	-0.024951
4.140000	-0.023411
4.160000	-0.023949
4.180000	-0.024175
4.200000	-0.024240
4.220000	-0.024647
4.240000	-0.024715
4.260000	-0.024850
4.280000	-0.024669
4.300000	-0.024668
4.320000	-0.024630
4.340000	-0.024750
4.360000	-0.024954
4.380000	-0.024854
4.400000	-0.024738
4.420000	-0.024806
4.440000	-0.024858
4.460000	-0.024844
4.480000	-0.025039
4.500000	-0.025286
4.520000	-0.025436
4.540000	-0.025577
4.560000	-0.025676
4.580000	-0.025676
4.600000	-0.025352
4.620000	-0.025491
4.640000	-0.025761
4.660000	-0.025130
4.680000	-0.024771
4.700000	-0.024710
4.720000	-0.024817
4.740000	-0.024985
4.760000	-0.025194
4.780000	-0.025332
4.800000	-0.025137
4.820000	-0.025185
4.840000	-0.025024
4.860000	-0.024738
4.880000	-0.024768
4.900000	-0.024843
4.920000	-0.024877
4.940000	-0.024925
4.960000	-0.024724
4.980000	-0.024746
5.000000	-0.024927
5.020000	-0.025644
5.040000	-0.025607
5.060000	-0.025808
5.080000	-0.025925
5.100000	-0.025597
5.120000	-0.025645
5.140000	-0.024454
5.160000	-0.028209
5.180000	-0.026940
5.200000	-0.021812
5.220000	-0.024346
5.240000	-0.025009
5.260000	-0.025302
5.280000	-0.024673
5.300000	-0.023707
5.320000	-0.023865
5.340000	-0.023152
5.360000	-0.023821
5.380000	-0.024059
5.400000	-0.024501
5.420000	-0.025021
5.440000	-0.025434
5.460000	-0.025574
5.480000	-0.025863
5.500000	-0.025911
5.520000	-0.025843
5.540000	-0.025416
5.560000	-0.024946
5.580000	-0.024826
5.600000	-0.024601
5.620000	-0.024529
5.640000	-0.023561
5.660000	-0.024321
5.680000	-0.023634
5.700000	-0.026200
5.720000	-0.028335
5.740000	-0.021543
5.760000	-0.021646
5.780000	-0.026382
5.800000	-0.026017
5.820000	-0.023782
5.840000	-0.022744
5.860000	-0.023007
5.880000	-0.022818
5.900000	-0.023482
5.920000	-0.023970
5.940000	-0.023513
5.960000	-0.023082
5.980000	-0.023075
6.000000	-0.023112
6.020000	-0.023841
6.040000	-0.024284
6.060000	-0.024960
6.080000	-0.024964
6.100000	-0.025099
6.120000	-0.024751
6.140000	-0.023650
6.160000	-0.023144
6.180000	-0.022519
6.200000	-0.027857
6.220000	-0.024578
6.240000	-0.018995
6.260000	-0.023872
6.280000	-0.022820
6.300000	-0.021772
6.320000	-0.022460
6.340000	-0.022332
6.360000	-0.022270
6.380000	-0.021541
6.400000	-0.021731
6.420000	-0.021493
6.440000	-0.021585
6.460000	-0.021203
6.480000	-0.021078
6.500000	-0.020996
6.520000	-0.021395
6.540000	-0.022151
6.560000	-0.023657
6.580000	-0.024138
6.600000	-0.024579
6.620000	-0.023624
6.640000	-0.022511
6.660000	-0.021688
6.680000	-0.021333
6.700000	-0.022913
6.720000	-0.019831
6.740000	-0.027518
6.760000	-0.027390
6.780000	-0.013552
6.800000	-0.016710
6.820000	-0.021054
6.840000	-0.021014
6.860000	-0.020863
6.880000	-0.019922
6.900000	-0.019877
6.920000	-0.020168
6.940000	-0.021628
6.960000	-0.021479
6.980000	-0.020530
7.000000	-0.019786
7.020000	-0.019767
7.040000	-0.019391
7.060000	-0.019852
7.080000	-0.020672
7.100000	-0.020068
7.120000	-0.019582
7.140000	-0.018934
7.160000	-0.017368
7.180000	-0.018015
7.200000	-0.016683
7.220000	-0.021915
7.240000	-0.023744
7.260000	-0.008829
7.280000	-0.008290
7.300000	-0.015860
7.320000	-0.018659
7.340000	-0.018704
7.360000	-0.015524
7.380000	-0.015997
7.400000	-0.014892
7.420000	-0.015814
7.440000	-0.016702
7.460000	-0.016925
7.480000	-0.016914
7.500000	-0.017217
7.520000	-0.017948
7.540000	-0.017933
7.560000	-0.019195
7.580000	-0.019433
7.600000	-0.021243
7.620000	-0.019373
7.640000	-0.018102
7.660000	-0.014920
7.680000	-0.015241
7.700000	-0.013840
7.720000	-0.014832
7.740000	-0.028908
7.760000	-0.011250
7.780000	-0.000408
7.800000	-0.013765
7.820000	-0.013864
7.840000	-0.017398
7.860000	-0.016532
7.880000	-0.015086
7.900000	-0.014938
7.920000	-0.013093
7.940000	-0.012660
7.960000	-0.012174
7.980000	-0.012042
8.000000	-0.010864
8.020000	-0.013024
8.040000	-0.014429
8.060000	-0.015470
8.080000	-0.016400
8.100000	-0.017582
8.120000	-0.018426
8.140000	-0.016007
8.160000	-0.014151
8.180000	-0.013951
8.200000	-0.013370
8.220000	-0.012904
8.240000	-0.010654
8.260000	-0.020288
8.280000	-0.022802
8.300000	-0.001890
8.320000	0.002803
8.340000	-0.003630
8.360000	-0.010062
8.380000	-0.011109
8.400000	-0.005040
