Tiempo(s)	Amplitud(mm)
# npts=37001
# fs=100.0000 Hz
# duracion=370.0000 s

0.000000	0.000005
0.010000	0.000005
0.020000	0.000005
0.030000	0.000005
0.040000	0.000006
0.050000	0.000006
0.060000	0.000008
0.070000	0.000009
0.080000	0.000011
0.090000	0.000013
0.100000	0.000016
0.110000	0.000020
0.120000	0.000024
0.130000	0.000028
0.140000	0.000033
0.150000	0.000038
0.160000	0.000044
0.170000	0.000051
0.180000	0.000058
0.190000	0.000065
0.200000	0.000073
0.210000	0.000081
0.220000	0.000090
0.230000	0.000100
0.240000	0.000109
0.250000	0.000119
0.260000	0.000130
0.270000	0.000141
0.280000	0.000152
0.290000	0.000164
0.300000	0.000176
0.310000	0.000188
0.320000	0.000200
0.330000	0.000213
0.340000	0.000226
0.350000	0.000239
0.360000	0.000253
0.370000	0.000267
0.380000	0.000281
0.390000	0.000295
0.400000	0.000309
0.410000	0.000323
0.420000	0.000338
0.430000	0.000353
0.440000	0.000368
0.450000	0.000382
0.460000	0.000397
0.470000	0.000412
0.480000	0.000428
0.490000	0.000443
0.500000	0.000458
0.510000	0.000474
0.520000	0.000489
0.530000	0.000505
0.540000	0.000520
0.550000	0.000536
0.560000	0.000552
0.570000	0.000567
0.580000	0.000583
0.590000	0.000599
0.600000	0.000614
0.610000	0.000630
0.620000	0.000646
0.630000	0.000661
0.640000	0.000677
0.650000	0.000693
0.660000	0.000709
0.670000	0.000724
0.680000	0.000740
0.690000	0.000756
0.700000	0.000772
0.710000	0.000787
0.720000	0.000803
0.730000	0.000819
0.740000	0.000834
0.750000	0.000850
0.760000	0.000866
0.770000	0.000881
0.780000	0.000897
0.790000	0.000912
0.800000	0.000928
0.810000	0.000944
0.820000	0.000959
0.830000	0.000975
0.840000	0.000990
0.850000	0.001006
0.860000	0.001021
0.870000	0.001037
0.880000	0.001052
0.890000	0.001068
0.900000	0.001083
0.910000	0.001099
0.920000	0.001114
0.930000	0.001129
0.940000	0.001145
0.950000	0.001160
0.960000	0.001176
0.970000	0.001191
0.980000	0.001206
0.990000	0.001221
1.000000	0.001237
1.010000	0.001252
1.020000	0.001267
1.030000	0.001283
1.040000	0.001298
1.050000	0.001313
1.060000	0.001328
1.070000	0.001343
1.080000	0.001359
1.090000	0.001374
1.100000	0.001389
1.110000	0.001404
1.120000	0.001419
1.130000	0.001434
1.140000	0.001450
1.150000	0.001464
1.160000	0.001480
1.170000	0.001495
1.180000	0.001510
1.190000	0.001525
1.200000	0.001540
1.210000	0.001555
1.220000	0.001570
1.230000	0.001585
1.240000	0.001600
1.250000	0.001614
1.260000	0.001630
