Tiempo(s)	Amplitud(mm)
# npts=14786
# fs=50.0000 Hz
# duracion=295.7000 s

0.000000	0.000152
0.020000	0.000158
0.040000	0.000190
0.060000	0.000272
0.080000	0.000419
0.100000	0.000642
0.120000	0.000946
0.140000	0.001337
0.160000	0.001815
0.180000	0.002378
0.200000	0.003023
0.220000	0.003748
0.240000	0.004545
0.260000	0.005412
0.280000	0.006341
0.300000	0.007327
0.320000	0.008364
0.340000	0.009447
0.360000	0.010569
0.380000	0.011728
0.400000	0.012916
0.420000	0.014130
0.440000	0.015366
0.460000	0.016621
0.480000	0.017891
0.500000	0.019174
0.520000	0.020465
0.540000	0.021765
0.560000	0.023070
0.580000	0.024379
0.600000	0.025691
0.620000	0.027004
0.640000	0.028316
0.660000	0.029629
0.680000	0.030940
0.700000	0.032250
0.720000	0.033556
0.740000	0.034861
0.760000	0.036162
0.780000	0.037461
0.800000	0.038755
0.820000	0.040047
0.840000	0.041335
0.860000	0.042620
0.880000	0.043900
0.900000	0.045177
0.920000	0.046451
0.940000	0.047721
0.960000	0.048986
0.980000	0.050249
1.000000	0.051507
1.020000	0.052763
1.040000	0.054013
1.060000	0.055261
1.080000	0.056504
1.100000	0.057744
1.120000	0.058980
1.140000	0.060213
1.160000	0.061440
1.180000	0.062664
1.200000	0.063884
1.220000	0.065100
1.240000	0.066310
1.260000	0.067519
1.280000	0.068722
1.300000	0.069920
1.320000	0.071114
1.340000	0.072305
1.360000	0.073488
1.380000	0.074668
1.400000	0.075846
1.420000	0.077015
1.440000	0.078177
1.460000	0.079340
1.480000	0.080495
1.500000	0.081639
1.520000	0.082782
1.540000	0.083924
1.560000	0.085052
1.580000	0.086180
1.600000	0.087308
1.620000	0.088421
1.640000	0.089526
1.660000	0.090634
1.680000	0.091731
1.700000	0.092812
1.720000	0.093898
1.740000	0.094986
1.760000	0.096050
1.780000	0.097114
1.800000	0.098185
1.820000	0.099233
1.840000	0.100271
1.860000	0.101320
1.880000	0.102354
1.900000	0.103364
1.920000	0.104385
1.940000	0.105404
1.960000	0.106390
1.980000	0.107385
2.000000	0.108394
2.020000	0.109367
2.040000	0.110327
2.060000	0.111314
2.080000	0.112273
2.100000	0.113202
2.120000	0.114157
2.140000	0.115099
2.160000	0.115992
2.180000	0.116916
2.200000	0.117855
2.220000	0.118733
2.240000	0.119608
2.260000	0.120532
2.280000	0.121409
2.300000	0.122237
2.320000	0.123131
2.340000	0.124010
2.360000	0.124814
2.380000	0.125667
2.400000	0.126543
2.420000	0.127347
2.440000	0.128139
2.460000	0.128992
2.480000	0.129784
2.500000	0.130513
2.520000	0.131318
2.540000	0.132088
2.560000	0.132783
2.580000	0.133559
2.600000	0.134359
2.620000	0.135074
2.640000	0.135754
2.660000	0.136501
2.680000	0.137207
2.700000	0.137832
2.720000	0.138575
2.740000	0.139310
2.760000	0.139928
2.780000	0.140597
2.800000	0.141309
2.820000	0.141924
2.840000	0.142472
2.860000	0.143157
2.880000	0.143823
2.900000	0.144281
2.920000	0.144903
2.940000	0.145660
2.960000	0.146158
2.980000	0.146676
3.000000	0.147368
3.020000	0.147889
3.040000	0.148230
3.060000	0.148815
3.080000	0.149444
3.100000	0.149781
3.120000	0.150248
3.140000	0.150887
3.160000	0.151272
3.180000	0.151645
3.200000	0.152328
3.220000	0.152763
3.240000	0.153026
3.260000	0.153668
3.280000	0.154167
3.300000	0.154298
3.320000	0.154687
3.340000	0.155348
3.360000	0.155500
3.380000	0.155603
3.400000	0.156333
3.420000	0.156697
3.440000	0.156631
3.460000	0.157215
3.480000	0.157763
3.500000	0.157606
3.520000	0.157887
3.540000	0.158479
3.560000	0.158405
3.580000	0.158344
3.600000	0.158959
3.620000	0.159284
3.640000	0.158919
3.660000	0.159400
3.680000	0.160134
3.700000	0.159667
3.720000	0.159821
3.740000	0.160630
3.760000	0.160220
3.780000	0.160044
3.800000	0.160845
3.820000	0.160695
3.840000	0.160076
3.860000	0.160741
3.880000	0.160961
3.900000	0.160028
3.920000	0.160327
3.940000	0.161095
3.960000	0.160465
3.980000	0.160227
4.000000	0.160972
4.020000	0.160495
4.040000	0.159720
