Tiempo(s)	Amplitud(mm)
# npts=14298
# fs=50.0000 Hz
# duracion=285.9400 s

0.000000	0.000000
0.020000	0.000000
0.040000	0.000000
0.060000	0.000001
0.080000	0.000001
0.100000	0.000001
0.120000	0.000002
0.140000	0.000003
0.160000	0.000004
0.180000	0.000005
0.200000	0.000007
0.220000	0.000008
0.240000	0.000010
0.260000	0.000012
0.280000	0.000014
0.300000	0.000016
0.320000	0.000019
0.340000	0.000021
0.360000	0.000024
0.380000	0.000026
0.400000	0.000029
0.420000	0.000032
0.440000	0.000034
0.460000	0.000037
0.480000	0.000040
0.500000	0.000043
0.520000	0.000046
0.540000	0.000049
0.560000	0.000052
0.580000	0.000055
0.600000	0.000058
0.620000	0.000062
0.640000	0.000065
0.660000	0.000068
0.680000	0.000071
0.700000	0.000074
0.720000	0.000077
0.740000	0.000080
0.760000	0.000083
0.780000	0.000087
0.800000	0.000090
0.820000	0.000093
0.840000	0.000096
0.860000	0.000099
0.880000	0.000102
0.900000	0.000106
0.920000	0.000109
0.940000	0.000112
0.960000	0.000115
0.980000	0.000119
1.000000	0.000122
1.020000	0.000125
1.040000	0.000128
1.060000	0.000132
1.080000	0.000135
1.100000	0.000138
1.120000	0.000141
1.140000	0.000145
1.160000	0.000148
1.180000	0.000152
1.200000	0.000155
1.220000	0.000159
1.240000	0.000162
1.260000	0.000165
1.280000	0.000168
1.300000	0.000172
1.320000	0.000174
1.340000	0.000178
1.360000	0.000181
1.380000	0.000185
1.400000	0.000188
1.420000	0.000191
1.440000	0.000194
1.460000	0.000198
1.480000	0.000203
1.500000	0.000206
1.520000	0.000210
1.540000	0.000213
1.560000	0.000217
1.580000	0.000221
1.600000	0.000223
1.620000	0.000224
1.640000	0.000227
1.660000	0.000231
1.680000	0.000236
1.700000	0.000240
1.720000	0.000243
1.740000	0.000247
1.760000	0.000251
1.780000	0.000255
1.800000	0.000258
1.820000	0.000261
1.840000	0.000262
1.860000	0.000264
1.880000	0.000268
1.900000	0.000272
1.920000	0.000276
1.940000	0.000282
1.960000	0.000285
1.980000	0.000285
2.000000	0.000287
2.020000	0.000289
2.040000	0.000290
2.060000	0.000293
2.080000	0.000294
2.100000	0.000290
2.120000	0.000287
2.140000	0.000288
2.160000	0.000291
2.180000	0.000294
2.200000	0.000291
2.220000	0.000290
2.240000	0.000284
2.260000	0.000277
2.280000	0.000274
2.300000	0.000274
2.320000	0.000273
2.340000	0.000261
2.360000	0.000249
2.380000	0.000239
2.400000	0.000226
2.420000	0.000223
2.440000	0.000220
2.460000	0.000206
2.480000	0.000185
2.500000	0.000167
2.520000	0.000165
2.540000	0.000167
2.560000	0.000147
2.580000	0.000123
2.600000	0.000115
2.620000	0.000114
2.640000	0.000106
2.660000	0.000090
2.680000	0.000075
2.700000	0.000074
2.720000	0.000071
2.740000	0.000048
2.760000	0.000024
2.780000	0.000022
2.800000	0.000039
2.820000	0.000057
2.840000	0.000063
2.860000	0.000055
2.880000	0.000044
2.900000	0.000056
2.920000	0.000086
2.940000	0.000124
2.960000	0.000147
2.980000	0.000134
3.000000	0.000128
3.020000	0.000145
3.040000	0.000149
3.060000	0.000150
3.080000	0.000164
3.100000	0.000167
3.120000	0.000135
3.140000	0.000091
3.160000	0.000078
3.180000	0.000093
3.200000	0.000078
3.220000	0.000036
3.240000	0.000008
3.260000	-0.000023
3.280000	-0.000053
3.300000	-0.000065
3.320000	-0.000115
3.340000	-0.000196
3.360000	-0.000194
3.380000	-0.000142
3.400000	-0.000150
3.420000	-0.000176
3.440000	-0.000172
3.460000	-0.000206
