Tiempo(s)	Amplitud(mm)
# npts=14535
# fs=50.0000 Hz
# duracion=290.6800 s

0.000000	0.000000
0.020000	0.000000
0.040000	0.000000
0.060000	0.000000
0.080000	0.000000
0.100000	0.000000
0.120000	0.000000
0.140000	0.000000
0.160000	0.000000
0.180000	0.000000
0.200000	0.000001
0.220000	0.000001
0.240000	0.000001
0.260000	0.000001
0.280000	0.000001
0.300000	0.000001
0.320000	0.000001
0.340000	0.000001
0.360000	0.000002
0.380000	0.000002
0.400000	0.000002
0.420000	0.000002
0.440000	0.000002
0.460000	0.000002
0.480000	0.000003
0.500000	0.000003
0.520000	0.000003
0.540000	0.000003
0.560000	0.000003
0.580000	0.000003
0.600000	0.000004
0.620000	0.000004
0.640000	0.000004
0.660000	0.000004
0.680000	0.000005
0.700000	0.000005
0.720000	0.000005
0.740000	0.000005
0.760000	0.000005
0.780000	0.000005
0.800000	0.000006
0.820000	0.000006
0.840000	0.000006
0.860000	0.000006
0.880000	0.000006
0.900000	0.000007
0.920000	0.000007
0.940000	0.000007
0.960000	0.000007
0.980000	0.000007
1.000000	0.000008
1.020000	0.000008
1.040000	0.000008
1.060000	0.000008
1.080000	0.000008
1.100000	0.000008
1.120000	0.000008
1.140000	0.000009
1.160000	0.000009
1.180000	0.000010
1.200000	0.000011
1.220000	0.000011
1.240000	0.000011
1.260000	0.000011
1.280000	0.000010
1.300000	0.000010
1.320000	0.000010
1.340000	0.000011
1.360000	0.000011
1.380000	0.000012
1.400000	0.000013
1.420000	0.000013
1.440000	0.000013
1.460000	0.000013
1.480000	0.000013
1.500000	0.000013
1.520000	0.000011
1.540000	0.000009
1.560000	0.000008
1.580000	0.000008
1.600000	0.000008
1.620000	0.000009
1.640000	0.000010
1.660000	0.000013
1.680000	0.000017
1.700000	0.000020
1.720000	0.000023
1.740000	0.000024
1.760000	0.000023
1.780000	0.000022
1.800000	0.000025
1.820000	0.000029
1.840000	0.000034
1.860000	0.000038
1.880000	0.000040
1.900000	0.000041
1.920000	0.000039
1.940000	0.000038
1.960000	0.000039
1.980000	0.000037
2.000000	0.000034
2.020000	0.000030
2.040000	0.000021
2.060000	0.000011
2.080000	0.000005
2.100000	-0.000001
2.120000	-0.000003
2.140000	0.000002
2.160000	0.000007
2.180000	0.000012
2.200000	0.000020
2.220000	0.000021
2.240000	0.000013
2.260000	0.000009
2.280000	0.000004
2.300000	0.000000
2.320000	0.000008
2.340000	0.000024
2.360000	0.000048
2.380000	0.000080
2.400000	0.000111
2.420000	0.000135
2.440000	0.000144
2.460000	0.000149
2.480000	0.000146
2.500000	0.000137
2.520000	0.000132
2.540000	0.000117
2.560000	0.000108
2.580000	0.000097
2.600000	0.000074
2.620000	0.000052
2.640000	0.000043
2.660000	0.000052
2.680000	0.000069
2.700000	0.000088
2.720000	0.000101
2.740000	0.000120
2.760000	0.000152
2.780000	0.000149
2.800000	0.000126
2.820000	0.000112
2.840000	0.000109
2.860000	0.000128
2.880000	0.000167
2.900000	0.000264
2.920000	0.000393
2.940000	0.000500
2.960000	0.000604
2.980000	0.000671
3.000000	0.000661
3.020000	0.000601
3.040000	0.000516
3.060000	0.000450
3.080000	0.000395
3.100000	0.000337
3.120000	0.000307
3.140000	0.000336
3.160000	0.000443
3.180000	0.000530
3.200000	0.000598
3.220000	0.000668
3.240000	0.000605
3.260000	0.000484
3.280000	0.000436
3.300000	0.000343
3.320000	0.000242
3.340000	0.000261
3.360000	0.000425
3.380000	0.000669
3.400000	0.000874
3.420000	0.001130
3.440000	0.001400
3.460000	0.001627
3.480000	0.001817
3.500000	0.001905
3.520000	0.001994
3.540000	0.002051
3.560000	0.002127
3.580000	0.002306
3.600000	0.002439
3.620000	0.002542
3.640000	0.002620
3.660000	0.002583
3.680000	0.002414
3.700000	0.002135
3.720000	0.001989
3.740000	0.002075
3.760000	0.002220
3.780000	0.002354
3.800000	0.002443
3.820000	0.002421
3.840000	0.002176
3.860000	0.001892
3.880000	0.001784
3.900000	0.001813
