Tiempo(s)	Amplitud(mm)
# npts=18501
# fs=50.0000 Hz
# duracion=370.0000 s

0.000000	-0.000001
0.020000	-0.000000
0.040000	-0.000001
0.060000	-0.000001
0.080000	-0.000001
0.100000	-0.000002
0.120000	-0.000003
0.140000	-0.000003
0.160000	-0.000005
0.180000	-0.000006
0.200000	-0.000008
0.220000	-0.000009
0.240000	-0.000011
0.260000	-0.000013
0.280000	-0.000016
0.300000	-0.000018
0.320000	-0.000021
0.340000	-0.000023
0.360000	-0.000026
0.380000	-0.000029
0.400000	-0.000032
0.420000	-0.000035
0.440000	-0.000038
0.460000	-0.000041
0.480000	-0.000044
0.500000	-0.000047
0.520000	-0.000051
0.540000	-0.000053
0.560000	-0.000057
0.580000	-0.000060
0.600000	-0.000063
0.620000	-0.000066
0.640000	-0.000070
0.660000	-0.000073
0.680000	-0.000077
0.700000	-0.000079
0.720000	-0.000083
0.740000	-0.000086
0.760000	-0.000090
0.780000	-0.000093
0.800000	-0.000096
0.820000	-0.000099
0.840000	-0.000103
0.860000	-0.000106
0.880000	-0.000109
0.900000	-0.000112
0.920000	-0.000116
0.940000	-0.000118
0.960000	-0.000122
0.980000	-0.000125
1.000000	-0.000128
1.020000	-0.000131
1.040000	-0.000135
1.060000	-0.000138
1.080000	-0.000141
1.100000	-0.000144
1.120000	-0.000148
1.140000	-0.000151
1.160000	-0.000154
1.180000	-0.000157
1.200000	-0.000160
1.220000	-0.000163
1.240000	-0.000167
1.260000	-0.000170
1.280000	-0.000173
1.300000	-0.000176
1.320000	-0.000180
1.340000	-0.000182
1.360000	-0.000186
1.380000	-0.000189
1.400000	-0.000192
1.420000	-0.000195
1.440000	-0.000199
1.460000	-0.000202
1.480000	-0.000205
1.500000	-0.000208
1.520000	-0.000212
1.540000	-0.000215
1.560000	-0.000218
1.580000	-0.000221
1.600000	-0.000225
1.620000	-0.000228
1.640000	-0.000231
1.660000	-0.000234
1.680000	-0.000238
1.700000	-0.000241
1.720000	-0.000245
1.740000	-0.000248
1.760000	-0.000252
1.780000	-0.000255
1.800000	-0.000259
1.820000	-0.000262
1.840000	-0.000266
1.860000	-0.000270
1.880000	-0.000274
1.900000	-0.000278
1.920000	-0.000282
1.940000	-0.000285
1.960000	-0.000290
1.980000	-0.000293
2.000000	-0.000297
2.020000	-0.000301
2.040000	-0.000305
2.060000	-0.000309
2.080000	-0.000314
2.100000	-0.000318
2.120000	-0.000323
2.140000	-0.000327
2.160000	-0.000332
2.180000	-0.000335
2.200000	-0.000340
2.220000	-0.000345
2.240000	-0.000350
2.260000	-0.000354
2.280000	-0.000359
2.300000	-0.000364
2.320000	-0.000369
2.340000	-0.000374
2.360000	-0.000379
2.380000	-0.000384
2.400000	-0.000388
2.420000	-0.000392
2.440000	-0.000398
2.460000	-0.000402
2.480000	-0.000407
2.500000	-0.000412
2.520000	-0.000418
2.540000	-0.000422
2.560000	-0.000426
2.580000	-0.000429
2.600000	-0.000433
2.620000	-0.000437
2.640000	-0.000442
2.660000	-0.000447
2.680000	-0.000449
2.700000	-0.000451
2.720000	-0.000454
2.740000	-0.000456
2.760000	-0.000459
2.780000	-0.000460
2.800000	-0.000463
2.820000	-0.000465
2.840000	-0.000468
2.860000	-0.000469
2.880000	-0.000471
2.900000	-0.000471
2.920000	-0.000472
2.940000	-0.000473
2.960000	-0.000472
2.980000	-0.000469
3.000000	-0.000470
3.020000	-0.000470
3.040000	-0.000472
3.060000	-0.000472
3.080000	-0.000471
3.100000	-0.000469
3.120000	-0.000468
3.140000	-0.000464
3.160000	-0.000458
3.180000	-0.000455
3.200000	-0.000457
3.220000	-0.000457
3.240000	-0.000453
3.260000	-0.000445
3.280000	-0.000440
3.300000	-0.000437
3.320000	-0.000431
3.340000	-0.000424
3.360000	-0.000414
3.380000	-0.000399
3.400000	-0.000389
3.420000	-0.000384
3.440000	-0.000378
3.460000	-0.000372
3.480000	-0.000361
3.500000	-0.000353
3.520000	-0.000343
3.540000	-0.000326
3.560000	-0.000324
3.580000	-0.000315
3.600000	-0.000295
3.620000	-0.000283
3.640000	-0.000283
3.660000	-0.000283
3.680000	-0.000273
3.700000	-0.000252
3.720000	-0.000242
3.740000	-0.000241
3.760000	-0.000227
3.780000	-0.000216
3.800000	-0.000216
3.820000	-0.000208
3.840000	-0.000204
3.860000	-0.000197
3.880000	-0.000183
3.900000	-0.000181
3.920000	-0.000195
3.940000	-0.000187
3.960000	-0.000184
3.980000	-0.000195
4.000000	-0.000183
4.020000	-0.000170
4.040000	-0.000178
4.060000	-0.000183
4.080000	-0.000171
4.100000	-0.000154
4.120000	-0.000152
4.140000	-0.000160
4.160000	-0.000155
4.180000	-0.000146
4.200000	-0.000146
4.220000	-0.000143
4.240000	-0.000137
4.260000	-0.000127
4.280000	-0.000108
4.300000	-0.000106
4.320000	-0.000123
4.340000	-0.000132
4.360000	-0.000135
4.380000	-0.000136
4.400000	-0.000139
4.420000	-0.000143
4.440000	-0.000153
4.460000	-0.000163
4.480000	-0.000164
4.500000	-0.000161
4.520000	-0.000170
4.540000	-0.000183
4.560000	-0.000200
4.580000	-0.000232
4.600000	-0.000266
4.620000	-0.000283
4.640000	-0.000292
4.660000	-0.000299
4.680000	-0.000310
4.700000	-0.000314
4.720000	-0.000323
4.740000	-0.000333
4.760000	-0.000326
4.780000	-0.000313
4.800000	-0.000310
4.820000	-0.000311
4.840000	-0.000344
4.860000	-0.000393
4.880000	-0.000395
4.900000	-0.000370
4.920000	-0.000398
4.940000	-0.000452
4.960000	-0.000484
4.980000	-0.000504
5.000000	-0.000529
5.020000	-0.000553
5.040000	-0.000570
5.060000	-0.000614
5.080000	-0.000673
5.100000	-0.000653
5.120000	-0.000606
5.140000	-0.000601
5.160000	-0.000648
5.180000	-0.000709
5.200000	-0.000742
5.220000	-0.000777
5.240000	-0.000786
5.260000	-0.000784
5.280000	-0.000788
5.300000	-0.000758
5.320000	-0.000723
5.340000	-0.000719
5.360000	-0.000764
5.380000	-0.000784
5.400000	-0.000748
5.420000	-0.000737
5.440000	-0.000755
5.460000	-0.000748
5.480000	-0.000730
5.500000	-0.000721
5.520000	-0.000728
5.540000	-0.000652
5.560000	-0.000529
5.580000	-0.000459
5.600000	-0.000444
5.620000	-0.000484
5.640000	-0.000568
5.660000	-0.000630
5.680000	-0.000590
5.700000	-0.000500
5.720000	-0.000448
5.740000	-0.000445
5.760000	-0.000478
5.780000	-0.000474
5.800000	-0.000469
5.820000	-0.000419
5.840000	-0.000322
5.860000	-0.000404
5.880000	-0.000457
5.900000	-0.000410
5.920000	-0.000486
5.940000	-0.000396
5.960000	-0.000376
5.980000	-0.000646
6.000000	-0.000671
6.020000	-0.000632
6.040000	-0.000778
6.060000	-0.000829
6.080000	-0.000727
6.100000	-0.000658
6.120000	-0.000804
6.140000	-0.001022
6.160000	-0.001039
6.180000	-0.000930
6.200000	-0.000989
6.220000	-0.001097
6.240000	-0.001109
6.260000	-0.001053
6.280000	-0.001076
6.300000	-0.001277
6.320000	-0.001406
6.340000	-0.001348
6.360000	-0.001366
6.380000	-0.001405
6.400000	-0.001323
6.420000	-0.001190
6.440000	-0.001185
6.460000	-0.001303
6.480000	-0.001344
6.500000	-0.001313
6.520000	-0.001340
6.540000	-0.001421
6.560000	-0.001466
6.580000	-0.001501
6.600000	-0.001522
6.620000	-0.001412
6.640000	-0.001452
6.660000	-0.001547
6.680000	-0.001519
6.700000	-0.001485
6.720000	-0.001512
6.740000	-0.001614
6.760000	-0.001658
6.780000	-0.001732
6.800000	-0.001778
6.820000	-0.001736
6.840000	-0.001736
6.860000	-0.001706
6.880000	-0.001689
6.900000	-0.001548
6.920000	-0.001304
6.940000	-0.000956
6.960000	-0.000664
6.980000	-0.000557
7.000000	-0.000561
7.020000	-0.000588
7.040000	-0.000412
7.060000	-0.000157
7.080000	-0.000183
7.100000	-0.000089
7.120000	0.000125
7.140000	0.000184
7.160000	0.000431
7.180000	0.000823
7.200000	0.001004
7.220000	0.001170
7.240000	0.001514
7.260000	0.001959
7.280000	0.002294
7.300000	0.002459
7.320000	0.002654
7.340000	0.002918
7.360000	0.003098
7.380000	0.003245
7.400000	0.003435
7.420000	0.003482
7.440000	0.003632
7.460000	0.003876
7.480000	0.003780
7.500000	0.004050
7.520000	0.004526
7.540000	0.004533
7.560000	0.004452
7.580000	0.004095
7.600000	0.003513
7.620000	0.003275
7.640000	0.003319
7.660000	0.003240
7.680000	0.003204
7.700000	0.003261
7.720000	0.002989
7.740000	0.002604
7.760000	0.002281
7.780000	0.002044
7.800000	0.001908
7.820000	0.001573
7.840000	0.001093
7.860000	0.000726
7.880000	0.000365
7.900000	-0.000131
7.920000	-0.000443
7.940000	-0.000626
7.960000	-0.001102
7.980000	-0.001616
8.000000	-0.001816
8.020000	-0.001925
8.040000	-0.002159
8.060000	-0.002343
8.080000	-0.002491
8.100000	-0.002760
8.120000	-0.003130
8.140000	-0.003503
8.160000	-0.004088
8.180000	-0.004594
8.200000	-0.004514
8.220000	-0.004331
8.240000	-0.004491
8.260000	-0.004872
8.280000	-0.005186
8.300000	-0.005383
8.320000	-0.005566
8.340000	-0.005860
8.360000	-0.006153
8.380000	-0.006314
8.400000	-0.006247
8.420000	-0.006168
8.440000	-0.006296
8.460000	-0.006516
