Tiempo(s)	Amplitud(mm)
# npts=18501
# fs=50.0000 Hz
# duracion=370.0000 s

0.000000	-0.000012
0.020000	-0.000013
0.040000	-0.000014
0.060000	-0.000019
0.080000	-0.000025
0.100000	-0.000038
0.120000	-0.000052
0.140000	-0.000073
0.160000	-0.000096
0.180000	-0.000125
0.200000	-0.000157
0.220000	-0.000195
0.240000	-0.000234
0.260000	-0.000279
0.280000	-0.000325
0.300000	-0.000376
0.320000	-0.000428
0.340000	-0.000484
0.360000	-0.000540
0.380000	-0.000600
0.400000	-0.000659
0.420000	-0.000722
0.440000	-0.000784
0.460000	-0.000849
0.480000	-0.000913
0.500000	-0.000979
0.520000	-0.001044
0.540000	-0.001112
0.560000	-0.001178
0.580000	-0.001246
0.600000	-0.001312
0.620000	-0.001381
0.640000	-0.001447
0.660000	-0.001516
0.680000	-0.001582
0.700000	-0.001651
0.720000	-0.001718
0.740000	-0.001786
0.760000	-0.001853
0.780000	-0.001921
0.800000	-0.001988
0.820000	-0.002056
0.840000	-0.002122
0.860000	-0.002190
0.880000	-0.002257
0.900000	-0.002325
0.920000	-0.002390
0.940000	-0.002458
0.960000	-0.002524
0.980000	-0.002592
1.000000	-0.002657
1.020000	-0.002725
1.040000	-0.002790
1.060000	-0.002857
1.080000	-0.002923
1.100000	-0.002990
1.120000	-0.003055
1.140000	-0.003122
1.160000	-0.003187
1.180000	-0.003254
1.200000	-0.003319
1.220000	-0.003385
1.240000	-0.003450
1.260000	-0.003516
1.280000	-0.003581
1.300000	-0.003647
1.320000	-0.003711
1.340000	-0.003777
1.360000	-0.003841
1.380000	-0.003907
1.400000	-0.003971
1.420000	-0.004037
1.440000	-0.004100
1.460000	-0.004166
1.480000	-0.004229
1.500000	-0.004294
1.520000	-0.004357
1.540000	-0.004422
1.560000	-0.004484
1.580000	-0.004549
1.600000	-0.004611
1.620000	-0.004675
1.640000	-0.004738
1.660000	-0.004801
1.680000	-0.004863
1.700000	-0.004926
1.720000	-0.004988
1.740000	-0.005051
1.760000	-0.005112
1.780000	-0.005175
1.800000	-0.005236
1.820000	-0.005298
1.840000	-0.005358
1.860000	-0.005420
1.880000	-0.005480
1.900000	-0.005542
1.920000	-0.005602
1.940000	-0.005663
1.960000	-0.005723
1.980000	-0.005784
2.000000	-0.005842
2.020000	-0.005903
2.040000	-0.005961
2.060000	-0.006021
2.080000	-0.006079
2.100000	-0.006139
2.120000	-0.006197
2.140000	-0.006256
2.160000	-0.006314
2.180000	-0.006373
2.200000	-0.006429
2.220000	-0.006488
2.240000	-0.006544
2.260000	-0.006603
2.280000	-0.006659
2.300000	-0.006716
2.320000	-0.006771
2.340000	-0.006829
2.360000	-0.006884
2.380000	-0.006941
2.400000	-0.006994
2.420000	-0.007049
2.440000	-0.007102
2.460000	-0.007156
2.480000	-0.007207
2.500000	-0.007260
2.520000	-0.007312
2.540000	-0.007365
2.560000	-0.007416
2.580000	-0.007467
2.600000	-0.007515
2.620000	-0.007565
2.640000	-0.007611
2.660000	-0.007657
2.680000	-0.007700
2.700000	-0.007747
2.720000	-0.007793
2.740000	-0.007840
2.760000	-0.007886
2.780000	-0.007935
2.800000	-0.007979
2.820000	-0.008024
2.840000	-0.008067
2.860000	-0.008113
2.880000	-0.008157
2.900000	-0.008201
2.920000	-0.008239
2.940000	-0.008278
2.960000	-0.008315
2.980000	-0.008358
3.000000	-0.008399
3.020000	-0.008438
3.040000	-0.008474
3.060000	-0.008509
3.080000	-0.008540
3.100000	-0.008576
3.120000	-0.008615
3.140000	-0.008653
3.160000	-0.008684
3.180000	-0.008719
3.200000	-0.008755
3.220000	-0.008789
3.240000	-0.008820
3.260000	-0.008859
3.280000	-0.008890
3.300000	-0.008921
3.320000	-0.008953
3.340000	-0.008985
3.360000	-0.009017
3.380000	-0.009047
3.400000	-0.009075
3.420000	-0.009105
3.440000	-0.009134
3.460000	-0.009163
3.480000	-0.009180
3.500000	-0.009204
3.520000	-0.009233
3.540000	-0.009270
3.560000	-0.009304
3.580000	-0.009339
3.600000	-0.009381
3.620000	-0.009423
3.640000	-0.009459
3.660000	-0.009482
3.680000	-0.009504
3.700000	-0.009537
3.720000	-0.009555
3.740000	-0.009572
3.760000	-0.009602
3.780000	-0.009631
3.800000	-0.009639
3.820000	-0.009664
3.840000	-0.009700
3.860000	-0.009737
3.880000	-0.009769
3.900000	-0.009789
3.920000	-0.009822
3.940000	-0.009862
3.960000	-0.009897
3.980000	-0.009944
4.000000	-0.009973
4.020000	-0.010003
4.040000	-0.010038
4.060000	-0.010075
4.080000	-0.010095
4.100000	-0.010119
4.120000	-0.010158
4.140000	-0.010185
4.160000	-0.010183
4.180000	-0.010176
4.200000	-0.010190
4.220000	-0.010215
4.240000	-0.010250
4.260000	-0.010293
4.280000	-0.010303
4.300000	-0.010301
4.320000	-0.010271
4.340000	-0.010237
4.360000	-0.010213
4.380000	-0.010194
4.400000	-0.010209
4.420000	-0.010218
4.440000	-0.010170
4.460000	-0.010110
4.480000	-0.010068
4.500000	-0.010054
4.520000	-0.010030
4.540000	-0.009996
4.560000	-0.009984
4.580000	-0.010004
4.600000	-0.010009
4.620000	-0.009987
4.640000	-0.009943
4.660000	-0.009915
4.680000	-0.009893
4.700000	-0.009860
4.720000	-0.009842
4.740000	-0.009816
4.760000	-0.009760
4.780000	-0.009702
4.800000	-0.009637
4.820000	-0.009623
4.840000	-0.009625
4.860000	-0.009595
4.880000	-0.009548
4.900000	-0.009511
4.920000	-0.009494
4.940000	-0.009501
4.960000	-0.009491
4.980000	-0.009481
5.000000	-0.009483
5.020000	-0.009469
5.040000	-0.009486
5.060000	-0.009545
5.080000	-0.009552
5.100000	-0.009518
5.120000	-0.009508
5.140000	-0.009535
5.160000	-0.009527
5.180000	-0.009509
5.200000	-0.009544
5.220000	-0.009552
5.240000	-0.009533
5.260000	-0.009608
5.280000	-0.009646
5.300000	-0.009665
5.320000	-0.009722
5.340000	-0.009716
5.360000	-0.009657
5.380000	-0.009601
5.400000	-0.009547
5.420000	-0.009457
5.440000	-0.009392
5.460000	-0.009385
5.480000	-0.009326
5.500000	-0.009238
5.520000	-0.009218
5.540000	-0.009274
5.560000	-0.009279
5.580000	-0.009211
5.600000	-0.009161
5.620000	-0.009082
5.640000	-0.008992
5.660000	-0.008894
5.680000	-0.008829
5.700000	-0.008830
5.720000	-0.008719
5.740000	-0.008506
5.760000	-0.008306
5.780000	-0.008192
5.800000	-0.008149
5.820000	-0.007965
5.840000	-0.007673
5.860000	-0.007456
5.880000	-0.007295
5.900000	-0.007162
5.920000	-0.007047
5.940000	-0.007049
5.960000	-0.007076
5.980000	-0.007198
6.000000	-0.007385
6.020000	-0.007493
6.040000	-0.007604
6.060000	-0.007726
6.080000	-0.007732
6.100000	-0.007723
6.120000	-0.007875
6.140000	-0.007995
6.160000	-0.008127
6.180000	-0.008340
6.200000	-0.008465
6.220000	-0.008568
6.240000	-0.008647
6.260000	-0.008694
6.280000	-0.008687
6.300000	-0.008817
6.320000	-0.008998
6.340000	-0.009108
6.360000	-0.009207
6.380000	-0.009086
6.400000	-0.008921
6.420000	-0.008841
6.440000	-0.008713
6.460000	-0.008432
6.480000	-0.007966
6.500000	-0.007564
6.520000	-0.007364
6.540000	-0.007086
6.560000	-0.006604
6.580000	-0.006186
6.600000	-0.005774
6.620000	-0.005348
6.640000	-0.004966
6.660000	-0.004673
6.680000	-0.004320
6.700000	-0.003946
6.720000	-0.003606
6.740000	-0.003186
6.760000	-0.002981
6.780000	-0.003121
6.800000	-0.003119
6.820000	-0.002920
6.840000	-0.002946
6.860000	-0.003018
6.880000	-0.002866
6.900000	-0.002799
6.920000	-0.003003
6.940000	-0.003304
6.960000	-0.003548
6.980000	-0.003902
7.000000	-0.004395
7.020000	-0.004858
7.040000	-0.005372
7.060000	-0.005871
7.080000	-0.006473
7.100000	-0.007413
7.120000	-0.008324
7.140000	-0.009076
7.160000	-0.009908
7.180000	-0.010956
7.200000	-0.011845
7.220000	-0.012576
7.240000	-0.013374
7.260000	-0.014169
7.280000	-0.014870
7.300000	-0.015174
7.320000	-0.015397
7.340000	-0.015826
7.360000	-0.016192
7.380000	-0.016528
7.400000	-0.016726
7.420000	-0.016925
7.440000	-0.017094
7.460000	-0.016806
7.480000	-0.016407
7.500000	-0.016315
7.520000	-0.016287
7.540000	-0.016107
7.560000	-0.015461
7.580000	-0.014689
7.600000	-0.014087
7.620000	-0.013356
7.640000	-0.012714
7.660000	-0.012268
7.680000	-0.011686
7.700000	-0.010670
7.720000	-0.009651
7.740000	-0.008778
7.760000	-0.008038
7.780000	-0.007345
7.800000	-0.006259
7.820000	-0.005356
7.840000	-0.004411
7.860000	-0.003448
7.880000	-0.003047
7.900000	-0.002574
7.920000	-0.002042
7.940000	-0.001776
7.960000	-0.001661
7.980000	-0.001756
8.000000	-0.001490
8.020000	-0.001405
8.040000	-0.001706
8.060000	-0.001803
8.080000	-0.002173
8.100000	-0.002602
8.120000	-0.002866
8.140000	-0.003029
8.160000	-0.003281
8.180000	-0.003750
8.200000	-0.004203
8.220000	-0.004832
8.240000	-0.005371
8.260000	-0.005723
8.280000	-0.006098
8.300000	-0.006344
8.320000	-0.006783
8.340000	-0.007588
8.360000	-0.008168
8.380000	-0.008679
8.400000	-0.009361
