Tiempo(s)	Amplitud(mm)
# npts=18501
# fs=50.0000 Hz
# duracion=370.0000 s

0.000000	0.000045
0.020000	0.000047
0.040000	0.000056
0.060000	0.000079
0.080000	0.000119
0.100000	0.000180
0.120000	0.000263
0.140000	0.000371
0.160000	0.000502
0.180000	0.000656
0.200000	0.000833
0.220000	0.001032
0.240000	0.001250
0.260000	0.001488
0.280000	0.001743
0.300000	0.002013
0.320000	0.002297
0.340000	0.002594
0.360000	0.002901
0.380000	0.003219
0.400000	0.003544
0.420000	0.003877
0.440000	0.004215
0.460000	0.004559
0.480000	0.004906
0.500000	0.005258
0.520000	0.005611
0.540000	0.005967
0.560000	0.006324
0.580000	0.006683
0.600000	0.007042
0.620000	0.007401
0.640000	0.007761
0.660000	0.008120
0.680000	0.008479
0.700000	0.008838
0.720000	0.009196
0.740000	0.009554
0.760000	0.009910
0.780000	0.010267
0.800000	0.010622
0.820000	0.010976
0.840000	0.011330
0.860000	0.011683
0.880000	0.012034
0.900000	0.012385
0.920000	0.012735
0.940000	0.013085
0.960000	0.013433
0.980000	0.013781
1.000000	0.014127
1.020000	0.014474
1.040000	0.014819
1.060000	0.015163
1.080000	0.015507
1.100000	0.015850
1.120000	0.016191
1.140000	0.016533
1.160000	0.016873
1.180000	0.017213
1.200000	0.017551
1.220000	0.017889
1.240000	0.018226
1.260000	0.018562
1.280000	0.018897
1.300000	0.019232
1.320000	0.019565
1.340000	0.019898
1.360000	0.020229
1.380000	0.020560
1.400000	0.020889
1.420000	0.021219
1.440000	0.021546
1.460000	0.021873
1.480000	0.022198
1.500000	0.022523
1.520000	0.022847
1.540000	0.023169
1.560000	0.023490
1.580000	0.023810
1.600000	0.024130
1.620000	0.024448
1.640000	0.024765
1.660000	0.025081
1.680000	0.025395
1.700000	0.025708
1.720000	0.026020
1.740000	0.026331
1.760000	0.026641
1.780000	0.026949
1.800000	0.027255
1.820000	0.027561
1.840000	0.027865
1.860000	0.028169
1.880000	0.028470
1.900000	0.028770
1.920000	0.029069
1.940000	0.029367
1.960000	0.029663
1.980000	0.029957
2.000000	0.030249
2.020000	0.030541
2.040000	0.030833
2.060000	0.031122
2.080000	0.031408
2.100000	0.031694
2.120000	0.031978
2.140000	0.032262
2.160000	0.032543
2.180000	0.032821
2.200000	0.033098
2.220000	0.033376
2.240000	0.033652
2.260000	0.033925
2.280000	0.034193
2.300000	0.034462
2.320000	0.034731
2.340000	0.034997
2.360000	0.035263
2.380000	0.035528
2.400000	0.035787
2.420000	0.036040
2.440000	0.036295
2.460000	0.036562
2.480000	0.036827
2.500000	0.037066
2.520000	0.037297
2.540000	0.037551
2.560000	0.037814
2.580000	0.038069
2.600000	0.038301
2.620000	0.038524
2.640000	0.038762
2.660000	0.039010
2.680000	0.039255
2.700000	0.039490
2.720000	0.039711
2.740000	0.039931
2.760000	0.040156
2.780000	0.040386
2.800000	0.040617
2.820000	0.040841
2.840000	0.041052
2.860000	0.041262
2.880000	0.041479
2.900000	0.041701
2.920000	0.041923
2.940000	0.042130
2.960000	0.042314
2.980000	0.042508
3.000000	0.042711
3.020000	0.042931
3.040000	0.043150
3.060000	0.043346
3.080000	0.043517
3.100000	0.043678
3.120000	0.043871
3.140000	0.044091
3.160000	0.044291
3.180000	0.044465
3.200000	0.044621
3.220000	0.044782
3.240000	0.044968
3.260000	0.045146
3.280000	0.045323
3.300000	0.045509
3.320000	0.045679
3.340000	0.045825
3.360000	0.045938
3.380000	0.046087
3.400000	0.046270
3.420000	0.046466
3.440000	0.046616
3.460000	0.046721
3.480000	0.046867
3.500000	0.047013
3.520000	0.047163
3.540000	0.047297
3.560000	0.047414
3.580000	0.047547
3.600000	0.047656
3.620000	0.047781
3.640000	0.047904
3.660000	0.048054
3.680000	0.048187
3.700000	0.048256
3.720000	0.048328
3.740000	0.048427
3.760000	0.048571
3.780000	0.048660
3.800000	0.048737
3.820000	0.048875
3.840000	0.048983
3.860000	0.049031
3.880000	0.049078
3.900000	0.049176
3.920000	0.049281
3.940000	0.049425
3.960000	0.049479
3.980000	0.049508
4.000000	0.049563
4.020000	0.049518
4.040000	0.049646
4.060000	0.049878
4.080000	0.049939
4.100000	0.049888
4.120000	0.049833
4.140000	0.049885
4.160000	0.050125
4.180000	0.050288
4.200000	0.050172
4.220000	0.050160
4.240000	0.050184
4.260000	0.050286
4.280000	0.050514
4.300000	0.050463
4.320000	0.050312
4.340000	0.050333
4.360000	0.050498
4.380000	0.050483
4.400000	0.050426
4.420000	0.050426
4.440000	0.050405
4.460000	0.050599
4.480000	0.050545
4.500000	0.050371
4.520000	0.050422
4.540000	0.050480
4.560000	0.050466
4.580000	0.050259
4.600000	0.050145
4.620000	0.050364
4.640000	0.050508
4.660000	0.050417
4.680000	0.050260
4.700000	0.050002
4.720000	0.049984
4.740000	0.050257
4.760000	0.050490
4.780000	0.050319
4.800000	0.049896
4.820000	0.049930
4.840000	0.050196
4.860000	0.050296
4.880000	0.049902
4.900000	0.049615
4.920000	0.049717
4.940000	0.049539
4.960000	0.049867
4.980000	0.050316
5.000000	0.049715
5.020000	0.049091
5.040000	0.049463
5.060000	0.049837
5.080000	0.049432
5.100000	0.049266
5.120000	0.049382
5.140000	0.048842
5.160000	0.048657
5.180000	0.049364
5.200000	0.049572
5.220000	0.048704
5.240000	0.048122
5.260000	0.048535
5.280000	0.048388
5.300000	0.048111
5.320000	0.048521
5.340000	0.048599
5.360000	0.047890
5.380000	0.046966
5.400000	0.047237
5.420000	0.047689
5.440000	0.047477
5.460000	0.047496
5.480000	0.047289
5.500000	0.046710
5.520000	0.046417
5.540000	0.046856
5.560000	0.046752
5.580000	0.045948
5.600000	0.045769
5.620000	0.045661
5.640000	0.045555
5.660000	0.045516
5.680000	0.045224
5.700000	0.044894
5.720000	0.044777
5.740000	0.044865
5.760000	0.043938
5.780000	0.042930
5.800000	0.043815
5.820000	0.044587
5.840000	0.043593
5.860000	0.042537
5.880000	0.042631
5.900000	0.042331
5.920000	0.041501
5.940000	0.041929
5.960000	0.042477
5.980000	0.042043
6.000000	0.040869
6.020000	0.040063
6.040000	0.040104
6.060000	0.039969
6.080000	0.040591
6.100000	0.041033
6.120000	0.040236
6.140000	0.039002
6.160000	0.038098
6.180000	0.038475
6.200000	0.038856
6.220000	0.038897
6.240000	0.038171
6.260000	0.036737
6.280000	0.036740
6.300000	0.037802
6.320000	0.038035
6.340000	0.036840
6.360000	0.035505
6.380000	0.035113
6.400000	0.035993
6.420000	0.036803
6.440000	0.036098
6.460000	0.035169
6.480000	0.034241
6.500000	0.034210
6.520000	0.035103
6.540000	0.035104
6.560000	0.034406
6.580000	0.033465
6.600000	0.033063
6.620000	0.033714
6.640000	0.034130
6.660000	0.033220
6.680000	0.032098
6.700000	0.031334
6.720000	0.031585
6.740000	0.032862
6.760000	0.033104
6.780000	0.032267
6.800000	0.031290
6.820000	0.031026
6.840000	0.031054
6.860000	0.030751
6.880000	0.030472
6.900000	0.030501
6.920000	0.030633
6.940000	0.030020
6.960000	0.029939
6.980000	0.030369
7.000000	0.030063
7.020000	0.029481
7.040000	0.028706
7.060000	0.028373
7.080000	0.028552
7.100000	0.028597
7.120000	0.028130
7.140000	0.027865
7.160000	0.027682
7.180000	0.027093
7.200000	0.026742
7.220000	0.026064
7.240000	0.025731
7.260000	0.026394
7.280000	0.026207
7.300000	0.024066
7.320000	0.022894
7.340000	0.024268
7.360000	0.025565
7.380000	0.025894
7.400000	0.024394
7.420000	0.022328
7.440000	0.021270
7.460000	0.021580
7.480000	0.023766
7.500000	0.024401
7.520000	0.022770
7.540000	0.021581
7.560000	0.021614
7.580000	0.023068
7.600000	0.023415
7.620000	0.020233
7.640000	0.018754
7.660000	0.020701
7.680000	0.020808
7.700000	0.019658
7.720000	0.019274
7.740000	0.020022
7.760000	0.019952
7.780000	0.018945
7.800000	0.018483
7.820000	0.016217
7.840000	0.015817
7.860000	0.017828
7.880000	0.018917
7.900000	0.018648
7.920000	0.015799
7.940000	0.014239
7.960000	0.015054
7.980000	0.017003
8.000000	0.017273
8.020000	0.013639
8.040000	0.013409
8.060000	0.015684
8.080000	0.014228
8.100000	0.013372
8.120000	0.015764
8.140000	0.015107
8.160000	0.011199
8.180000	0.011208
8.200000	0.013621
8.220000	0.013215
8.240000	0.010415
8.260000	0.007691
8.280000	0.007607
8.300000	0.010651
8.320000	0.013405
8.340000	0.014202
8.360000	0.011430
8.380000	0.006361
8.400000	0.005200
8.420000	0.006603
8.440000	0.007128
8.460000	0.008257
8.480000	0.008142
8.500000	0.006227
8.520000	0.006328
8.540000	0.007754
8.560000	0.007866
8.580000	0.006219
8.600000	0.003797
8.620000	0.002868
8.640000	0.003664
8.660000	0.005223
8.680000	0.005400
8.700000	0.003438
8.720000	0.001784
8.740000	0.002488
8.760000	0.004212
8.780000	0.003737
8.800000	0.002253
8.820000	0.001237
8.840000	0.001192
8.860000	0.001970
8.880000	0.001732
8.900000	0.001173
8.920000	0.000800
8.940000	0.000224
8.960000	-0.000482
8.980000	-0.000372
9.000000	0.001764
9.020000	0.002378
9.040000	-0.001700
9.060000	-0.004583
9.080000	-0.004716
9.100000	-0.003620
9.120000	-0.002103
9.140000	-0.003244
9.160000	-0.000198
9.180000	0.002345
9.200000	-0.004764
9.220000	-0.009343
