Tiempo(s)	Amplitud(mm)
# npts=18501
# fs=50.0000 Hz
# duracion=370.0000 s

0.000000	0.000001
0.020000	0.000000
0.040000	0.000001
0.060000	0.000002
0.080000	0.000004
0.100000	0.000007
0.120000	0.000011
0.140000	0.000016
0.160000	0.000023
0.180000	0.000030
0.200000	0.000039
0.220000	0.000048
0.240000	0.000059
0.260000	0.000070
0.280000	0.000083
0.300000	0.000095
0.320000	0.000109
0.340000	0.000123
0.360000	0.000138
0.380000	0.000153
0.400000	0.000169
0.420000	0.000184
0.440000	0.000201
0.460000	0.000217
0.480000	0.000234
0.500000	0.000250
0.520000	0.000267
0.540000	0.000283
0.560000	0.000301
0.580000	0.000317
0.600000	0.000335
0.620000	0.000351
0.640000	0.000368
0.660000	0.000384
0.680000	0.000402
0.700000	0.000418
0.720000	0.000435
0.740000	0.000451
0.760000	0.000468
0.780000	0.000484
0.800000	0.000501
0.820000	0.000517
0.840000	0.000534
0.860000	0.000549
0.880000	0.000566
0.900000	0.000581
0.920000	0.000598
0.940000	0.000613
0.960000	0.000630
0.980000	0.000645
1.000000	0.000661
1.020000	0.000676
1.040000	0.000692
1.060000	0.000707
1.080000	0.000723
1.100000	0.000738
1.120000	0.000753
1.140000	0.000768
1.160000	0.000783
1.180000	0.000798
1.200000	0.000813
1.220000	0.000827
1.240000	0.000843
1.260000	0.000857
1.280000	0.000873
1.300000	0.000886
1.320000	0.000901
1.340000	0.000915
1.360000	0.000930
1.380000	0.000943
1.400000	0.000958
1.420000	0.000971
1.440000	0.000986
1.460000	0.000999
1.480000	0.001013
1.500000	0.001026
1.520000	0.001040
1.540000	0.001053
1.560000	0.001068
1.580000	0.001081
1.600000	0.001094
1.620000	0.001106
1.640000	0.001118
1.660000	0.001131
1.680000	0.001145
1.700000	0.001157
1.720000	0.001171
1.740000	0.001181
1.760000	0.001193
1.780000	0.001205
1.800000	0.001217
1.820000	0.001230
1.840000	0.001241
1.860000	0.001252
1.880000	0.001265
1.900000	0.001276
1.920000	0.001287
1.940000	0.001296
1.960000	0.001307
1.980000	0.001318
2.000000	0.001328
2.020000	0.001337
2.040000	0.001346
2.060000	0.001355
2.080000	0.001368
2.100000	0.001377
2.120000	0.001389
2.140000	0.001400
2.160000	0.001412
2.180000	0.001418
2.200000	0.001420
2.220000	0.001430
2.240000	0.001442
2.260000	0.001455
2.280000	0.001463
2.300000	0.001465
2.320000	0.001475
2.340000	0.001481
2.360000	0.001488
2.380000	0.001493
2.400000	0.001501
2.420000	0.001516
2.440000	0.001529
2.460000	0.001530
2.480000	0.001533
2.500000	0.001539
2.520000	0.001543
2.540000	0.001546
2.560000	0.001551
2.580000	0.001560
2.600000	0.001571
2.620000	0.001584
2.640000	0.001584
2.660000	0.001580
2.680000	0.001600
2.700000	0.001603
2.720000	0.001603
2.740000	0.001609
2.760000	0.001605
2.780000	0.001613
2.800000	0.001616
2.820000	0.001609
2.840000	0.001623
2.860000	0.001644
2.880000	0.001644
2.900000	0.001632
2.920000	0.001629
2.940000	0.001633
2.960000	0.001648
2.980000	0.001646
3.000000	0.001644
3.020000	0.001640
3.040000	0.001617
3.060000	0.001638
3.080000	0.001662
3.100000	0.001667
3.120000	0.001687
3.140000	0.001687
3.160000	0.001700
3.180000	0.001695
3.200000	0.001672
3.220000	0.001681
3.240000	0.001711
3.260000	0.001719
3.280000	0.001712
3.300000	0.001680
3.320000	0.001679
3.340000	0.001738
3.360000	0.001740
3.380000	0.001711
3.400000	0.001673
3.420000	0.001669
3.440000	0.001741
3.460000	0.001773
3.480000	0.001809
3.500000	0.001827
3.520000	0.001799
3.540000	0.001775
3.560000	0.001748
3.580000	0.001751
3.600000	0.001810
3.620000	0.001823
3.640000	0.001756
3.660000	0.001687
3.680000	0.001662
3.700000	0.001716
3.720000	0.001818
3.740000	0.001858
3.760000	0.001836
3.780000	0.001848
3.800000	0.001872
3.820000	0.001852
3.840000	0.001739
3.860000	0.001634
3.880000	0.001716
3.900000	0.001857
3.920000	0.001965
3.940000	0.001990
3.960000	0.001809
3.980000	0.001561
4.000000	0.001590
4.020000	0.001740
4.040000	0.001860
4.060000	0.001918
4.080000	0.001746
4.100000	0.001712
4.120000	0.001806
4.140000	0.001756
4.160000	0.001733
4.180000	0.001702
4.200000	0.001682
4.220000	0.001768
4.240000	0.001704
4.260000	0.001497
4.280000	0.001473
4.300000	0.001654
4.320000	0.001843
4.340000	0.001797
4.360000	0.001643
4.380000	0.001614
4.400000	0.001674
4.420000	0.001575
4.440000	0.001549
4.460000	0.001780
4.480000	0.001781
4.500000	0.001721
4.520000	0.001687
4.540000	0.001396
4.560000	0.001337
4.580000	0.001709
4.600000	0.001888
4.620000	0.001892
4.640000	0.001655
4.660000	0.001297
4.680000	0.001493
4.700000	0.001503
4.720000	0.001396
4.740000	0.001663
4.760000	0.001658
4.780000	0.001585
4.800000	0.001646
4.820000	0.001587
4.840000	0.001454
4.860000	0.001519
4.880000	0.001807
4.900000	0.001952
4.920000	0.001892
4.940000	0.001747
4.960000	0.001738
4.980000	0.001706
5.000000	0.001494
5.020000	0.001520
5.040000	0.001643
5.060000	0.001753
5.080000	0.001991
5.100000	0.001849
5.120000	0.001501
5.140000	0.001583
5.160000	0.001809
5.180000	0.001936
5.200000	0.001871
5.220000	0.001840
5.240000	0.001955
5.260000	0.001779
5.280000	0.001565
5.300000	0.001410
5.320000	0.001568
5.340000	0.001935
5.360000	0.002016
5.380000	0.001927
5.400000	0.001525
5.420000	0.001230
5.440000	0.001440
5.460000	0.001856
5.480000	0.001662
5.500000	0.001350
5.520000	0.002096
5.540000	0.002251
5.560000	0.001593
5.580000	0.001214
5.600000	0.001076
5.620000	0.001655
5.640000	0.002009
5.660000	0.001701
5.680000	0.001552
5.700000	0.001323
5.720000	0.000854
5.740000	0.000267
5.760000	0.000357
5.780000	0.001408
5.800000	0.001946
5.820000	0.001397
5.840000	0.000611
5.860000	0.000612
5.880000	0.000880
5.900000	0.000476
5.920000	-0.000167
5.940000	-0.000424
5.960000	0.000327
5.980000	0.001041
6.000000	0.000869
6.020000	0.000216
6.040000	-0.000686
6.060000	-0.000106
6.080000	0.000716
6.100000	-0.000158
6.120000	-0.000136
6.140000	-0.000032
6.160000	-0.000949
6.180000	-0.001053
6.200000	-0.000977
6.220000	-0.001051
6.240000	-0.000272
6.260000	-0.000038
6.280000	-0.000344
6.300000	-0.000119
6.320000	-0.002143
6.340000	-0.003197
6.360000	-0.002099
6.380000	-0.002123
6.400000	-0.000266
6.420000	0.000639
6.440000	-0.000226
6.460000	-0.001129
6.480000	-0.002664
6.500000	-0.003012
6.520000	-0.004522
6.540000	-0.004817
6.560000	-0.002083
6.580000	-0.001212
6.600000	-0.002364
6.620000	-0.002449
6.640000	-0.002050
6.660000	-0.001741
6.680000	-0.000402
6.700000	-0.001742
6.720000	-0.004730
6.740000	-0.006269
6.760000	-0.005839
6.780000	-0.003402
6.800000	-0.003793
6.820000	-0.004385
6.840000	-0.003138
6.860000	-0.002410
6.880000	-0.001987
6.900000	-0.004493
6.920000	-0.006650
6.940000	-0.006245
6.960000	-0.004904
6.980000	-0.004212
7.000000	-0.006149
7.020000	-0.007230
7.040000	-0.006080
7.060000	-0.004344
7.080000	-0.004414
7.100000	-0.004211
7.120000	-0.003342
7.140000	-0.004512
7.160000	-0.005812
7.180000	-0.007832
7.200000	-0.007817
7.220000	-0.005189
7.240000	-0.003491
7.260000	-0.005267
7.280000	-0.007404
7.300000	-0.005063
7.320000	-0.004227
7.340000	-0.006129
7.360000	-0.008617
7.380000	-0.009358
7.400000	-0.006429
7.420000	-0.004456
7.440000	-0.004924
7.460000	-0.005686
7.480000	-0.004883
7.500000	-0.005116
7.520000	-0.004236
7.540000	-0.001834
7.560000	-0.002858
7.580000	-0.004182
7.600000	-0.006186
7.620000	-0.006414
7.640000	-0.004117
7.660000	-0.003737
7.680000	-0.003962
7.700000	-0.005711
7.720000	-0.003169
7.740000	0.000373
7.760000	-0.003096
7.780000	-0.005212
7.800000	-0.004654
7.820000	-0.002547
7.840000	-0.000978
7.860000	-0.004431
7.880000	-0.006489
7.900000	-0.004944
7.920000	-0.003106
7.940000	-0.002309
7.960000	-0.003495
7.980000	-0.002611
8.000000	0.002037
8.020000	0.003006
8.040000	-0.001051
8.060000	-0.002241
8.080000	-0.000362
8.100000	0.000466
8.120000	-0.000256
8.140000	-0.001724
8.160000	-0.001008
8.180000	0.001129
8.200000	-0.000247
8.220000	-0.004617
8.240000	-0.005381
8.260000	-0.002143
8.280000	-0.000898
8.300000	-0.002099
8.320000	-0.002425
8.340000	0.000419
8.360000	0.002397
8.380000	0.001022
8.400000	-0.001278
8.420000	-0.003334
8.440000	-0.001581
8.460000	-0.001052
8.480000	-0.003806
8.500000	-0.003612
8.520000	-0.003382
8.540000	-0.004466
8.560000	-0.002632
8.580000	-0.001857
8.600000	-0.005005
8.620000	-0.005293
8.640000	-0.004912
8.660000	-0.005078
8.680000	-0.003409
8.700000	-0.005115
8.720000	-0.006116
8.740000	-0.004955
8.760000	-0.005168
8.780000	-0.004973
8.800000	-0.006812
8.820000	-0.009668
8.840000	-0.008315
8.860000	-0.004542
8.880000	-0.004110
8.900000	-0.007310
8.920000	-0.009705
8.940000	-0.008834
8.960000	-0.007398
