Tiempo(s)	Amplitud(mm)
# npts=18501
# fs=50.0000 Hz
# duracion=370.0000 s

0.000000	-0.000001
0.020000	-0.000001
0.040000	-0.000001
0.060000	-0.000002
0.080000	-0.000002
0.100000	-0.000003
0.120000	-0.000004
0.140000	-0.000006
0.160000	-0.000008
0.180000	-0.000010
0.200000	-0.000012
0.220000	-0.000015
0.240000	-0.000018
0.260000	-0.000022
0.280000	-0.000025
0.300000	-0.000029
0.320000	-0.000033
0.340000	-0.000037
0.360000	-0.000042
0.380000	-0.000046
0.400000	-0.000051
0.420000	-0.000056
0.440000	-0.000061
0.460000	-0.000066
0.480000	-0.000071
0.500000	-0.000076
0.520000	-0.000081
0.540000	-0.000086
0.560000	-0.000091
0.580000	-0.000096
0.600000	-0.000102
0.620000	-0.000107
0.640000	-0.000112
0.660000	-0.000118
0.680000	-0.000123
0.700000	-0.000128
0.720000	-0.000133
0.740000	-0.000139
0.760000	-0.000144
0.780000	-0.000149
0.800000	-0.000155
0.820000	-0.000160
0.840000	-0.000165
0.860000	-0.000170
0.880000	-0.000176
0.900000	-0.000181
0.920000	-0.000186
0.940000	-0.000192
0.960000	-0.000197
0.980000	-0.000202
1.000000	-0.000207
1.020000	-0.000213
1.040000	-0.000218
1.060000	-0.000223
1.080000	-0.000228
1.100000	-0.000234
1.120000	-0.000239
1.140000	-0.000244
1.160000	-0.000249
1.180000	-0.000255
1.200000	-0.000260
1.220000	-0.000265
1.240000	-0.000270
1.260000	-0.000275
1.280000	-0.000281
1.300000	-0.000286
1.320000	-0.000291
1.340000	-0.000296
1.360000	-0.000301
1.380000	-0.000307
1.400000	-0.000312
1.420000	-0.000317
1.440000	-0.000322
1.460000	-0.000327
1.480000	-0.000332
1.500000	-0.000337
1.520000	-0.000343
1.540000	-0.000348
1.560000	-0.000353
1.580000	-0.000358
1.600000	-0.000363
1.620000	-0.000369
1.640000	-0.000374
1.660000	-0.000379
1.680000	-0.000384
1.700000	-0.000389
1.720000	-0.000394
1.740000	-0.000399
1.760000	-0.000404
1.780000	-0.000410
1.800000	-0.000415
1.820000	-0.000421
1.840000	-0.000425
1.860000	-0.000431
1.880000	-0.000437
1.900000	-0.000443
1.920000	-0.000448
1.940000	-0.000451
1.960000	-0.000456
1.980000	-0.000462
2.000000	-0.000468
2.020000	-0.000474
2.040000	-0.000478
2.060000	-0.000481
2.080000	-0.000487
2.100000	-0.000494
2.120000	-0.000498
2.140000	-0.000504
2.160000	-0.000510
2.180000	-0.000514
2.200000	-0.000518
2.220000	-0.000526
2.240000	-0.000534
2.260000	-0.000541
2.280000	-0.000546
2.300000	-0.000549
2.320000	-0.000556
2.340000	-0.000564
2.360000	-0.000569
2.380000	-0.000573
2.400000	-0.000575
2.420000	-0.000584
2.440000	-0.000588
2.460000	-0.000595
2.480000	-0.000604
2.500000	-0.000604
2.520000	-0.000611
2.540000	-0.000621
2.560000	-0.000632
2.580000	-0.000633
2.600000	-0.000632
2.620000	-0.000639
2.640000	-0.000644
2.660000	-0.000653
2.680000	-0.000657
2.700000	-0.000666
2.720000	-0.000672
2.740000	-0.000679
2.760000	-0.000691
2.780000	-0.000693
2.800000	-0.000703
2.820000	-0.000707
2.840000	-0.000705
2.860000	-0.000722
2.880000	-0.000735
2.900000	-0.000733
2.920000	-0.000748
2.940000	-0.000765
2.960000	-0.000759
2.980000	-0.000754
3.000000	-0.000776
3.020000	-0.000802
3.040000	-0.000803
3.060000	-0.000796
3.080000	-0.000791
3.100000	-0.000780
3.120000	-0.000771
3.140000	-0.000770
3.160000	-0.000771
3.180000	-0.000790
3.200000	-0.000816
3.220000	-0.000830
3.240000	-0.000844
3.260000	-0.000859
3.280000	-0.000861
3.300000	-0.000837
3.320000	-0.000835
3.340000	-0.000849
3.360000	-0.000850
3.380000	-0.000862
3.400000	-0.000864
3.420000	-0.000878
3.440000	-0.000880
3.460000	-0.000891
3.480000	-0.000937
3.500000	-0.000964
3.520000	-0.000978
3.540000	-0.000980
3.560000	-0.000975
3.580000	-0.000971
3.600000	-0.000976
3.620000	-0.000991
3.640000	-0.000990
3.660000	-0.000976
3.680000	-0.000940
3.700000	-0.000922
3.720000	-0.000922
3.740000	-0.000920
3.760000	-0.000909
3.780000	-0.000908
3.800000	-0.000923
3.820000	-0.000903
3.840000	-0.000920
3.860000	-0.000929
3.880000	-0.000876
3.900000	-0.000929
3.920000	-0.000998
3.940000	-0.000954
3.960000	-0.000940
3.980000	-0.001006
4.000000	-0.001052
4.020000	-0.001091
4.040000	-0.001139
4.060000	-0.001095
4.080000	-0.001050
4.100000	-0.001112
4.120000	-0.001163
4.140000	-0.001121
4.160000	-0.001049
4.180000	-0.000966
4.200000	-0.000863
4.220000	-0.000803
4.240000	-0.000719
4.260000	-0.000736
4.280000	-0.000836
4.300000	-0.000732
4.320000	-0.000597
4.340000	-0.000685
4.360000	-0.000806
4.380000	-0.000813
4.400000	-0.000856
4.420000	-0.000848
4.440000	-0.000877
4.460000	-0.000908
4.480000	-0.000894
4.500000	-0.000950
4.520000	-0.000826
4.540000	-0.000810
4.560000	-0.000944
4.580000	-0.000903
4.600000	-0.000871
4.620000	-0.000967
4.640000	-0.000966
4.660000	-0.000877
4.680000	-0.000886
4.700000	-0.000865
4.720000	-0.000780
4.740000	-0.000712
4.760000	-0.000643
4.780000	-0.000530
4.800000	-0.000428
4.820000	-0.000321
4.840000	-0.000279
4.860000	-0.000234
4.880000	-0.000147
4.900000	-0.000233
4.920000	-0.000367
4.940000	-0.000408
4.960000	-0.000450
4.980000	-0.000534
5.000000	-0.000487
5.020000	-0.000522
5.040000	-0.000667
5.060000	-0.000695
5.080000	-0.000851
5.100000	-0.001007
5.120000	-0.000982
5.140000	-0.000824
5.160000	-0.000503
5.180000	-0.000457
5.200000	-0.000569
5.220000	-0.000487
5.240000	-0.000589
5.260000	-0.000681
5.280000	-0.000560
5.300000	-0.000204
5.320000	0.000034
5.340000	-0.000137
5.360000	-0.000348
5.380000	-0.000217
5.400000	-0.000038
5.420000	-0.000532
5.440000	-0.000872
5.460000	-0.000724
5.480000	-0.000335
5.500000	-0.000239
5.520000	-0.000971
5.540000	-0.001318
5.560000	-0.001328
5.580000	-0.001351
5.600000	-0.001269
5.620000	-0.001437
5.640000	-0.001614
5.660000	-0.001564
5.680000	-0.001778
5.700000	-0.001987
5.720000	-0.001615
5.740000	-0.001280
5.760000	-0.001023
5.780000	-0.001277
5.800000	-0.001623
5.820000	-0.001207
5.840000	-0.000876
5.860000	-0.000899
5.880000	-0.000901
5.900000	-0.000521
5.920000	-0.000338
5.940000	-0.000587
5.960000	-0.000826
5.980000	-0.000974
6.000000	-0.001074
6.020000	-0.001350
6.040000	-0.001612
6.060000	-0.001698
6.080000	-0.001857
6.100000	-0.001953
6.120000	-0.001793
6.140000	-0.001955
6.160000	-0.002190
6.180000	-0.002188
6.200000	-0.002150
6.220000	-0.002454
6.240000	-0.002947
6.260000	-0.002629
6.280000	-0.002262
6.300000	-0.002168
6.320000	-0.001985
6.340000	-0.001770
6.360000	-0.001528
6.380000	-0.001479
6.400000	-0.001586
6.420000	-0.001325
6.440000	-0.000768
6.460000	-0.000688
6.480000	-0.000658
6.500000	-0.000960
6.520000	-0.001802
6.540000	-0.001176
6.560000	0.000859
6.580000	0.000638
6.600000	-0.000020
6.620000	0.000124
6.640000	-0.001588
6.660000	-0.001595
6.680000	-0.001156
6.700000	-0.001737
6.720000	-0.001237
6.740000	-0.001606
6.760000	-0.002057
6.780000	-0.001655
6.800000	-0.000970
6.820000	-0.000442
6.840000	-0.000126
6.860000	-0.000730
6.880000	-0.001569
6.900000	-0.001490
6.920000	-0.000965
6.940000	0.000169
6.960000	0.000641
6.980000	0.000494
7.000000	0.000228
7.020000	-0.000461
7.040000	-0.000815
7.060000	-0.000895
7.080000	-0.000995
7.100000	-0.000169
7.120000	0.000726
7.140000	0.000542
7.160000	0.000617
7.180000	0.000547
7.200000	0.000102
7.220000	-0.000038
7.240000	-0.000723
7.260000	-0.001326
7.280000	-0.001574
7.300000	-0.001950
7.320000	-0.002166
7.340000	-0.002009
7.360000	-0.001817
7.380000	-0.001620
7.400000	-0.001058
7.420000	-0.001161
7.440000	-0.001680
7.460000	-0.002301
7.480000	-0.001694
7.500000	-0.000041
7.520000	-0.000091
7.540000	0.000283
7.560000	0.000821
7.580000	0.000013
7.600000	-0.001497
7.620000	-0.002933
7.640000	-0.002706
7.660000	-0.003073
7.680000	-0.004590
7.700000	-0.004473
7.720000	-0.003922
7.740000	-0.003521
7.760000	-0.003177
7.780000	-0.004493
7.800000	-0.005191
7.820000	-0.004086
7.840000	-0.003114
7.860000	-0.003988
7.880000	-0.004924
7.900000	-0.004595
7.920000	-0.005138
7.940000	-0.005679
7.960000	-0.006327
7.980000	-0.006506
8.000000	-0.005643
8.020000	-0.005519
8.040000	-0.006516
8.060000	-0.006309
8.080000	-0.004359
8.100000	-0.003931
8.120000	-0.003212
8.140000	-0.002733
8.160000	-0.003206
8.180000	-0.002957
8.200000	-0.002957
8.220000	-0.002910
8.240000	-0.002974
8.260000	-0.003242
8.280000	-0.004614
8.300000	-0.005123
8.320000	-0.005279
8.340000	-0.006062
8.360000	-0.005787
8.380000	-0.005834
8.400000	-0.006436
8.420000	-0.006252
