Tiempo(s)	Amplitud(mm)
# npts=18501
# fs=50.0000 Hz
# duracion=370.0000 s

0.000000	0.000002
0.020000	0.000001
0.040000	0.000003
0.060000	0.000002
0.080000	0.000004
0.100000	0.000005
0.120000	0.000008
0.140000	0.000010
0.160000	0.000015
0.180000	0.000018
0.200000	0.000024
0.220000	0.000029
0.240000	0.000036
0.260000	0.000042
0.280000	0.000050
0.300000	0.000056
0.320000	0.000065
0.340000	0.000073
0.360000	0.000082
0.380000	0.000090
0.400000	0.000100
0.420000	0.000109
0.440000	0.000119
0.460000	0.000128
0.480000	0.000138
0.500000	0.000147
0.520000	0.000158
0.540000	0.000167
0.560000	0.000178
0.580000	0.000188
0.600000	0.000199
0.620000	0.000208
0.640000	0.000219
0.660000	0.000228
0.680000	0.000239
0.700000	0.000249
0.720000	0.000260
0.740000	0.000269
0.760000	0.000280
0.780000	0.000289
0.800000	0.000300
0.820000	0.000310
0.840000	0.000321
0.860000	0.000330
0.880000	0.000341
0.900000	0.000350
0.920000	0.000361
0.940000	0.000370
0.960000	0.000381
0.980000	0.000390
1.000000	0.000401
1.020000	0.000410
1.040000	0.000421
1.060000	0.000430
1.080000	0.000440
1.100000	0.000449
1.120000	0.000460
1.140000	0.000469
1.160000	0.000480
1.180000	0.000489
1.200000	0.000500
1.220000	0.000508
1.240000	0.000519
1.260000	0.000528
1.280000	0.000539
1.300000	0.000547
1.320000	0.000558
1.340000	0.000567
1.360000	0.000577
1.380000	0.000586
1.400000	0.000597
1.420000	0.000605
1.440000	0.000616
1.460000	0.000624
1.480000	0.000635
1.500000	0.000644
1.520000	0.000654
1.540000	0.000662
1.560000	0.000673
1.580000	0.000681
1.600000	0.000692
1.620000	0.000700
1.640000	0.000710
1.660000	0.000719
1.680000	0.000729
1.700000	0.000737
1.720000	0.000747
1.740000	0.000756
1.760000	0.000766
1.780000	0.000774
1.800000	0.000784
1.820000	0.000792
1.840000	0.000802
1.860000	0.000810
1.880000	0.000820
1.900000	0.000828
1.920000	0.000838
1.940000	0.000846
1.960000	0.000856
1.980000	0.000864
2.000000	0.000873
2.020000	0.000881
2.040000	0.000891
2.060000	0.000899
2.080000	0.000908
2.100000	0.000916
2.120000	0.000925
2.140000	0.000933
2.160000	0.000942
2.180000	0.000950
2.200000	0.000959
2.220000	0.000967
2.240000	0.000976
2.260000	0.000984
2.280000	0.000993
2.300000	0.001000
2.320000	0.001010
2.340000	0.001017
2.360000	0.001026
2.380000	0.001033
2.400000	0.001042
2.420000	0.001049
2.440000	0.001059
2.460000	0.001066
2.480000	0.001075
2.500000	0.001083
2.520000	0.001092
2.540000	0.001099
2.560000	0.001108
2.580000	0.001115
2.600000	0.001124
2.620000	0.001132
2.640000	0.001140
2.660000	0.001147
2.680000	0.001157
2.700000	0.001164
2.720000	0.001173
2.740000	0.001181
2.760000	0.001190
2.780000	0.001197
2.800000	0.001207
2.820000	0.001213
2.840000	0.001222
2.860000	0.001229
2.880000	0.001238
2.900000	0.001246
2.920000	0.001254
2.940000	0.001262
2.960000	0.001271
2.980000	0.001278
3.000000	0.001287
3.020000	0.001293
3.040000	0.001303
3.060000	0.001309
3.080000	0.001318
3.100000	0.001327
3.120000	0.001336
3.140000	0.001345
3.160000	0.001355
3.180000	0.001363
3.200000	0.001372
3.220000	0.001379
3.240000	0.001388
3.260000	0.001396
3.280000	0.001405
3.300000	0.001411
3.320000	0.001418
3.340000	0.001423
3.360000	0.001432
3.380000	0.001438
3.400000	0.001447
3.420000	0.001454
3.440000	0.001463
3.460000	0.001474
3.480000	0.001481
3.500000	0.001486
3.520000	0.001492
3.540000	0.001493
3.560000	0.001500
3.580000	0.001505
3.600000	0.001509
3.620000	0.001515
3.640000	0.001521
3.660000	0.001523
3.680000	0.001531
3.700000	0.001533
3.720000	0.001535
3.740000	0.001540
3.760000	0.001544
3.780000	0.001546
3.800000	0.001551
3.820000	0.001553
3.840000	0.001561
3.860000	0.001561
3.880000	0.001568
3.900000	0.001577
3.920000	0.001587
3.940000	0.001596
3.960000	0.001604
3.980000	0.001607
4.000000	0.001612
4.020000	0.001618
4.040000	0.001624
4.060000	0.001629
4.080000	0.001630
4.100000	0.001631
4.120000	0.001632
4.140000	0.001625
4.160000	0.001631
4.180000	0.001634
4.200000	0.001637
4.220000	0.001643
4.240000	0.001639
4.260000	0.001632
4.280000	0.001633
4.300000	0.001629
4.320000	0.001634
4.340000	0.001634
4.360000	0.001627
4.380000	0.001620
4.400000	0.001604
4.420000	0.001592
4.440000	0.001585
4.460000	0.001578
4.480000	0.001568
4.500000	0.001552
4.520000	0.001555
4.540000	0.001558
4.560000	0.001562
4.580000	0.001567
4.600000	0.001576
4.620000	0.001572
4.640000	0.001565
4.660000	0.001566
4.680000	0.001574
4.700000	0.001573
4.720000	0.001572
4.740000	0.001581
4.760000	0.001573
4.780000	0.001574
4.800000	0.001587
4.820000	0.001580
4.840000	0.001580
4.860000	0.001579
4.880000	0.001576
4.900000	0.001589
4.920000	0.001591
4.940000	0.001590
4.960000	0.001613
4.980000	0.001626
5.000000	0.001652
5.020000	0.001652
5.040000	0.001651
5.060000	0.001648
5.080000	0.001659
5.100000	0.001697
5.120000	0.001729
5.140000	0.001763
5.160000	0.001784
5.180000	0.001813
5.200000	0.001853
5.220000	0.001867
5.240000	0.001869
5.260000	0.001857
5.280000	0.001867
5.300000	0.001876
5.320000	0.001891
5.340000	0.001887
5.360000	0.001876
5.380000	0.001883
5.400000	0.001893
5.420000	0.001925
5.440000	0.001938
5.460000	0.001936
5.480000	0.001964
5.500000	0.001985
5.520000	0.002019
5.540000	0.002034
5.560000	0.002031
5.580000	0.002059
5.600000	0.002071
5.620000	0.002072
5.640000	0.002070
5.660000	0.002120
5.680000	0.002137
5.700000	0.002114
5.720000	0.002117
5.740000	0.002083
5.760000	0.002092
5.780000	0.002098
5.800000	0.002100
5.820000	0.002097
5.840000	0.002074
5.860000	0.002082
5.880000	0.002098
5.900000	0.002092
5.920000	0.002060
5.940000	0.002039
5.960000	0.002005
5.980000	0.001948
6.000000	0.001907
6.020000	0.001807
6.040000	0.001741
6.060000	0.001685
6.080000	0.001614
6.100000	0.001589
6.120000	0.001562
6.140000	0.001538
6.160000	0.001511
6.180000	0.001471
6.200000	0.001431
6.220000	0.001446
6.240000	0.001450
6.260000	0.001448
6.280000	0.001434
6.300000	0.001337
6.320000	0.001297
6.340000	0.001187
6.360000	0.001054
6.380000	0.000976
6.400000	0.000919
6.420000	0.000910
6.440000	0.000945
6.460000	0.000969
6.480000	0.000907
6.500000	0.000867
6.520000	0.000815
6.540000	0.000681
6.560000	0.000567
6.580000	0.000483
6.600000	0.000394
6.620000	0.000381
6.640000	0.000366
6.660000	0.000290
6.680000	0.000275
6.700000	0.000176
6.720000	0.000101
6.740000	0.000044
6.760000	0.000001
6.780000	0.000034
6.800000	0.000013
6.820000	0.000031
6.840000	0.000035
6.860000	0.000010
6.880000	-0.000070
6.900000	-0.000115
6.920000	-0.000108
6.940000	-0.000225
6.960000	-0.000297
6.980000	-0.000444
7.000000	-0.000545
7.020000	-0.000538
7.040000	-0.000576
7.060000	-0.000602
7.080000	-0.000590
7.100000	-0.000576
7.120000	-0.000587
7.140000	-0.000576
7.160000	-0.000594
7.180000	-0.000646
7.200000	-0.000720
7.220000	-0.000823
7.240000	-0.000903
7.260000	-0.000994
7.280000	-0.001040
7.300000	-0.001052
7.320000	-0.001018
7.340000	-0.001029
7.360000	-0.001047
7.380000	-0.001042
7.400000	-0.001132
7.420000	-0.001205
7.440000	-0.001178
7.460000	-0.001249
7.480000	-0.001294
7.500000	-0.001291
7.520000	-0.001336
7.540000	-0.001305
7.560000	-0.001330
7.580000	-0.001400
7.600000	-0.001419
7.620000	-0.001500
7.640000	-0.001470
7.660000	-0.001592
7.680000	-0.001704
7.700000	-0.001698
7.720000	-0.001777
7.740000	-0.001735
7.760000	-0.001793
7.780000	-0.001754
7.800000	-0.001669
7.820000	-0.001700
7.840000	-0.001672
7.860000	-0.001719
7.880000	-0.001764
7.900000	-0.001766
7.920000	-0.001743
7.940000	-0.001628
7.960000	-0.001444
7.980000	-0.001317
8.000000	-0.001155
8.020000	-0.001172
8.040000	-0.001141
8.060000	-0.001189
8.080000	-0.001401
8.100000	-0.001540
8.120000	-0.001803
8.140000	-0.001786
8.160000	-0.001695
8.180000	-0.001634
8.200000	-0.001361
8.220000	-0.001184
8.240000	-0.000979
8.260000	-0.000902
8.280000	-0.000754
8.300000	-0.000611
8.320000	-0.000618
8.340000	-0.000479
8.360000	-0.000364
8.380000	-0.000203
8.400000	-0.000251
8.420000	-0.000394
8.440000	-0.000306
8.460000	-0.000179
8.480000	-0.000037
8.500000	0.000299
8.520000	0.000416
8.540000	0.000460
8.560000	0.000697
8.580000	0.000730
8.600000	0.000951
8.620000	0.001086
8.640000	0.001167
8.660000	0.001288
8.680000	0.001338
8.700000	0.001500
8.720000	0.001649
8.740000	0.001867
8.760000	0.002052
8.780000	0.002432
8.800000	0.002736
8.820000	0.002810
8.840000	0.003048
8.860000	0.003325
8.880000	0.003813
8.900000	0.004070
8.920000	0.004295
8.940000	0.004604
8.960000	0.004648
8.980000	0.004762
9.000000	0.004993
9.020000	0.005095
9.040000	0.005012
9.060000	0.004954
9.080000	0.005238
