Tiempo(s)	Amplitud(mm)
# npts=11935
# fs=50.0000 Hz
# duracion=238.6800 s

0.000000	0.000008
0.020000	0.000007
0.040000	0.000009
0.060000	0.000009
0.080000	0.000013
0.100000	0.000015
0.120000	0.000022
0.140000	0.000027
0.160000	0.000036
0.180000	0.000045
0.200000	0.000057
0.220000	0.000068
0.240000	0.000083
0.260000	0.000097
0.280000	0.000115
0.300000	0.000131
0.320000	0.000151
0.340000	0.000169
0.360000	0.000190
0.380000	0.000211
0.400000	0.000234
0.420000	0.000255
0.440000	0.000280
0.460000	0.000302
0.480000	0.000328
0.500000	0.000352
0.520000	0.000378
0.540000	0.000403
0.560000	0.000430
0.580000	0.000455
0.600000	0.000483
0.620000	0.000509
0.640000	0.000538
0.660000	0.000565
0.680000	0.000594
0.700000	0.000621
0.720000	0.000651
0.740000	0.000679
0.760000	0.000709
0.780000	0.000737
0.800000	0.000768
0.820000	0.000797
0.840000	0.000828
0.860000	0.000858
0.880000	0.000889
0.900000	0.000920
0.920000	0.000953
0.940000	0.000982
0.960000	0.001015
0.980000	0.001046
1.000000	0.001078
1.020000	0.001111
1.040000	0.001145
1.060000	0.001177
1.080000	0.001213
1.100000	0.001243
1.120000	0.001279
1.140000	0.001314
1.160000	0.001349
1.180000	0.001383
1.200000	0.001421
1.220000	0.001454
1.240000	0.001488
1.260000	0.001524
1.280000	0.001557
1.300000	0.001591
1.320000	0.001636
1.340000	0.001672
1.360000	0.001709
1.380000	0.001743
1.400000	0.001783
1.420000	0.001823
1.440000	0.001861
1.460000	0.001906
1.480000	0.001937
1.500000	0.001985
1.520000	0.002044
1.540000	0.002064
1.560000	0.002109
1.580000	0.002133
1.600000	0.002157
1.620000	0.002216
1.640000	0.002248
1.660000	0.002298
1.680000	0.002339
1.700000	0.002384
1.720000	0.002446
1.740000	0.002463
1.760000	0.002520
1.780000	0.002584
1.800000	0.002638
1.820000	0.002689
1.840000	0.002740
1.860000	0.002809
1.880000	0.002831
1.900000	0.002913
1.920000	0.003014
1.940000	0.003046
1.960000	0.003098
1.980000	0.003132
2.000000	0.003226
2.020000	0.003180
2.040000	0.003213
2.060000	0.003392
2.080000	0.003426
2.100000	0.003513
2.120000	0.003567
2.140000	0.003633
2.160000	0.003680
2.180000	0.003724
2.200000	0.003847
2.220000	0.003890
2.240000	0.003917
2.260000	0.003948
2.280000	0.004003
2.300000	0.004061
2.320000	0.004115
2.340000	0.004143
2.360000	0.004247
2.380000	0.004426
2.400000	0.004547
2.420000	0.004530
2.440000	0.004535
2.460000	0.004813
2.480000	0.005000
2.500000	0.005013
2.520000	0.005068
2.540000	0.005191
2.560000	0.005439
2.580000	0.005788
2.600000	0.005892
2.620000	0.005525
2.640000	0.005494
2.660000	0.005708
2.680000	0.005941
2.700000	0.006245
2.720000	0.006130
2.740000	0.005869
2.760000	0.005756
2.780000	0.005778
2.800000	0.006096
2.820000	0.006415
2.840000	0.006862
2.860000	0.007699
2.880000	0.007578
2.900000	0.007426
2.920000	0.007602
2.940000	0.007354
2.960000	0.007982
2.980000	0.008586
3.000000	0.008964
3.020000	0.008079
3.040000	0.006951
3.060000	0.007754
3.080000	0.008359
3.100000	0.008376
3.120000	0.008899
3.140000	0.009652
