Tiempo(s)	Amplitud(mm)
# npts=12001
# fs=50.0000 Hz
# duracion=240.0000 s

0.000000	0.000045
0.020000	0.000046
0.040000	0.000057
0.060000	0.000082
0.080000	0.000129
0.100000	0.000198
0.120000	0.000295
0.140000	0.000417
0.160000	0.000568
0.180000	0.000744
0.200000	0.000948
0.220000	0.001175
0.240000	0.001426
0.260000	0.001698
0.280000	0.001990
0.300000	0.002300
0.320000	0.002626
0.340000	0.002965
0.360000	0.003318
0.380000	0.003681
0.400000	0.004054
0.420000	0.004434
0.440000	0.004822
0.460000	0.005214
0.480000	0.005612
0.500000	0.006013
0.520000	0.006417
0.540000	0.006823
0.560000	0.007231
0.580000	0.007639
0.600000	0.008048
0.620000	0.008456
0.640000	0.008865
0.660000	0.009272
0.680000	0.009680
0.700000	0.010086
0.720000	0.010491
0.740000	0.010894
0.760000	0.011297
0.780000	0.011697
0.800000	0.012096
0.820000	0.012493
0.840000	0.012889
0.860000	0.013283
0.880000	0.013676
0.900000	0.014066
0.920000	0.014455
0.940000	0.014841
0.960000	0.015227
0.980000	0.015609
1.000000	0.015991
1.020000	0.016370
1.040000	0.016748
1.060000	0.017122
1.080000	0.017496
1.100000	0.017867
1.120000	0.018237
1.140000	0.018603
1.160000	0.018969
1.180000	0.019331
1.200000	0.019692
1.220000	0.020050
1.240000	0.020407
1.260000	0.020760
1.280000	0.021112
1.300000	0.021460
1.320000	0.021807
1.340000	0.022150
1.360000	0.022492
1.380000	0.022830
1.400000	0.023166
1.420000	0.023499
1.440000	0.023830
1.460000	0.024157
1.480000	0.024482
1.500000	0.024803
1.520000	0.025122
1.540000	0.025438
1.560000	0.025751
1.580000	0.026061
1.600000	0.026368
1.620000	0.026670
1.640000	0.026971
1.660000	0.027267
1.680000	0.027560
1.700000	0.027850
1.720000	0.028138
1.740000	0.028422
1.760000	0.028701
1.780000	0.028976
1.800000	0.029250
1.820000	0.029520
1.840000	0.029787
1.860000	0.030048
1.880000	0.030307
1.900000	0.030558
1.920000	0.030807
1.940000	0.031053
1.960000	0.031297
1.980000	0.031536
2.000000	0.031770
2.020000	0.031998
2.040000	0.032221
2.060000	0.032439
2.080000	0.032656
2.100000	0.032866
2.120000	0.033077
2.140000	0.033283
2.160000	0.033482
2.180000	0.033671
2.200000	0.033859
2.220000	0.034046
2.240000	0.034226
2.260000	0.034400
2.280000	0.034579
2.300000	0.034747
2.320000	0.034905
2.340000	0.035054
2.360000	0.035201
2.380000	0.035346
2.400000	0.035496
2.420000	0.035638
2.440000	0.035761
2.460000	0.035881
2.480000	0.035993
2.500000	0.036101
2.520000	0.036223
2.540000	0.036322
2.560000	0.036420
2.580000	0.036527
2.600000	0.036614
2.620000	0.036690
2.640000	0.036773
2.660000	0.036846
2.680000	0.036909
2.700000	0.036980
2.720000	0.037054
2.740000	0.037106
2.760000	0.037146
2.780000	0.037176
2.800000	0.037208
2.820000	0.037241
2.840000	0.037279
2.860000	0.037309
2.880000	0.037323
2.900000	0.037320
2.920000	0.037308
2.940000	0.037313
2.960000	0.037323
2.980000	0.037317
3.000000	0.037297
3.020000	0.037282
3.040000	0.037249
3.060000	0.037186
3.080000	0.037164
3.100000	0.037142
3.120000	0.037088
3.140000	0.037066
3.160000	0.037022
3.180000	0.036919
3.200000	0.036865
3.220000	0.036781
3.240000	0.036670
3.260000	0.036625
3.280000	0.036566
3.300000	0.036475
3.320000	0.036419
3.340000	0.036305
3.360000	0.036178
3.380000	0.036106
3.400000	0.036002
3.420000	0.035909
3.440000	0.035795
3.460000	0.035658
3.480000	0.035522
3.500000	0.035374
3.520000	0.035276
3.540000	0.035126
3.560000	0.034989
3.580000	0.034908
3.600000	0.034770
3.620000	0.034514
3.640000	0.034329
3.660000	0.034248
3.680000	0.033996
3.700000	0.033794
3.720000	0.033719
3.740000	0.033553
3.760000	0.033354
3.780000	0.033117
3.800000	0.032884
3.820000	0.032711
3.840000	0.032577
3.860000	0.032303
3.880000	0.032023
3.900000	0.031892
3.920000	0.031570
3.940000	0.031250
3.960000	0.031088
3.980000	0.030827
4.000000	0.030497
4.020000	0.030312
4.040000	0.030074
4.060000	0.029779
4.080000	0.029573
4.100000	0.029317
4.120000	0.029091
4.140000	0.028835
4.160000	0.028613
4.180000	0.028340
4.200000	0.027974
4.220000	0.027696
4.240000	0.027336
4.260000	0.027088
4.280000	0.026900
4.300000	0.026523
4.320000	0.026147
4.340000	0.025805
4.360000	0.025488
4.380000	0.025123
4.400000	0.024806
4.420000	0.024470
4.440000	0.024044
4.460000	0.023635
4.480000	0.023250
4.500000	0.022804
4.520000	0.022514
4.540000	0.022190
4.560000	0.021662
4.580000	0.021414
4.600000	0.021094
4.620000	0.020407
4.640000	0.020081
4.660000	0.019881
4.680000	0.019267
4.700000	0.018802
4.720000	0.018637
4.740000	0.018234
4.760000	0.017568
4.780000	0.017186
4.800000	0.016865
4.820000	0.016318
4.840000	0.016077
4.860000	0.015843
4.880000	0.015358
4.900000	0.015016
4.920000	0.014732
4.940000	0.014203
4.960000	0.013891
4.980000	0.013790
5.000000	0.013417
5.020000	0.013081
5.040000	0.012686
5.060000	0.012239
5.080000	0.011986
5.100000	0.011687
5.120000	0.011098
5.140000	0.010825
5.160000	0.010772
5.180000	0.010234
5.200000	0.009763
5.220000	0.009249
5.240000	0.008939
5.260000	0.008663
5.280000	0.008214
5.300000	0.007960
5.320000	0.007556
5.340000	0.007228
5.360000	0.006887
5.380000	0.006386
5.400000	0.006132
5.420000	0.005845
5.440000	0.005625
5.460000	0.005344
5.480000	0.004966
5.500000	0.004688
5.520000	0.004633
5.540000	0.004481
5.560000	0.003899
5.580000	0.003768
5.600000	0.003791
5.620000	0.003481
5.640000	0.003358
5.660000	0.003065
5.680000	0.002748
5.700000	0.002917
5.720000	0.003143
5.740000	0.002668
5.760000	0.002236
5.780000	0.002280
5.800000	0.002357
5.820000	0.001892
5.840000	0.001731
5.860000	0.001693
5.880000	0.000965
5.900000	0.000715
5.920000	0.000517
5.940000	0.000307
5.960000	0.000302
5.980000	-0.000066
6.000000	-0.000397
6.020000	-0.000567
6.040000	-0.000697
6.060000	-0.001061
6.080000	-0.001364
6.100000	-0.001111
6.120000	-0.001349
6.140000	-0.001520
6.160000	-0.001078
6.180000	-0.001497
6.200000	-0.001899
6.220000	-0.001609
6.240000	-0.001843
6.260000	-0.002406
6.280000	-0.002255
6.300000	-0.002513
6.320000	-0.002950
6.340000	-0.002902
6.360000	-0.003216
6.380000	-0.003111
6.400000	-0.002719
6.420000	-0.002898
6.440000	-0.003101
6.460000	-0.003067
6.480000	-0.003318
6.500000	-0.003571
6.520000	-0.003482
6.540000	-0.003224
6.560000	-0.003438
6.580000	-0.003860
6.600000	-0.003690
6.620000	-0.003753
6.640000	-0.003847
6.660000	-0.003761
6.680000	-0.003899
6.700000	-0.003863
6.720000	-0.003684
6.740000	-0.003696
6.760000	-0.003865
6.780000	-0.003922
6.800000	-0.004222
6.820000	-0.004804
6.840000	-0.004803
6.860000	-0.004602
6.880000	-0.004912
6.900000	-0.004988
6.920000	-0.005165
6.940000	-0.005311
6.960000	-0.005116
6.980000	-0.005379
7.000000	-0.005675
7.020000	-0.005678
7.040000	-0.005895
7.060000	-0.006165
7.080000	-0.005997
7.100000	-0.005817
7.120000	-0.006038
7.140000	-0.006300
7.160000	-0.006554
7.180000	-0.006753
7.200000	-0.006659
7.220000	-0.006581
7.240000	-0.006672
7.260000	-0.006964
7.280000	-0.006655
7.300000	-0.006475
7.320000	-0.007151
7.340000	-0.006822
7.360000	-0.006465
7.380000	-0.006716
7.400000	-0.006520
7.420000	-0.006092
7.440000	-0.006184
7.460000	-0.006450
7.480000	-0.006344
7.500000	-0.006384
7.520000	-0.006410
7.540000	-0.006502
7.560000	-0.006647
7.580000	-0.006535
7.600000	-0.006666
7.620000	-0.006924
7.640000	-0.006784
7.660000	-0.006406
7.680000	-0.006501
