Tiempo(s)	Amplitud(mm)
# npts=11932
# fs=50.0000 Hz
# duracion=238.6200 s

0.000000	-0.000000
0.020000	-0.000000
0.040000	-0.000000
0.060000	-0.000001
0.080000	-0.000001
0.100000	-0.000002
0.120000	-0.000002
0.140000	-0.000003
0.160000	-0.000005
0.180000	-0.000006
0.200000	-0.000008
0.220000	-0.000010
0.240000	-0.000012
0.260000	-0.000014
0.280000	-0.000017
0.300000	-0.000019
0.320000	-0.000022
0.340000	-0.000025
0.360000	-0.000028
0.380000	-0.000031
0.400000	-0.000034
0.420000	-0.000037
0.440000	-0.000040
0.460000	-0.000044
0.480000	-0.000047
0.500000	-0.000050
0.520000	-0.000054
0.540000	-0.000057
0.560000	-0.000061
0.580000	-0.000064
0.600000	-0.000068
0.620000	-0.000071
0.640000	-0.000074
0.660000	-0.000078
0.680000	-0.000081
0.700000	-0.000085
0.720000	-0.000088
0.740000	-0.000092
0.760000	-0.000095
0.780000	-0.000098
0.800000	-0.000102
0.820000	-0.000105
0.840000	-0.000109
0.860000	-0.000112
0.880000	-0.000115
0.900000	-0.000119
0.920000	-0.000122
0.940000	-0.000125
0.960000	-0.000129
0.980000	-0.000132
1.000000	-0.000135
1.020000	-0.000138
1.040000	-0.000141
1.060000	-0.000144
1.080000	-0.000147
1.100000	-0.000150
1.120000	-0.000153
1.140000	-0.000156
1.160000	-0.000160
1.180000	-0.000163
1.200000	-0.000166
1.220000	-0.000168
1.240000	-0.000171
1.260000	-0.000173
1.280000	-0.000176
1.300000	-0.000178
1.320000	-0.000180
1.340000	-0.000182
1.360000	-0.000186
1.380000	-0.000188
1.400000	-0.000190
1.420000	-0.000192
1.440000	-0.000195
1.460000	-0.000197
1.480000	-0.000198
1.500000	-0.000200
1.520000	-0.000201
1.540000	-0.000203
1.560000	-0.000204
1.580000	-0.000205
1.600000	-0.000207
1.620000	-0.000208
1.640000	-0.000210
1.660000	-0.000212
1.680000	-0.000215
1.700000	-0.000219
1.720000	-0.000222
1.740000	-0.000227
1.760000	-0.000229
1.780000	-0.000231
1.800000	-0.000233
1.820000	-0.000234
1.840000	-0.000240
1.860000	-0.000247
1.880000	-0.000250
1.900000	-0.000250
1.920000	-0.000254
1.940000	-0.000262
1.960000	-0.000268
1.980000	-0.000275
2.000000	-0.000281
2.020000	-0.000283
2.040000	-0.000283
2.060000	-0.000288
2.080000	-0.000303
2.100000	-0.000319
2.120000	-0.000330
2.140000	-0.000342
2.160000	-0.000353
2.180000	-0.000358
2.200000	-0.000361
2.220000	-0.000375
2.240000	-0.000403
2.260000	-0.000433
2.280000	-0.000449
2.300000	-0.000443
2.320000	-0.000439
2.340000	-0.000450
2.360000	-0.000470
2.380000	-0.000502
2.400000	-0.000530
2.420000	-0.000551
2.440000	-0.000582
2.460000	-0.000623
2.480000	-0.000675
2.500000	-0.000717
2.520000	-0.000751
2.540000	-0.000771
2.560000	-0.000769
2.580000	-0.000781
2.600000	-0.000807
2.620000	-0.000843
2.640000	-0.000893
2.660000	-0.000942
2.680000	-0.000976
2.700000	-0.000966
2.720000	-0.000940
2.740000	-0.000915
2.760000	-0.000910
2.780000	-0.000927
2.800000	-0.000954
2.820000	-0.001029
2.840000	-0.001110
2.860000	-0.001162
2.880000	-0.001208
2.900000	-0.001281
2.920000	-0.001365
2.940000	-0.001368
2.960000	-0.001319
2.980000	-0.001251
3.000000	-0.001202
3.020000	-0.001178
3.040000	-0.001127
3.060000	-0.001128
3.080000	-0.001187
3.100000	-0.001226
3.120000	-0.001262
3.140000	-0.001296
3.160000	-0.001271
3.180000	-0.001234
3.200000	-0.001217
3.220000	-0.001171
3.240000	-0.001120
3.260000	-0.001106
3.280000	-0.001170
3.300000	-0.001222
3.320000	-0.001228
3.340000	-0.001253
3.360000	-0.001250
3.380000	-0.001189
3.400000	-0.001174
3.420000	-0.001189
3.440000	-0.001109
3.460000	-0.000979
3.480000	-0.000858
3.500000	-0.000738
3.520000	-0.000648
3.540000	-0.000605
3.560000	-0.000510
3.580000	-0.000447
3.600000	-0.000478
3.620000	-0.000479
3.640000	-0.000496
3.660000	-0.000542
3.680000	-0.000465
3.700000	-0.000286
3.720000	-0.000245
3.740000	-0.000237
3.760000	-0.000185
3.780000	-0.000131
3.800000	-0.000008
3.820000	0.000138
3.840000	0.000241
3.860000	0.000160
3.880000	0.000127
3.900000	0.000149
3.920000	0.000050
3.940000	-0.000075
3.960000	-0.000245
3.980000	-0.000263
4.000000	-0.000242
4.020000	-0.000158
4.040000	0.000061
4.060000	0.000295
4.080000	0.000578
4.100000	0.000669
4.120000	0.000677
4.140000	0.000683
4.160000	0.000623
4.180000	0.000583
4.200000	0.000501
4.220000	0.000426
4.240000	0.000523
4.260000	0.000845
4.280000	0.001015
4.300000	0.001158
4.320000	0.001292
4.340000	0.001061
4.360000	0.000873
4.380000	0.000685
4.400000	0.000464
4.420000	0.000258
4.440000	0.000033
4.460000	0.000120
4.480000	0.000193
4.500000	0.000176
4.520000	0.000163
4.540000	0.000110
4.560000	0.000213
4.580000	0.000450
4.600000	0.000812
4.620000	0.000924
4.640000	0.000866
4.660000	0.000891
4.680000	0.000588
4.700000	0.000376
4.720000	0.000223
4.740000	0.000057
4.760000	0.000098
4.780000	-0.000353
4.800000	-0.000846
4.820000	-0.001006
4.840000	-0.000890
4.860000	-0.000484
