Tiempo(s)	Amplitud(mm)
# npts=18501
# fs=50.0000 Hz
# duracion=370.0000 s

0.000000	0.000000
0.020000	0.000000
0.040000	0.000000
0.060000	0.000000
0.080000	0.000000
0.100000	0.000000
0.120000	0.000001
0.140000	0.000001
0.160000	0.000001
0.180000	0.000001
0.200000	0.000002
0.220000	0.000002
0.240000	0.000003
0.260000	0.000003
0.280000	0.000004
0.300000	0.000004
0.320000	0.000005
0.340000	0.000005
0.360000	0.000006
0.380000	0.000006
0.400000	0.000007
0.420000	0.000008
0.440000	0.000009
0.460000	0.000009
0.480000	0.000010
0.500000	0.000011
0.520000	0.000012
0.540000	0.000012
0.560000	0.000013
0.580000	0.000014
0.600000	0.000015
0.620000	0.000015
0.640000	0.000016
0.660000	0.000017
0.680000	0.000018
0.700000	0.000018
0.720000	0.000019
0.740000	0.000020
0.760000	0.000021
0.780000	0.000021
0.800000	0.000022
0.820000	0.000023
0.840000	0.000024
0.860000	0.000024
0.880000	0.000025
0.900000	0.000026
0.920000	0.000027
0.940000	0.000028
0.960000	0.000029
0.980000	0.000029
1.000000	0.000030
1.020000	0.000031
1.040000	0.000032
1.060000	0.000032
1.080000	0.000033
1.100000	0.000034
1.120000	0.000035
1.140000	0.000036
1.160000	0.000037
1.180000	0.000037
1.200000	0.000038
1.220000	0.000039
1.240000	0.000040
1.260000	0.000040
1.280000	0.000041
1.300000	0.000042
1.320000	0.000043
1.340000	0.000044
1.360000	0.000045
1.380000	0.000045
1.400000	0.000046
1.420000	0.000047
1.440000	0.000048
1.460000	0.000048
1.480000	0.000049
1.500000	0.000050
1.520000	0.000051
1.540000	0.000052
1.560000	0.000053
1.580000	0.000053
1.600000	0.000054
1.620000	0.000055
1.640000	0.000056
1.660000	0.000057
1.680000	0.000058
1.700000	0.000058
1.720000	0.000059
1.740000	0.000060
1.760000	0.000061
1.780000	0.000061
1.800000	0.000062
1.820000	0.000063
1.840000	0.000064
1.860000	0.000064
1.880000	0.000065
1.900000	0.000066
1.920000	0.000066
1.940000	0.000067
1.960000	0.000068
1.980000	0.000068
2.000000	0.000069
2.020000	0.000070
2.040000	0.000071
2.060000	0.000071
2.080000	0.000072
2.100000	0.000073
2.120000	0.000074
2.140000	0.000074
2.160000	0.000075
2.180000	0.000076
2.200000	0.000076
2.220000	0.000077
2.240000	0.000078
2.260000	0.000078
2.280000	0.000079
2.300000	0.000080
2.320000	0.000081
2.340000	0.000082
2.360000	0.000083
2.380000	0.000083
2.400000	0.000084
2.420000	0.000084
2.440000	0.000085
2.460000	0.000086
2.480000	0.000087
2.500000	0.000087
2.520000	0.000088
2.540000	0.000088
2.560000	0.000088
2.580000	0.000089
2.600000	0.000091
2.620000	0.000092
2.640000	0.000093
2.660000	0.000093
2.680000	0.000093
2.700000	0.000094
2.720000	0.000096
2.740000	0.000097
2.760000	0.000098
2.780000	0.000099
2.800000	0.000100
2.820000	0.000101
2.840000	0.000103
2.860000	0.000104
2.880000	0.000106
2.900000	0.000107
2.920000	0.000108
2.940000	0.000109
2.960000	0.000110
2.980000	0.000110
3.000000	0.000109
3.020000	0.000107
3.040000	0.000105
3.060000	0.000103
3.080000	0.000101
3.100000	0.000099
3.120000	0.000099
3.140000	0.000101
3.160000	0.000103
3.180000	0.000104
3.200000	0.000105
3.220000	0.000108
3.240000	0.000112
3.260000	0.000111
3.280000	0.000108
3.300000	0.000105
3.320000	0.000107
3.340000	0.000107
3.360000	0.000106
3.380000	0.000100
3.400000	0.000095
3.420000	0.000097
3.440000	0.000097
3.460000	0.000096
3.480000	0.000091
3.500000	0.000088
3.520000	0.000092
3.540000	0.000097
3.560000	0.000097
3.580000	0.000095
3.600000	0.000095
3.620000	0.000095
3.640000	0.000100
3.660000	0.000100
3.680000	0.000103
3.700000	0.000113
3.720000	0.000122
3.740000	0.000128
3.760000	0.000132
3.780000	0.000132
3.800000	0.000130
3.820000	0.000128
3.840000	0.000121
3.860000	0.000120
3.880000	0.000122
3.900000	0.000118
3.920000	0.000121
3.940000	0.000120
3.960000	0.000123
3.980000	0.000127
4.000000	0.000117
4.020000	0.000110
4.040000	0.000108
4.060000	0.000107
4.080000	0.000097
4.100000	0.000077
4.120000	0.000066
4.140000	0.000072
4.160000	0.000082
4.180000	0.000089
4.200000	0.000080
4.220000	0.000066
4.240000	0.000073
4.260000	0.000092
4.280000	0.000092
4.300000	0.000070
4.320000	0.000049
4.340000	0.000043
4.360000	0.000053
4.380000	0.000046
4.400000	0.000039
4.420000	0.000060
4.440000	0.000083
4.460000	0.000103
4.480000	0.000100
4.500000	0.000082
4.520000	0.000065
4.540000	0.000055
4.560000	0.000053
4.580000	0.000026
4.600000	-0.000002
4.620000	-0.000004
4.640000	0.000014
4.660000	0.000010
4.680000	-0.000024
4.700000	-0.000046
4.720000	-0.000050
4.740000	-0.000055
4.760000	-0.000062
4.780000	-0.000041
4.800000	-0.000006
4.820000	0.000025
4.840000	0.000048
4.860000	0.000050
4.880000	0.000054
4.900000	0.000060
4.920000	0.000090
4.940000	0.000140
4.960000	0.000168
4.980000	0.000204
5.000000	0.000250
5.020000	0.000280
5.040000	0.000304
5.060000	0.000323
5.080000	0.000347
5.100000	0.000353
5.120000	0.000351
5.140000	0.000375
5.160000	0.000404
5.180000	0.000413
5.200000	0.000385
5.220000	0.000370
5.240000	0.000367
5.260000	0.000376
5.280000	0.000368
5.300000	0.000285
5.320000	0.000232
5.340000	0.000211
5.360000	0.000213
5.380000	0.000215
5.400000	0.000177
5.420000	0.000173
5.440000	0.000198
5.460000	0.000225
5.480000	0.000232
5.500000	0.000226
5.520000	0.000221
5.540000	0.000218
5.560000	0.000248
5.580000	0.000288
5.600000	0.000246
5.620000	0.000148
5.640000	0.000107
5.660000	0.000145
5.680000	0.000227
5.700000	0.000285
5.720000	0.000344
5.740000	0.000424
5.760000	0.000544
5.780000	0.000698
5.800000	0.000793
5.820000	0.000819
5.840000	0.000787
5.860000	0.000757
5.880000	0.000785
5.900000	0.000837
5.920000	0.000776
5.940000	0.000621
5.960000	0.000530
5.980000	0.000508
6.000000	0.000546
6.020000	0.000505
6.040000	0.000388
6.060000	0.000310
6.080000	0.000273
6.100000	0.000275
6.120000	0.000280
6.140000	0.000159
6.160000	-0.000044
6.180000	-0.000169
6.200000	-0.000260
6.220000	-0.000335
6.240000	-0.000301
6.260000	-0.000177
6.280000	-0.000086
6.300000	-0.000019
6.320000	0.000009
6.340000	0.000003
6.360000	0.000043
6.380000	0.000086
6.400000	0.000088
6.420000	0.000051
6.440000	0.000057
6.460000	-0.000096
6.480000	-0.000247
6.500000	-0.000228
6.520000	-0.000210
6.540000	-0.000151
6.560000	-0.000141
6.580000	-0.000168
6.600000	-0.000233
6.620000	-0.000320
6.640000	-0.000310
6.660000	-0.000267
6.680000	-0.000278
6.700000	-0.000254
6.720000	-0.000040
6.740000	0.000170
6.760000	0.000249
6.780000	0.000270
6.800000	0.000298
6.820000	0.000429
6.840000	0.000577
6.860000	0.000568
6.880000	0.000439
6.900000	0.000340
6.920000	0.000231
6.940000	0.000251
6.960000	0.000186
6.980000	-0.000088
7.000000	-0.000212
7.020000	-0.000260
7.040000	-0.000276
7.060000	-0.000507
7.080000	-0.000737
7.100000	-0.000743
7.120000	-0.000737
7.140000	-0.000719
7.160000	-0.000875
7.180000	-0.001046
7.200000	-0.001150
7.220000	-0.001170
7.240000	-0.001168
7.260000	-0.001243
7.280000	-0.001344
7.300000	-0.001369
7.320000	-0.001282
7.340000	-0.001280
7.360000	-0.001204
7.380000	-0.001105
7.400000	-0.001075
7.420000	-0.001006
7.440000	-0.000896
7.460000	-0.000725
7.480000	-0.000631
7.500000	-0.000652
7.520000	-0.000745
7.540000	-0.000761
7.560000	-0.000621
7.580000	-0.000520
7.600000	-0.000484
7.620000	-0.000525
7.640000	-0.000521
7.660000	-0.000471
7.680000	-0.000465
7.700000	-0.000465
7.720000	-0.000472
7.740000	-0.000269
7.760000	-0.000113
7.780000	-0.000155
7.800000	-0.000193
7.820000	-0.000066
7.840000	0.000243
7.860000	0.000288
7.880000	0.000229
7.900000	0.000061
7.920000	0.000084
7.940000	0.000357
7.960000	0.000284
7.980000	0.000064
8.000000	-0.000122
8.020000	-0.000076
8.040000	0.000151
8.060000	0.000131
8.080000	-0.000108
8.100000	-0.000254
8.120000	-0.000171
8.140000	-0.000032
8.160000	-0.000009
8.180000	-0.000107
8.200000	-0.000179
8.220000	0.000057
8.240000	0.000346
8.260000	0.000499
8.280000	0.000762
8.300000	0.000982
8.320000	0.001295
8.340000	0.001569
8.360000	0.001829
8.380000	0.002267
8.400000	0.002590
8.420000	0.002706
8.440000	0.002637
8.460000	0.002673
8.480000	0.002610
8.500000	0.002493
8.520000	0.002359
8.540000	0.002222
8.560000	0.002316
8.580000	0.002092
8.600000	0.002042
8.620000	0.002237
8.640000	0.002326
8.660000	0.002686
8.680000	0.002851
8.700000	0.002870
8.720000	0.003001
8.740000	0.003265
8.760000	0.003596
8.780000	0.003883
8.800000	0.004119
8.820000	0.003857
8.840000	0.003571
8.860000	0.003568
8.880000	0.003582
8.900000	0.003530
8.920000	0.003326
8.940000	0.003173
8.960000	0.003019
8.980000	0.002932
9.000000	0.002914
9.020000	0.002829
9.040000	0.002656
9.060000	0.002552
9.080000	0.002421
