Tiempo(s)	Amplitud(mm)
# npts=18501
# fs=50.0000 Hz
# duracion=370.0000 s

0.000000	0.000001
0.020000	0.000000
0.040000	0.000001
0.060000	0.000001
0.080000	0.000002
0.100000	0.000002
0.120000	0.000004
0.140000	0.000005
0.160000	0.000007
0.180000	0.000008
0.200000	0.000011
0.220000	0.000013
0.240000	0.000017
0.260000	0.000019
0.280000	0.000023
0.300000	0.000026
0.320000	0.000031
0.340000	0.000034
0.360000	0.000038
0.380000	0.000042
0.400000	0.000047
0.420000	0.000050
0.440000	0.000056
0.460000	0.000059
0.480000	0.000065
0.500000	0.000068
0.520000	0.000074
0.540000	0.000078
0.560000	0.000083
0.580000	0.000087
0.600000	0.000093
0.620000	0.000097
0.640000	0.000102
0.660000	0.000106
0.680000	0.000112
0.700000	0.000116
0.720000	0.000121
0.740000	0.000125
0.760000	0.000130
0.780000	0.000134
0.800000	0.000140
0.820000	0.000144
0.840000	0.000149
0.860000	0.000153
0.880000	0.000159
0.900000	0.000162
0.920000	0.000168
0.940000	0.000172
0.960000	0.000177
0.980000	0.000181
1.000000	0.000186
1.020000	0.000190
1.040000	0.000195
1.060000	0.000199
1.080000	0.000204
1.100000	0.000208
1.120000	0.000214
1.140000	0.000217
1.160000	0.000222
1.180000	0.000226
1.200000	0.000231
1.220000	0.000235
1.240000	0.000241
1.260000	0.000244
1.280000	0.000249
1.300000	0.000253
1.320000	0.000258
1.340000	0.000262
1.360000	0.000267
1.380000	0.000270
1.400000	0.000276
1.420000	0.000280
1.440000	0.000283
1.460000	0.000288
1.480000	0.000294
1.500000	0.000297
1.520000	0.000301
1.540000	0.000304
1.560000	0.000309
1.580000	0.000314
1.600000	0.000318
1.620000	0.000320
1.640000	0.000326
1.660000	0.000330
1.680000	0.000336
1.700000	0.000337
1.720000	0.000341
1.740000	0.000343
1.760000	0.000350
1.780000	0.000357
1.800000	0.000356
1.820000	0.000356
1.840000	0.000365
1.860000	0.000372
1.880000	0.000372
1.900000	0.000368
1.920000	0.000378
1.940000	0.000384
1.960000	0.000386
1.980000	0.000387
2.000000	0.000390
2.020000	0.000397
2.040000	0.000404
2.060000	0.000405
2.080000	0.000409
2.100000	0.000408
2.120000	0.000413
2.140000	0.000415
2.160000	0.000416
2.180000	0.000410
2.200000	0.000425
2.220000	0.000441
2.240000	0.000427
2.260000	0.000427
2.280000	0.000438
2.300000	0.000446
2.320000	0.000460
2.340000	0.000446
2.360000	0.000437
2.380000	0.000458
2.400000	0.000476
2.420000	0.000442
2.440000	0.000429
2.460000	0.000455
2.480000	0.000478
2.500000	0.000473
2.520000	0.000444
2.540000	0.000443
2.560000	0.000485
2.580000	0.000516
2.600000	0.000503
2.620000	0.000480
2.640000	0.000475
2.660000	0.000484
2.680000	0.000490
2.700000	0.000480
2.720000	0.000523
2.740000	0.000552
2.760000	0.000491
2.780000	0.000449
2.800000	0.000470
2.820000	0.000511
2.840000	0.000570
2.860000	0.000513
2.880000	0.000456
2.900000	0.000533
2.920000	0.000573
2.940000	0.000543
2.960000	0.000526
2.980000	0.000520
3.000000	0.000558
3.020000	0.000562
3.040000	0.000510
3.060000	0.000517
3.080000	0.000534
3.100000	0.000579
3.120000	0.000524
3.140000	0.000483
3.160000	0.000631
3.180000	0.000625
3.200000	0.000588
3.220000	0.000572
3.240000	0.000701
3.260000	0.000750
3.280000	0.000508
3.300000	0.000476
3.320000	0.000536
3.340000	0.000694
3.360000	0.000782
3.380000	0.000670
3.400000	0.000633
3.420000	0.000609
3.440000	0.000757
3.460000	0.000818
3.480000	0.000631
3.500000	0.000641
3.520000	0.000738
3.540000	0.000703
3.560000	0.000774
3.580000	0.000767
3.600000	0.000797
3.620000	0.000826
3.640000	0.000767
3.660000	0.000960
3.680000	0.000801
3.700000	0.000669
3.720000	0.000939
3.740000	0.000830
3.760000	0.000849
3.780000	0.001031
3.800000	0.000906
3.820000	0.000770
3.840000	0.000734
3.860000	0.000994
3.880000	0.000973
3.900000	0.000767
3.920000	0.001033
3.940000	0.001237
3.960000	0.001157
3.980000	0.000634
4.000000	0.000681
4.020000	0.001098
4.040000	0.001239
4.060000	0.001253
4.080000	0.000776
4.100000	0.001057
4.120000	0.001420
4.140000	0.001258
4.160000	0.001265
4.180000	0.001119
4.200000	0.001263
4.220000	0.001069
4.240000	0.000727
4.260000	0.001338
4.280000	0.001463
4.300000	0.000752
4.320000	0.000875
4.340000	0.001534
4.360000	0.001860
4.380000	0.001650
4.400000	0.001125
4.420000	0.001099
4.440000	0.001326
4.460000	0.001148
4.480000	0.000744
4.500000	0.001219
4.520000	0.002356
4.540000	0.001895
4.560000	0.001072
4.580000	0.001328
4.600000	0.001761
4.620000	0.002214
4.640000	0.001066
4.660000	0.000815
4.680000	0.002656
4.700000	0.002257
4.720000	0.000683
4.740000	-0.000117
4.760000	0.001361
4.780000	0.003536
4.800000	0.002555
4.820000	0.001338
4.840000	0.001231
4.860000	0.001020
4.880000	0.001238
4.900000	0.001485
4.920000	0.001524
4.940000	0.002334
4.960000	0.002274
4.980000	0.000891
5.000000	0.000971
5.020000	0.001770
5.040000	0.002139
5.060000	0.001438
5.080000	0.001255
5.100000	0.002478
5.120000	0.002516
5.140000	0.001166
5.160000	0.000447
5.180000	0.000774
5.200000	0.000973
5.220000	0.001658
5.240000	0.002150
5.260000	0.001542
5.280000	0.000546
5.300000	0.000087
5.320000	0.001707
5.340000	0.002861
5.360000	0.001123
5.380000	0.001024
5.400000	0.001997
5.420000	0.001265
5.440000	0.001220
5.460000	0.000676
5.480000	-0.000185
5.500000	-0.000624
5.520000	-0.000129
5.540000	0.001457
5.560000	0.000875
5.580000	-0.000055
5.600000	0.000689
5.620000	0.000778
5.640000	0.000851
5.660000	0.002225
5.680000	0.002851
5.700000	0.001259
5.720000	-0.000442
5.740000	-0.001286
5.760000	-0.000602
5.780000	0.001164
5.800000	0.001477
5.820000	0.001921
5.840000	0.002238
5.860000	0.000311
5.880000	-0.000545
5.900000	-0.000336
5.920000	0.000167
5.940000	0.000442
5.960000	-0.001630
5.980000	-0.000015
6.000000	0.000765
6.020000	0.000776
6.040000	0.000319
6.060000	-0.003460
6.080000	0.000920
6.100000	0.001648
6.120000	-0.002214
6.140000	-0.002240
6.160000	-0.000089
6.180000	0.001170
6.200000	-0.002729
6.220000	-0.002535
6.240000	-0.002179
6.260000	-0.001016
6.280000	-0.000363
6.300000	-0.002537
6.320000	-0.001910
6.340000	-0.000502
6.360000	0.001774
6.380000	0.000092
6.400000	-0.003080
6.420000	-0.003813
6.440000	0.000035
6.460000	0.003522
6.480000	0.001936
6.500000	-0.000247
6.520000	-0.002276
6.540000	-0.002456
6.560000	-0.002288
6.580000	-0.001289
6.600000	-0.000604
6.620000	0.000159
6.640000	-0.003315
6.660000	-0.004442
6.680000	0.001550
6.700000	-0.000548
6.720000	-0.001285
6.740000	-0.001951
6.760000	-0.004477
6.780000	-0.002149
6.800000	-0.001584
6.820000	-0.000346
6.840000	-0.000982
6.860000	-0.000650
6.880000	-0.000661
6.900000	-0.000822
6.920000	0.001825
6.940000	0.001845
6.960000	0.000657
6.980000	-0.000359
7.000000	-0.000724
7.020000	-0.001549
7.040000	0.001166
7.060000	0.000695
7.080000	-0.003048
7.100000	-0.003685
7.120000	-0.003520
7.140000	0.004187
7.160000	0.005794
7.180000	-0.005711
7.200000	-0.007632
7.220000	-0.000014
7.240000	0.001467
7.260000	0.000768
7.280000	-0.001593
7.300000	-0.003204
7.320000	0.001526
7.340000	0.003209
7.360000	0.002328
7.380000	0.001667
7.400000	-0.002271
7.420000	-0.006607
7.440000	-0.007624
7.460000	-0.003449
7.480000	0.003448
7.500000	-0.000195
7.520000	-0.006511
7.540000	-0.003182
7.560000	0.001588
7.580000	0.003677
7.600000	-0.001490
7.620000	-0.004765
7.640000	-0.000018
7.660000	0.004206
7.680000	0.002363
7.700000	-0.002034
7.720000	-0.002415
7.740000	-0.002703
7.760000	0.001537
7.780000	-0.000602
7.800000	-0.006465
7.820000	-0.000427
7.840000	-0.002188
7.860000	-0.004436
7.880000	0.001037
7.900000	0.005664
7.920000	0.007807
7.940000	-0.002179
7.960000	-0.013120
7.980000	-0.008484
8.000000	0.002474
8.020000	0.000280
8.040000	-0.003416
8.060000	-0.001904
8.080000	0.002057
8.100000	-0.000011
8.120000	-0.004802
8.140000	0.001855
8.160000	0.000344
8.180000	0.004195
8.200000	-0.006477
8.220000	-0.009768
8.240000	0.008829
8.260000	-0.005720
8.280000	-0.010046
8.300000	0.003125
8.320000	0.009982
8.340000	-0.005273
8.360000	-0.011898
8.380000	0.003780
8.400000	-0.001843
8.420000	-0.006385
8.440000	-0.007954
8.460000	0.005420
8.480000	0.009539
8.500000	-0.007689
8.520000	-0.017591
8.540000	-0.009463
8.560000	0.012320
8.580000	0.000153
8.600000	-0.005654
8.620000	-0.001547
8.640000	-0.006940
8.660000	-0.000819
8.680000	-0.003049
8.700000	-0.001352
8.720000	-0.007722
8.740000	-0.006046
8.760000	0.007256
8.780000	0.000342
8.800000	0.000579
8.820000	0.001688
8.840000	-0.003035
8.860000	0.001255
8.880000	0.002947
8.900000	-0.003029
8.920000	-0.000037
8.940000	-0.000960
8.960000	-0.012250
8.980000	-0.001761
9.000000	0.006155
9.020000	-0.002139
