Tiempo(s)	Amplitud(mm)
# npts=18501
# fs=50.0000 Hz
# duracion=370.0000 s

0.000000	0.000000
0.020000	0.000000
0.040000	0.000000
0.060000	0.000000
0.080000	0.000000
0.100000	0.000000
0.120000	0.000000
0.140000	0.000000
0.160000	0.000000
0.180000	0.000000
0.200000	0.000000
0.220000	0.000001
0.240000	0.000001
0.260000	0.000001
0.280000	0.000001
0.300000	0.000001
0.320000	0.000001
0.340000	0.000001
0.360000	0.000002
0.380000	0.000002
0.400000	0.000002
0.420000	0.000002
0.440000	0.000002
0.460000	0.000003
0.480000	0.000003
0.500000	0.000003
0.520000	0.000003
0.540000	0.000003
0.560000	0.000004
0.580000	0.000004
0.600000	0.000004
0.620000	0.000004
0.640000	0.000005
0.660000	0.000005
0.680000	0.000005
0.700000	0.000005
0.720000	0.000006
0.740000	0.000006
0.760000	0.000006
0.780000	0.000006
0.800000	0.000007
0.820000	0.000007
0.840000	0.000007
0.860000	0.000007
0.880000	0.000008
0.900000	0.000008
0.920000	0.000008
0.940000	0.000009
0.960000	0.000009
0.980000	0.000009
1.000000	0.000010
1.020000	0.000010
1.040000	0.000010
1.060000	0.000010
1.080000	0.000011
1.100000	0.000011
1.120000	0.000012
1.140000	0.000012
1.160000	0.000012
1.180000	0.000013
1.200000	0.000013
1.220000	0.000014
1.240000	0.000014
1.260000	0.000014
1.280000	0.000015
1.300000	0.000015
1.320000	0.000015
1.340000	0.000015
1.360000	0.000015
1.380000	0.000014
1.400000	0.000014
1.420000	0.000013
1.440000	0.000013
1.460000	0.000013
1.480000	0.000013
1.500000	0.000014
1.520000	0.000015
1.540000	0.000016
1.560000	0.000018
1.580000	0.000020
1.600000	0.000021
1.620000	0.000022
1.640000	0.000023
1.660000	0.000024
1.680000	0.000025
1.700000	0.000026
1.720000	0.000027
1.740000	0.000027
1.760000	0.000026
1.780000	0.000025
1.800000	0.000023
1.820000	0.000022
1.840000	0.000021
1.860000	0.000020
1.880000	0.000020
1.900000	0.000023
1.920000	0.000025
1.940000	0.000028
1.960000	0.000031
1.980000	0.000034
2.000000	0.000038
2.020000	0.000041
2.040000	0.000042
2.060000	0.000041
2.080000	0.000040
2.100000	0.000039
2.120000	0.000036
2.140000	0.000032
2.160000	0.000029
2.180000	0.000027
2.200000	0.000027
2.220000	0.000027
2.240000	0.000027
2.260000	0.000029
2.280000	0.000031
2.300000	0.000035
2.320000	0.000044
2.340000	0.000052
2.360000	0.000059
2.380000	0.000067
2.400000	0.000082
2.420000	0.000096
2.440000	0.000103
2.460000	0.000106
2.480000	0.000108
2.500000	0.000105
2.520000	0.000096
2.540000	0.000081
2.560000	0.000060
2.580000	0.000039
2.600000	0.000020
2.620000	0.000005
2.640000	-0.000004
2.660000	-0.000006
2.680000	-0.000006
2.700000	0.000003
2.720000	0.000021
2.740000	0.000035
2.760000	0.000035
2.780000	0.000021
2.800000	0.000000
2.820000	-0.000027
2.840000	-0.000058
2.860000	-0.000074
2.880000	-0.000074
2.900000	-0.000067
2.920000	-0.000056
2.940000	-0.000054
2.960000	-0.000053
2.980000	-0.000043
3.000000	-0.000030
3.020000	-0.000024
3.040000	-0.000021
3.060000	-0.000014
3.080000	-0.000013
3.100000	-0.000013
3.120000	0.000008
3.140000	0.000032
3.160000	0.000032
3.180000	0.000026
3.200000	0.000023
3.220000	0.000001
3.240000	-0.000042
3.260000	-0.000112
3.280000	-0.000191
3.300000	-0.000264
3.320000	-0.000342
3.340000	-0.000412
3.360000	-0.000459
3.380000	-0.000478
3.400000	-0.000469
3.420000	-0.000444
3.440000	-0.000392
3.460000	-0.000312
3.480000	-0.000220
3.500000	-0.000118
3.520000	-0.000020
3.540000	0.000074
3.560000	0.000169
3.580000	0.000269
3.600000	0.000384
3.620000	0.000490
3.640000	0.000599
3.660000	0.000708
3.680000	0.000801
3.700000	0.000894
3.720000	0.000987
3.740000	0.001045
3.760000	0.001051
3.780000	0.001015
3.800000	0.000985
3.820000	0.000948
3.840000	0.000853
3.860000	0.000775
3.880000	0.000731
3.900000	0.000705
3.920000	0.000713
3.940000	0.000726
3.960000	0.000774
3.980000	0.000842
4.000000	0.000923
4.020000	0.001019
4.040000	0.001051
4.060000	0.001003
4.080000	0.000939
4.100000	0.000917
4.120000	0.000925
4.140000	0.000889
4.160000	0.000781
4.180000	0.000624
4.200000	0.000433
4.220000	0.000235
4.240000	0.000042
4.260000	-0.000155
4.280000	-0.000418
4.300000	-0.000737
4.320000	-0.000955
4.340000	-0.001064
4.360000	-0.001141
4.380000	-0.001064
4.400000	-0.000811
4.420000	-0.000495
4.440000	-0.000189
4.460000	0.000022
4.480000	0.000204
4.500000	0.000355
4.520000	0.000309
4.540000	0.000107
4.560000	-0.000147
4.580000	-0.000403
4.600000	-0.000511
4.620000	-0.000559
4.640000	-0.000613
4.660000	-0.000472
4.680000	-0.000307
4.700000	-0.000313
4.720000	-0.000303
4.740000	-0.000185
4.760000	-0.000064
4.780000	0.000084
4.800000	0.000272
4.820000	0.000465
4.840000	0.000804
4.860000	0.001113
4.880000	0.001044
4.900000	0.000713
4.920000	0.000258
4.940000	-0.000535
4.960000	-0.001543
4.980000	-0.002341
5.000000	-0.002904
5.020000	-0.003427
5.040000	-0.003859
5.060000	-0.004132
5.080000	-0.004254
5.100000	-0.004092
5.120000	-0.003700
5.140000	-0.003093
5.160000	-0.002353
5.180000	-0.001797
5.200000	-0.001424
5.220000	-0.000804
5.240000	0.000220
5.260000	0.001075
5.280000	0.001635
5.300000	0.002074
5.320000	0.002297
5.340000	0.002514
5.360000	0.002486
5.380000	0.001946
5.400000	0.001294
5.420000	0.000587
5.440000	-0.000330
5.460000	-0.001213
5.480000	-0.001729
5.500000	-0.001929
5.520000	-0.001929
5.540000	-0.001697
5.560000	-0.001039
5.580000	0.000014
5.600000	0.000945
5.620000	0.001820
5.640000	0.002958
5.660000	0.004037
5.680000	0.004804
5.700000	0.005128
5.720000	0.004940
5.740000	0.004638
5.760000	0.003966
5.780000	0.002708
5.800000	0.001687
5.820000	0.000975
5.840000	0.000638
5.860000	0.000923
5.880000	0.001291
5.900000	0.001862
5.920000	0.002722
5.940000	0.003433
5.960000	0.004270
5.980000	0.005357
6.000000	0.006886
6.020000	0.008861
6.040000	0.010707
6.060000	0.012646
6.080000	0.014565
6.100000	0.015811
6.120000	0.015982
6.140000	0.014718
6.160000	0.012357
6.180000	0.009396
6.200000	0.005707
6.220000	0.001686
6.240000	-0.002223
6.260000	-0.005842
6.280000	-0.009136
6.300000	-0.012197
6.320000	-0.014013
6.340000	-0.014710
6.360000	-0.014841
6.380000	-0.015165
6.400000	-0.015795
6.420000	-0.015319
6.440000	-0.015017
6.460000	-0.014986
6.480000	-0.013964
6.500000	-0.012393
6.520000	-0.010777
6.540000	-0.009738
6.560000	-0.009155
6.580000	-0.008615
6.600000	-0.008406
6.620000	-0.009116
6.640000	-0.010037
6.660000	-0.010007
6.680000	-0.009517
6.700000	-0.009257
6.720000	-0.008551
6.740000	-0.006911
6.760000	-0.004979
6.780000	-0.003542
6.800000	-0.002199
6.820000	-0.000370
6.840000	0.000948
6.860000	0.001574
6.880000	0.002517
6.900000	0.003578
6.920000	0.004026
6.940000	0.004309
6.960000	0.004466
6.980000	0.004745
7.000000	0.005947
7.020000	0.007190
7.040000	0.008380
7.060000	0.010451
7.080000	0.012646
7.100000	0.013739
7.120000	0.014248
7.140000	0.014903
7.160000	0.014667
7.180000	0.013145
7.200000	0.012112
7.220000	0.012393
7.240000	0.013203
7.260000	0.014136
7.280000	0.015083
7.300000	0.016581
7.320000	0.018616
7.340000	0.019357
7.360000	0.018168
7.380000	0.016268
7.400000	0.014415
7.420000	0.011976
7.440000	0.008864
7.460000	0.006558
7.480000	0.005632
7.500000	0.005490
7.520000	0.005560
7.540000	0.005574
7.560000	0.004912
7.580000	0.003739
7.600000	0.002545
7.620000	0.001590
7.640000	0.000595
7.660000	-0.001492
7.680000	-0.003651
7.700000	-0.005225
7.720000	-0.006395
7.740000	-0.006959
7.760000	-0.006830
7.780000	-0.005840
7.800000	-0.004561
7.820000	-0.003847
7.840000	-0.004683
7.860000	-0.007140
7.880000	-0.010318
7.900000	-0.013565
7.920000	-0.017631
7.940000	-0.021332
7.960000	-0.021799
7.980000	-0.021032
8.000000	-0.020523
8.020000	-0.019403
8.040000	-0.018874
8.060000	-0.019205
8.080000	-0.020218
8.100000	-0.021895
8.120000	-0.022886
8.140000	-0.023364
8.160000	-0.025050
8.180000	-0.026825
8.200000	-0.028203
8.220000	-0.029836
8.240000	-0.030928
8.260000	-0.031574
8.280000	-0.030987
8.300000	-0.029519
8.320000	-0.028598
8.340000	-0.028276
8.360000	-0.028536
8.380000	-0.029733
8.400000	-0.032512
8.420000	-0.036033
8.440000	-0.037083
8.460000	-0.034868
8.480000	-0.031555
8.500000	-0.027022
8.520000	-0.021007
8.540000	-0.014059
8.560000	-0.006252
8.580000	0.002095
8.600000	0.009999
8.620000	0.017289
8.640000	0.024391
8.660000	0.029855
8.680000	0.034118
8.700000	0.038492
8.720000	0.042741
8.740000	0.046297
8.760000	0.050740
8.780000	0.057743
8.800000	0.065768
8.820000	0.072906
8.840000	0.077918
8.860000	0.081908
8.880000	0.083587
8.900000	0.082434
8.920000	0.081161
8.940000	0.078979
