Tiempo(s)	Amplitud(mm)
# npts=17115
# fs=50.0000 Hz
# duracion=342.2800 s

0.000000	0.000133
0.020000	0.000136
0.040000	0.000160
0.060000	0.000217
0.080000	0.000321
0.100000	0.000478
0.120000	0.000693
0.140000	0.000968
0.160000	0.001306
0.180000	0.001702
0.200000	0.002159
0.220000	0.002669
0.240000	0.003233
0.260000	0.003844
0.280000	0.004500
0.300000	0.005196
0.320000	0.005929
0.340000	0.006694
0.360000	0.007488
0.380000	0.008306
0.400000	0.009147
0.420000	0.010005
0.440000	0.010880
0.460000	0.011768
0.480000	0.012668
0.500000	0.013575
0.520000	0.014492
0.540000	0.015412
0.560000	0.016339
0.580000	0.017267
0.600000	0.018199
0.620000	0.019131
0.640000	0.020065
0.660000	0.020997
0.680000	0.021931
0.700000	0.022863
0.720000	0.023795
0.740000	0.024724
0.760000	0.025653
0.780000	0.026580
0.800000	0.027506
0.820000	0.028429
0.840000	0.029351
0.860000	0.030270
0.880000	0.031189
0.900000	0.032105
0.920000	0.033020
0.940000	0.033932
0.960000	0.034844
0.980000	0.035752
1.000000	0.036660
1.020000	0.037565
1.040000	0.038470
1.060000	0.039371
1.080000	0.040272
1.100000	0.041170
1.120000	0.042067
1.140000	0.042961
1.160000	0.043855
1.180000	0.044746
1.200000	0.045636
1.220000	0.046522
1.240000	0.047409
1.260000	0.048292
1.280000	0.049174
1.300000	0.050053
1.320000	0.050931
1.340000	0.051806
1.360000	0.052680
1.380000	0.053551
1.400000	0.054420
1.420000	0.055286
1.440000	0.056151
1.460000	0.057012
1.480000	0.057872
1.500000	0.058729
1.520000	0.059584
1.540000	0.060435
1.560000	0.061284
1.580000	0.062130
1.600000	0.062975
1.620000	0.063816
1.640000	0.064655
1.660000	0.065490
1.680000	0.066323
1.700000	0.067153
1.720000	0.067980
1.740000	0.068803
1.760000	0.069624
1.780000	0.070441
1.800000	0.071256
1.820000	0.072066
1.840000	0.072874
1.860000	0.073678
1.880000	0.074481
1.900000	0.075277
1.920000	0.076072
1.940000	0.076863
1.960000	0.077652
1.980000	0.078435
2.000000	0.079217
2.020000	0.079992
2.040000	0.080763
2.060000	0.081530
2.080000	0.082293
2.100000	0.083049
2.120000	0.083803
2.140000	0.084551
2.160000	0.085296
2.180000	0.086032
2.200000	0.086767
2.220000	0.087495
2.240000	0.088216
2.260000	0.088934
2.280000	0.089646
2.300000	0.090349
2.320000	0.091052
2.340000	0.091748
2.360000	0.092442
2.380000	0.093130
2.400000	0.093812
2.420000	0.094490
2.440000	0.095167
2.460000	0.095842
2.480000	0.096514
2.500000	0.097174
2.520000	0.097832
2.540000	0.098481
2.560000	0.099131
2.580000	0.099778
2.600000	0.100414
2.620000	0.101040
2.640000	0.101659
2.660000	0.102273
2.680000	0.102887
2.700000	0.103490
2.720000	0.104088
2.740000	0.104684
2.760000	0.105274
2.780000	0.105855
2.800000	0.106432
2.820000	0.107000
2.840000	0.107565
2.860000	0.108115
2.880000	0.108659
2.900000	0.109204
2.920000	0.109752
2.940000	0.110304
2.960000	0.110842
2.980000	0.111368
3.000000	0.111892
3.020000	0.112407
3.040000	0.112925
3.060000	0.113427
3.080000	0.113918
3.100000	0.114403
3.120000	0.114869
3.140000	0.115325
3.160000	0.115779
3.180000	0.116230
3.200000	0.116704
3.220000	0.117179
3.240000	0.117650
3.260000	0.118111
3.280000	0.118580
3.300000	0.119053
3.320000	0.119497
3.340000	0.119926
3.360000	0.120335
3.380000	0.120714
3.400000	0.121105
3.420000	0.121498
3.440000	0.121867
3.460000	0.122236
3.480000	0.122617
3.500000	0.122989
3.520000	0.123372
3.540000	0.123772
3.560000	0.124145
3.580000	0.124471
3.600000	0.124824
3.620000	0.125192
3.640000	0.125573
3.660000	0.125962
3.680000	0.126323
3.700000	0.126681
3.720000	0.127039
3.740000	0.127399
3.760000	0.127751
3.780000	0.128100
3.800000	0.128501
3.820000	0.128914
3.840000	0.129311
3.860000	0.129715
3.880000	0.130148
3.900000	0.130559
3.920000	0.130908
3.940000	0.131233
3.960000	0.131545
3.980000	0.131817
4.000000	0.132061
4.020000	0.132342
4.040000	0.132620
4.060000	0.132845
4.080000	0.133134
4.100000	0.133466
4.120000	0.133761
4.140000	0.134062
4.160000	0.134348
4.180000	0.134575
4.200000	0.134767
4.220000	0.134934
4.240000	0.135037
4.260000	0.135185
4.280000	0.135367
4.300000	0.135496
4.320000	0.135699
4.340000	0.135904
4.360000	0.136105
4.380000	0.136267
4.400000	0.136433
4.420000	0.136632
4.440000	0.136801
4.460000	0.136984
4.480000	0.137161
4.500000	0.137325
4.520000	0.137379
4.540000	0.137500
4.560000	0.137668
4.580000	0.137706
4.600000	0.137819
4.620000	0.137900
4.640000	0.137951
4.660000	0.138113
4.680000	0.138230
4.700000	0.138303
4.720000	0.138370
4.740000	0.138356
4.760000	0.138338
4.780000	0.138257
4.800000	0.138070
4.820000	0.137900
4.840000	0.137697
4.860000	0.137425
4.880000	0.137276
4.900000	0.137072
4.920000	0.136921
4.940000	0.136941
4.960000	0.136942
4.980000	0.137045
5.000000	0.137160
5.020000	0.137359
5.040000	0.137521
5.060000	0.137532
5.080000	0.137645
5.100000	0.137679
5.120000	0.137766
5.140000	0.137886
5.160000	0.137947
5.180000	0.138043
5.200000	0.138197
5.220000	0.138336
5.240000	0.138403
5.260000	0.138555
5.280000	0.138675
5.300000	0.138658
5.320000	0.138446
5.340000	0.138153
5.360000	0.138071
5.380000	0.137815
5.400000	0.137629
5.420000	0.137581
5.440000	0.137308
5.460000	0.137354
5.480000	0.137460
5.500000	0.137565
5.520000	0.137819
5.540000	0.137714
5.560000	0.137643
5.580000	0.137499
5.600000	0.137317
5.620000	0.137168
5.640000	0.136917
5.660000	0.136814
5.680000	0.136441
5.700000	0.135998
5.720000	0.135517
5.740000	0.135015
5.760000	0.134806
5.780000	0.134456
5.800000	0.133711
5.820000	0.133063
5.840000	0.132818
5.860000	0.132464
5.880000	0.132060
5.900000	0.131387
5.920000	0.130563
5.940000	0.129806
5.960000	0.128965
5.980000	0.128282
6.000000	0.127366
6.020000	0.126268
6.040000	0.125249
6.060000	0.124429
6.080000	0.124026
6.100000	0.123356
6.120000	0.122447
6.140000	0.121676
6.160000	0.120498
6.180000	0.119191
6.200000	0.117867
6.220000	0.116318
6.240000	0.114547
6.260000	0.112429
6.280000	0.110427
6.300000	0.108328
6.320000	0.106439
6.340000	0.104785
6.360000	0.103219
6.380000	0.101556
6.400000	0.099445
6.420000	0.097519
6.440000	0.095706
6.460000	0.093996
6.480000	0.092372
6.500000	0.090252
6.520000	0.087953
6.540000	0.086290
6.560000	0.084714
6.580000	0.082911
6.600000	0.081506
6.620000	0.079522
