Tiempo(s)	Amplitud(mm)
# npts=16247
# fs=50.0000 Hz
# duracion=324.9200 s

0.000000	0.000000
0.020000	0.000000
0.040000	0.000000
0.060000	0.000001
0.080000	0.000001
0.100000	0.000002
0.120000	0.000002
0.140000	0.000003
0.160000	0.000004
0.180000	0.000006
0.200000	0.000007
0.220000	0.000009
0.240000	0.000011
0.260000	0.000013
0.280000	0.000015
0.300000	0.000018
0.320000	0.000020
0.340000	0.000023
0.360000	0.000026
0.380000	0.000029
0.400000	0.000032
0.420000	0.000035
0.440000	0.000038
0.460000	0.000041
0.480000	0.000044
0.500000	0.000048
0.520000	0.000051
0.540000	0.000054
0.560000	0.000058
0.580000	0.000061
0.600000	0.000064
0.620000	0.000068
0.640000	0.000071
0.660000	0.000075
0.680000	0.000078
0.700000	0.000082
0.720000	0.000085
0.740000	0.000089
0.760000	0.000092
0.780000	0.000096
0.800000	0.000099
0.820000	0.000103
0.840000	0.000106
0.860000	0.000110
0.880000	0.000113
0.900000	0.000117
0.920000	0.000121
0.940000	0.000124
0.960000	0.000128
0.980000	0.000131
1.000000	0.000135
1.020000	0.000138
1.040000	0.000142
1.060000	0.000145
1.080000	0.000149
1.100000	0.000153
1.120000	0.000156
1.140000	0.000160
1.160000	0.000163
1.180000	0.000167
1.200000	0.000170
1.220000	0.000174
1.240000	0.000177
1.260000	0.000181
1.280000	0.000184
1.300000	0.000188
1.320000	0.000191
1.340000	0.000195
1.360000	0.000198
1.380000	0.000201
1.400000	0.000205
1.420000	0.000208
1.440000	0.000211
1.460000	0.000215
1.480000	0.000218
1.500000	0.000221
1.520000	0.000224
1.540000	0.000227
1.560000	0.000230
1.580000	0.000233
1.600000	0.000236
1.620000	0.000239
1.640000	0.000242
1.660000	0.000245
1.680000	0.000248
1.700000	0.000251
1.720000	0.000254
1.740000	0.000256
1.760000	0.000259
1.780000	0.000262
1.800000	0.000264
1.820000	0.000267
1.840000	0.000269
1.860000	0.000272
1.880000	0.000274
1.900000	0.000277
1.920000	0.000280
1.940000	0.000282
1.960000	0.000285
1.980000	0.000288
2.000000	0.000291
2.020000	0.000294
2.040000	0.000297
2.060000	0.000300
2.080000	0.000304
2.100000	0.000307
2.120000	0.000311
2.140000	0.000315
2.160000	0.000319
2.180000	0.000323
2.200000	0.000328
2.220000	0.000334
2.240000	0.000339
2.260000	0.000344
2.280000	0.000350
2.300000	0.000355
2.320000	0.000361
2.340000	0.000367
2.360000	0.000372
2.380000	0.000378
2.400000	0.000385
2.420000	0.000391
2.440000	0.000397
2.460000	0.000404
2.480000	0.000412
2.500000	0.000420
2.520000	0.000429
2.540000	0.000438
2.560000	0.000445
2.580000	0.000453
2.600000	0.000461
2.620000	0.000470
2.640000	0.000479
2.660000	0.000488
2.680000	0.000496
2.700000	0.000503
2.720000	0.000510
2.740000	0.000518
2.760000	0.000525
2.780000	0.000536
2.800000	0.000548
2.820000	0.000559
2.840000	0.000569
2.860000	0.000576
2.880000	0.000581
2.900000	0.000586
2.920000	0.000592
2.940000	0.000600
2.960000	0.000608
2.980000	0.000617
3.000000	0.000626
3.020000	0.000634
3.040000	0.000639
3.060000	0.000645
3.080000	0.000651
3.100000	0.000658
3.120000	0.000667
3.140000	0.000674
3.160000	0.000679
3.180000	0.000686
3.200000	0.000697
3.220000	0.000709
3.240000	0.000718
3.260000	0.000727
3.280000	0.000735
3.300000	0.000742
3.320000	0.000749
3.340000	0.000757
3.360000	0.000765
3.380000	0.000775
3.400000	0.000785
3.420000	0.000790
3.440000	0.000789
3.460000	0.000787
3.480000	0.000784
3.500000	0.000782
3.520000	0.000786
3.540000	0.000793
3.560000	0.000804
3.580000	0.000817
3.600000	0.000831
3.620000	0.000843
3.640000	0.000855
3.660000	0.000865
3.680000	0.000875
3.700000	0.000888
3.720000	0.000906
3.740000	0.000927
3.760000	0.000944
3.780000	0.000954
3.800000	0.000961
3.820000	0.000966
3.840000	0.000973
3.860000	0.000976
3.880000	0.000972
3.900000	0.000965
3.920000	0.000953
3.940000	0.000923
3.960000	0.000879
3.980000	0.000831
4.000000	0.000772
4.020000	0.000707
4.040000	0.000648
4.060000	0.000592
4.080000	0.000530
4.100000	0.000459
4.120000	0.000400
4.140000	0.000355
4.160000	0.000311
4.180000	0.000266
4.200000	0.000207
4.220000	0.000146
4.240000	0.000095
4.260000	0.000062
4.280000	0.000051
4.300000	0.000038
4.320000	0.000025
4.340000	0.000014
4.360000	-0.000017
4.380000	-0.000062
4.400000	-0.000105
4.420000	-0.000144
4.440000	-0.000177
4.460000	-0.000205
4.480000	-0.000246
4.500000	-0.000291
4.520000	-0.000332
4.540000	-0.000378
4.560000	-0.000422
4.580000	-0.000459
4.600000	-0.000498
4.620000	-0.000530
4.640000	-0.000543
4.660000	-0.000545
4.680000	-0.000547
4.700000	-0.000564
4.720000	-0.000581
4.740000	-0.000608
4.760000	-0.000646
4.780000	-0.000680
4.800000	-0.000725
4.820000	-0.000770
4.840000	-0.000791
4.860000	-0.000785
4.880000	-0.000776
4.900000	-0.000795
4.920000	-0.000846
4.940000	-0.000908
4.960000	-0.000980
4.980000	-0.001051
5.000000	-0.001104
5.020000	-0.001153
5.040000	-0.001178
5.060000	-0.001203
5.080000	-0.001262
5.100000	-0.001309
5.120000	-0.001354
5.140000	-0.001433
5.160000	-0.001518
5.180000	-0.001600
5.200000	-0.001664
5.220000	-0.001727
5.240000	-0.001798
5.260000	-0.001868
5.280000	-0.001963
5.300000	-0.002053
5.320000	-0.002116
5.340000	-0.002171
5.360000	-0.002216
5.380000	-0.002204
5.400000	-0.002167
5.420000	-0.002152
5.440000	-0.002149
5.460000	-0.002137
5.480000	-0.002075
5.500000	-0.002010
5.520000	-0.001920
5.540000	-0.001836
5.560000	-0.001822
5.580000	-0.001775
5.600000	-0.001680
5.620000	-0.001587
5.640000	-0.001542
5.660000	-0.001517
5.680000	-0.001542
5.700000	-0.001583
5.720000	-0.001549
5.740000	-0.001520
5.760000	-0.001493
5.780000	-0.001461
5.800000	-0.001490
5.820000	-0.001627
5.840000	-0.001769
5.860000	-0.001872
5.880000	-0.001983
5.900000	-0.002007
5.920000	-0.001969
5.940000	-0.001891
5.960000	-0.001837
5.980000	-0.001810
6.000000	-0.001771
6.020000	-0.001721
6.040000	-0.001582
6.060000	-0.001397
6.080000	-0.001194
6.100000	-0.000972
6.120000	-0.000783
6.140000	-0.000674
6.160000	-0.000589
6.180000	-0.000446
6.200000	-0.000344
6.220000	-0.000233
6.240000	0.000029
6.260000	0.000380
6.280000	0.000681
6.300000	0.000948
6.320000	0.001245
6.340000	0.001482
6.360000	0.001700
6.380000	0.001988
6.400000	0.002246
6.420000	0.002421
6.440000	0.002687
6.460000	0.003074
6.480000	0.003481
6.500000	0.003924
6.520000	0.004408
6.540000	0.004855
6.560000	0.005275
6.580000	0.005781
6.600000	0.006282
6.620000	0.006718
6.640000	0.007166
6.660000	0.007638
6.680000	0.008084
6.700000	0.008534
6.720000	0.009008
6.740000	0.009546
6.760000	0.010259
6.780000	0.011097
6.800000	0.011933
6.820000	0.012673
6.840000	0.013344
6.860000	0.013949
6.880000	0.014459
6.900000	0.015034
6.920000	0.015651
6.940000	0.016174
6.960000	0.016644
6.980000	0.017170
7.000000	0.017692
7.020000	0.018124
7.040000	0.018531
7.060000	0.018835
7.080000	0.018957
7.100000	0.018966
7.120000	0.018931
7.140000	0.018847
7.160000	0.018686
7.180000	0.018517
7.200000	0.018317
7.220000	0.018044
7.240000	0.017745
7.260000	0.017384
7.280000	0.017069
7.300000	0.016855
7.320000	0.016584
7.340000	0.016278
7.360000	0.015982
7.380000	0.015693
7.400000	0.015284
7.420000	0.014786
7.440000	0.014231
7.460000	0.013476
7.480000	0.012528
7.500000	0.011569
7.520000	0.010721
7.540000	0.009895
7.560000	0.009305
7.580000	0.008735
7.600000	0.007980
7.620000	0.007296
7.640000	0.006595
7.660000	0.005817
7.680000	0.005003
7.700000	0.004185
7.720000	0.003239
7.740000	0.002295
7.760000	0.001594
7.780000	0.001088
7.800000	0.000568
7.820000	-0.000079
7.840000	-0.000777
7.860000	-0.001507
7.880000	-0.002105
7.900000	-0.002527
7.920000	-0.002924
7.940000	-0.003291
7.960000	-0.003663
7.980000	-0.003956
8.000000	-0.004289
8.020000	-0.004676
8.040000	-0.005082
8.060000	-0.005666
8.080000	-0.006216
8.100000	-0.006627
8.120000	-0.006986
8.140000	-0.007333
8.160000	-0.007478
8.180000	-0.007530
8.200000	-0.007698
8.220000	-0.007772
8.240000	-0.007764
