Tiempo(s)	Amplitud(mm)
# npts=17552
# fs=50.0000 Hz
# duracion=351.0200 s

0.000000	0.000000
0.020000	-0.000000
0.040000	0.000000
0.060000	-0.000000
0.080000	0.000000
0.100000	-0.000000
0.120000	0.000000
0.140000	-0.000000
0.160000	0.000000
0.180000	-0.000000
0.200000	0.000000
0.220000	-0.000000
0.240000	0.000000
0.260000	-0.000000
0.280000	0.000000
0.300000	-0.000000
0.320000	0.000000
0.340000	-0.000000
0.360000	0.000000
0.380000	-0.000000
0.400000	0.000000
0.420000	-0.000000
0.440000	0.000000
0.460000	-0.000000
0.480000	0.000000
0.500000	-0.000000
0.520000	0.000000
0.540000	-0.000000
0.560000	0.000000
0.580000	-0.000000
0.600000	0.000000
0.620000	-0.000000
0.640000	0.000000
0.660000	-0.000000
0.680000	0.000000
0.700000	-0.000001
0.720000	0.000000
0.740000	-0.000001
0.760000	0.000000
0.780000	-0.000001
0.800000	0.000000
0.820000	-0.000001
0.840000	-0.000000
0.860000	-0.000001
0.880000	-0.000000
0.900000	-0.000001
0.920000	-0.000000
0.940000	-0.000001
0.960000	-0.000000
0.980000	-0.000001
1.000000	-0.000000
1.020000	-0.000001
1.040000	-0.000000
1.060000	-0.000001
1.080000	-0.000001
1.100000	-0.000002
1.120000	-0.000001
1.140000	-0.000002
1.160000	-0.000001
1.180000	-0.000002
1.200000	-0.000001
1.220000	-0.000002
1.240000	-0.000001
1.260000	-0.000002
1.280000	-0.000001
1.300000	-0.000002
1.320000	-0.000002
1.340000	-0.000003
1.360000	-0.000003
1.380000	-0.000005
1.400000	-0.000004
1.420000	-0.000005
1.440000	-0.000004
1.460000	-0.000005
1.480000	-0.000004
1.500000	-0.000004
1.520000	-0.000003
1.540000	-0.000003
1.560000	-0.000003
1.580000	-0.000006
1.600000	-0.000008
1.620000	-0.000011
1.640000	-0.000010
1.660000	-0.000010
1.680000	-0.000008
1.700000	-0.000006
1.720000	-0.000003
1.740000	-0.000004
1.760000	-0.000005
1.780000	-0.000008
1.800000	-0.000011
1.820000	-0.000015
1.840000	-0.000017
1.860000	-0.000018
1.880000	-0.000012
1.900000	-0.000007
1.920000	-0.000002
1.940000	-0.000002
1.960000	-0.000004
1.980000	-0.000012
2.000000	-0.000021
2.020000	-0.000032
2.040000	-0.000040
2.060000	-0.000046
2.080000	-0.000039
2.100000	-0.000029
2.120000	-0.000013
2.140000	-0.000001
2.160000	0.000003
2.180000	0.000002
2.200000	0.000003
2.220000	-0.000005
2.240000	-0.000015
2.260000	-0.000031
2.280000	-0.000043
2.300000	-0.000051
2.320000	-0.000054
2.340000	-0.000054
2.360000	-0.000057
2.380000	-0.000059
2.400000	-0.000053
2.420000	-0.000039
2.440000	-0.000018
2.460000	-0.000008
2.480000	-0.000006
2.500000	-0.000015
2.520000	-0.000026
2.540000	-0.000039
2.560000	-0.000052
2.580000	-0.000068
2.600000	-0.000065
2.620000	-0.000037
2.640000	-0.000011
2.660000	0.000011
2.680000	0.000055
2.700000	0.000102
2.720000	0.000124
2.740000	0.000103
2.760000	0.000021
2.780000	-0.000105
2.800000	-0.000204
2.820000	-0.000238
2.840000	-0.000220
2.860000	-0.000184
2.880000	-0.000141
2.900000	-0.000107
2.920000	-0.000071
2.940000	0.000016
2.960000	0.000138
2.980000	0.000224
3.000000	0.000268
3.020000	0.000238
3.040000	0.000151
3.060000	0.000044
3.080000	-0.000085
3.100000	-0.000186
3.120000	-0.000200
3.140000	-0.000131
3.160000	-0.000038
3.180000	0.000032
3.200000	0.000096
3.220000	0.000126
3.240000	0.000148
3.260000	0.000200
3.280000	0.000221
3.300000	0.000141
3.320000	0.000038
3.340000	-0.000050
3.360000	-0.000138
3.380000	-0.000167
3.400000	-0.000093
3.420000	-0.000020
3.440000	0.000039
3.460000	0.000192
3.480000	0.000363
3.500000	0.000436
3.520000	0.000459
3.540000	0.000373
3.560000	0.000152
3.580000	-0.000094
3.600000	-0.000333
3.620000	-0.000434
3.640000	-0.000261
3.660000	0.000081
3.680000	0.000388
3.700000	0.000507
3.720000	0.000603
3.740000	0.000699
3.760000	0.000704
3.780000	0.000543
3.800000	0.000189
3.820000	-0.000019
3.840000	-0.000015
3.860000	0.000064
3.880000	0.000267
3.900000	0.000464
3.920000	0.000440
3.940000	0.000206
3.960000	0.000079
3.980000	0.000169
4.000000	0.000375
4.020000	0.000557
4.040000	0.000619
4.060000	0.000686
4.080000	0.000833
4.100000	0.000904
4.120000	0.000882
4.140000	0.000767
4.160000	0.000502
4.180000	0.000309
4.200000	0.000134
4.220000	-0.000070
4.240000	-0.000029
4.260000	0.000182
4.280000	0.000314
4.300000	0.000272
4.320000	0.000209
4.340000	0.000228
4.360000	0.000488
4.380000	0.000893
4.400000	0.001378
4.420000	0.001896
4.440000	0.002091
4.460000	0.001884
4.480000	0.001261
4.500000	0.000333
4.520000	-0.000344
4.540000	-0.000388
4.560000	0.000068
4.580000	0.000728
4.600000	0.001403
4.620000	0.001799
4.640000	0.001830
4.660000	0.001592
4.680000	0.001118
4.700000	0.000856
4.720000	0.000812
4.740000	0.000676
4.760000	0.000328
4.780000	-0.000430
4.800000	-0.000849
4.820000	-0.000723
4.840000	-0.000289
4.860000	0.000312
4.880000	0.001068
4.900000	0.002137
4.920000	0.002834
4.940000	0.003162
4.960000	0.002902
4.980000	0.001809
5.000000	0.000527
5.020000	-0.000672
5.040000	-0.001414
5.060000	-0.001838
5.080000	-0.001970
5.100000	-0.001268
5.120000	0.000121
5.140000	0.001436
5.160000	0.002361
5.180000	0.002983
5.200000	0.002977
5.220000	0.002129
5.240000	0.000519
5.260000	-0.001177
5.280000	-0.001864
5.300000	-0.001798
5.320000	-0.001121
5.340000	0.000353
5.360000	0.001775
5.380000	0.002721
5.400000	0.002796
5.420000	0.002208
5.440000	0.001211
5.460000	-0.000228
5.480000	-0.001120
5.500000	-0.001717
5.520000	-0.001922
5.540000	-0.002256
5.560000	-0.003591
5.580000	-0.004523
5.600000	-0.004272
5.620000	-0.002651
5.640000	0.000113
5.660000	0.002753
5.680000	0.003511
5.700000	0.002748
5.720000	0.002100
5.740000	0.001064
5.760000	-0.000505
5.780000	-0.002339
5.800000	-0.004078
5.820000	-0.005213
5.840000	-0.005359
5.860000	-0.004459
5.880000	-0.003484
5.900000	-0.002216
5.920000	-0.001074
5.940000	-0.000602
5.960000	-0.000583
5.980000	-0.001841
6.000000	-0.003289
6.020000	-0.003825
6.040000	-0.003426
6.060000	-0.001750
6.080000	0.000027
6.100000	0.000543
6.120000	0.000017
6.140000	-0.001594
6.160000	-0.003723
6.180000	-0.006387
6.200000	-0.009177
6.220000	-0.010612
6.240000	-0.011312
6.260000	-0.010275
6.280000	-0.007687
6.300000	-0.006176
6.320000	-0.005220
6.340000	-0.003200
6.360000	-0.001031
6.380000	-0.000409
6.400000	-0.000723
6.420000	-0.001529
6.440000	-0.002612
6.460000	-0.004320
6.480000	-0.004936
6.500000	-0.003068
6.520000	-0.000844
6.540000	0.000970
6.560000	0.001406
6.580000	0.001202
6.600000	0.000446
6.620000	-0.001063
6.640000	-0.003143
6.660000	-0.007933
6.680000	-0.014148
6.700000	-0.018308
6.720000	-0.018539
6.740000	-0.016077
6.760000	-0.011355
6.780000	-0.004039
6.800000	0.002887
6.820000	0.007124
6.840000	0.007567
6.860000	0.004829
6.880000	0.001274
6.900000	-0.002250
6.920000	-0.005512
6.940000	-0.007267
6.960000	-0.006318
6.980000	-0.003617
7.000000	-0.002362
7.020000	-0.001995
7.040000	-0.000258
7.060000	0.001320
7.080000	0.001622
7.100000	0.000804
7.120000	0.000340
7.140000	-0.000177
7.160000	-0.001829
7.180000	-0.002939
7.200000	-0.003049
7.220000	-0.002679
7.240000	-0.001369
7.260000	-0.000726
7.280000	-0.002425
7.300000	-0.003164
7.320000	-0.004047
7.340000	-0.006601
7.360000	-0.006401
7.380000	-0.002123
7.400000	0.005524
7.420000	0.011258
7.440000	0.012132
7.460000	0.010572
7.480000	0.006178
7.500000	-0.000394
7.520000	-0.007255
7.540000	-0.011482
7.560000	-0.011417
7.580000	-0.008249
7.600000	-0.000810
7.620000	0.006339
7.640000	0.009472
7.660000	0.011197
7.680000	0.010664
7.700000	0.008368
7.720000	0.004867
7.740000	0.001664
7.760000	0.000830
7.780000	0.003094
7.800000	0.008340
7.820000	0.011814
7.840000	0.014102
7.860000	0.015925
7.880000	0.013625
7.900000	0.007936
7.920000	0.002470
7.940000	-0.002352
7.960000	-0.006819
7.980000	-0.007733
8.000000	-0.003876
8.020000	0.004878
8.040000	0.015379
8.060000	0.022157
8.080000	0.024545
8.100000	0.022850
8.120000	0.014911
8.140000	0.002200
8.160000	-0.007658
8.180000	-0.010933
8.200000	-0.007726
8.220000	0.001597
8.240000	0.014417
8.260000	0.026167
8.280000	0.033435
8.300000	0.032784
8.320000	0.024623
8.340000	0.015211
8.360000	0.007403
8.380000	0.004070
8.400000	0.006209
8.420000	0.009496
8.440000	0.010928
8.460000	0.012411
8.480000	0.015436
8.500000	0.017006
8.520000	0.017333
8.540000	0.015275
8.560000	0.009638
8.580000	0.003706
8.600000	-0.002605
8.620000	-0.005068
8.640000	0.002045
8.660000	0.012418
8.680000	0.021818
8.700000	0.026390
8.720000	0.024006
8.740000	0.020397
8.760000	0.016976
8.780000	0.012570
8.800000	0.005908
8.820000	0.002417
8.840000	0.003477
8.860000	0.002805
8.880000	0.002063
8.900000	0.004304
8.920000	0.009715
8.940000	0.015271
8.960000	0.018851
8.980000	0.019172
9.000000	0.016420
9.020000	0.014241
9.040000	0.011612
9.060000	0.009518
9.080000	0.009684
9.100000	0.011901
9.120000	0.015048
9.140000	0.013652
9.160000	0.005753
9.180000	-0.002990
9.200000	-0.006366
9.220000	-0.004544
9.240000	-0.001313
9.260000	0.000358
9.280000	0.002035
9.300000	0.003784
9.320000	0.003478
9.340000	0.001269
9.360000	-0.003195
9.380000	-0.006520
9.400000	-0.004991
9.420000	0.002990
9.440000	0.011364
9.460000	0.014820
9.480000	0.014268
9.500000	0.008331
9.520000	-0.000669
9.540000	-0.011067
9.560000	-0.021370
9.580000	-0.025171
9.600000	-0.017338
9.620000	-0.003743
9.640000	0.011256
9.660000	0.026655
9.680000	0.038090
9.700000	0.043217
9.720000	0.038277
9.740000	0.029976
9.760000	0.020134
9.780000	0.006912
9.800000	-0.003843
9.820000	-0.012489
9.840000	-0.016629
9.860000	-0.010788
9.880000	0.001923
9.900000	0.010872
9.920000	0.016913
9.940000	0.024688
9.960000	0.027498
9.980000	0.021528
10.000000	0.010688
10.020000	0.006132
10.040000	0.019893
10.060000	0.059707
10.080000	0.135936
10.100000	0.252837
10.120000	0.428212
10.140000	0.685709
10.160000	1.001626
10.180000	1.315918
10.200000	1.540567
10.220000	1.603917
10.240000	1.486952
10.260000	1.198392
10.280000	0.767945
10.300000	0.238616
10.320000	-0.341267
10.340000	-0.934396
10.360000	-1.487253
10.380000	-1.955731
10.400000	-2.253240
10.420000	-2.237388
10.440000	-1.931749
10.460000	-1.506902
10.480000	-1.036811
10.500000	-0.496886
10.520000	0.055360
10.540000	0.550973
10.560000	0.926334
10.580000	1.083373
10.600000	1.022615
10.620000	0.794221
10.640000	0.381604
10.660000	-0.216401
10.680000	-0.820766
10.700000	-1.336514
10.720000	-1.780870
10.740000	-2.017607
10.760000	-1.997036
10.780000	-1.717785
10.800000	-1.103059
10.820000	-0.228846
10.840000	0.666715
10.860000	1.432593
10.880000	2.074147
10.900000	2.486593
10.920000	2.535138
10.940000	2.256263
10.960000	1.750623
10.980000	1.045939
11.000000	0.059950
11.020000	-0.980829
11.040000	-1.674255
11.060000	-2.016864
11.080000	-2.135017
11.100000	-1.983287
11.120000	-1.532709
11.140000	-1.019662
11.160000	-0.626592
11.180000	-0.172190
11.200000	0.384099
11.220000	0.704710
11.240000	0.585658
11.260000	0.204956
11.280000	-0.282331
11.300000	-0.836501
11.320000	-1.277956
11.340000	-1.419844
11.360000	-1.267215
11.380000	-0.920407
11.400000	-0.379430
11.420000	0.363494
11.440000	1.204680
11.460000	2.117226
11.480000	3.117175
11.500000	3.887223
11.520000	3.983344
11.540000	3.465916
11.560000	2.702956
11.580000	1.968040
11.600000	1.329516
11.620000	0.671698
11.640000	-0.032022
11.660000	-0.732289
11.680000	-1.404576
11.700000	-2.016426
11.720000	-2.411460
11.740000	-2.438071
11.760000	-2.197583
11.780000	-1.898970
11.800000	-1.596364
11.820000	-1.158047
11.840000	-0.519842
11.860000	0.245041
11.880000	0.955574
11.900000	1.398798
11.920000	1.449406
11.940000	1.189904
11.960000	0.867346
11.980000	0.572383
12.000000	0.187794
12.020000	-0.343815
12.040000	-0.839454
12.060000	-1.141751
12.080000	-1.167965
12.100000	-0.864972
12.120000	-0.388010
12.140000	0.061616
12.160000	0.380655
12.180000	0.648416
12.200000	0.959943
12.220000	1.171025
12.240000	1.106968
12.260000	0.853168
12.280000	0.564362
12.300000	0.183855
12.320000	-0.205928
12.340000	-0.448637
12.360000	-0.551107
12.380000	-0.567090
12.400000	-0.670550
12.420000	-0.835907
12.440000	-0.938786
12.460000	-0.960125
12.480000	-0.904350
12.500000	-1.013484
12.520000	-1.425341
12.540000	-1.959389
12.560000	-2.297837
12.580000	-2.270316
12.600000	-1.969526
12.620000	-1.632455
12.640000	-1.525134
12.660000	-1.341904
12.680000	-0.813661
12.700000	-0.158246
12.720000	0.634587
12.740000	1.487536
12.760000	2.227841
12.780000	2.723108
12.800000	2.940359
12.820000	3.011509
12.840000	2.918199
12.860000	2.697320
12.880000	2.301015
12.900000	1.531012
12.920000	0.451027
12.940000	-0.546167
12.960000	-1.018632
12.980000	-1.062973
13.000000	-1.074346
13.020000	-1.031870
13.040000	-0.722152
13.060000	-0.070118
13.080000	0.588484
13.100000	0.872486
13.120000	0.696576
13.140000	0.083508
13.160000	-0.521996
13.180000	-0.860884
13.200000	-1.167350
13.220000	-1.485600
13.240000	-1.654836
13.260000	-1.677618
13.280000	-1.601392
13.300000	-1.477896
13.320000	-1.371964
13.340000	-1.119175
13.360000	-0.729215
13.380000	-0.282114
13.400000	0.414086
13.420000	1.446455
13.440000	2.372207
13.460000	2.962041
13.480000	3.493058
13.500000	3.675081
13.520000	3.256383
13.540000	2.606533
13.560000	2.120429
13.580000	1.689865
13.600000	0.805889
13.620000	-0.587988
13.640000	-2.099008
13.660000	-3.166434
13.680000	-3.437190
13.700000	-3.058713
13.720000	-2.467493
13.740000	-1.865476
13.760000	-0.825840
13.780000	0.907024
13.800000	2.888988
13.820000	4.288364
13.840000	4.475697
13.860000	3.480374
13.880000	1.951228
13.900000	0.627389
13.920000	-0.346750
13.940000	-1.275265
13.960000	-2.351106
13.980000	-3.447576
14.000000	-4.301591
14.020000	-4.627455
14.040000	-4.478387
14.060000	-4.071903
14.080000	-3.323556
14.100000	-2.372900
14.120000	-1.388799
14.140000	-0.295294
14.160000	0.784583
14.180000	1.621342
14.200000	2.253201
14.220000	2.762455
14.240000	2.897351
14.260000	2.612028
14.280000	2.263452
14.300000	2.110603
14.320000	2.142677
14.340000	2.213242
14.360000	2.249442
14.380000	2.211379
14.400000	2.021215
14.420000	1.425900
14.440000	0.219570
14.460000	-1.234151
14.480000	-2.317661
14.500000	-2.751862
14.520000	-2.802736
14.540000	-2.856651
14.560000	-2.849047
14.580000	-2.567863
14.600000	-1.979638
14.620000	-1.074878
14.640000	0.327542
14.660000	1.986162
14.680000	3.221669
14.700000	4.032175
14.720000	4.533293
14.740000	4.325266
14.760000	3.120218
14.780000	1.192914
14.800000	-0.913037
14.820000	-2.803068
14.840000	-4.093495
14.860000	-4.651123
14.880000	-4.527072
14.900000	-3.736804
14.920000	-2.267579
14.940000	-0.115555
