Tiempo(s)	Amplitud(mm)
# npts=18501
# fs=50.0000 Hz
# duracion=370.0000 s

0.000000	-0.000000
0.020000	-0.000000
0.040000	-0.000000
0.060000	-0.000000
0.080000	-0.000000
0.100000	-0.000001
0.120000	-0.000001
0.140000	-0.000002
0.160000	-0.000003
0.180000	-0.000004
0.200000	-0.000005
0.220000	-0.000006
0.240000	-0.000007
0.260000	-0.000009
0.280000	-0.000010
0.300000	-0.000012
0.320000	-0.000014
0.340000	-0.000016
0.360000	-0.000018
0.380000	-0.000020
0.400000	-0.000022
0.420000	-0.000024
0.440000	-0.000026
0.460000	-0.000028
0.480000	-0.000030
0.500000	-0.000032
0.520000	-0.000034
0.540000	-0.000037
0.560000	-0.000039
0.580000	-0.000041
0.600000	-0.000043
0.620000	-0.000045
0.640000	-0.000047
0.660000	-0.000050
0.680000	-0.000052
0.700000	-0.000054
0.720000	-0.000056
0.740000	-0.000059
0.760000	-0.000061
0.780000	-0.000063
0.800000	-0.000065
0.820000	-0.000067
0.840000	-0.000069
0.860000	-0.000071
0.880000	-0.000073
0.900000	-0.000076
0.920000	-0.000078
0.940000	-0.000080
0.960000	-0.000082
0.980000	-0.000084
1.000000	-0.000086
1.020000	-0.000088
1.040000	-0.000090
1.060000	-0.000092
1.080000	-0.000094
1.100000	-0.000096
1.120000	-0.000098
1.140000	-0.000100
1.160000	-0.000102
1.180000	-0.000104
1.200000	-0.000106
1.220000	-0.000108
1.240000	-0.000109
1.260000	-0.000111
1.280000	-0.000113
1.300000	-0.000115
1.320000	-0.000117
1.340000	-0.000119
1.360000	-0.000121
1.380000	-0.000123
1.400000	-0.000124
1.420000	-0.000126
1.440000	-0.000128
1.460000	-0.000130
1.480000	-0.000131
1.500000	-0.000133
1.520000	-0.000135
1.540000	-0.000136
1.560000	-0.000138
1.580000	-0.000140
1.600000	-0.000142
1.620000	-0.000144
1.640000	-0.000145
1.660000	-0.000147
1.680000	-0.000148
1.700000	-0.000150
1.720000	-0.000152
1.740000	-0.000154
1.760000	-0.000156
1.780000	-0.000159
1.800000	-0.000160
1.820000	-0.000163
1.840000	-0.000165
1.860000	-0.000167
1.880000	-0.000169
1.900000	-0.000171
1.920000	-0.000174
1.940000	-0.000177
1.960000	-0.000180
1.980000	-0.000181
2.000000	-0.000183
2.020000	-0.000186
2.040000	-0.000188
2.060000	-0.000192
2.080000	-0.000195
2.100000	-0.000198
2.120000	-0.000201
2.140000	-0.000203
2.160000	-0.000207
2.180000	-0.000211
2.200000	-0.000212
2.220000	-0.000216
2.240000	-0.000219
2.260000	-0.000223
2.280000	-0.000226
2.300000	-0.000227
2.320000	-0.000232
2.340000	-0.000234
2.360000	-0.000236
2.380000	-0.000238
2.400000	-0.000239
2.420000	-0.000244
2.440000	-0.000247
2.460000	-0.000250
2.480000	-0.000253
2.500000	-0.000258
2.520000	-0.000264
2.540000	-0.000263
2.560000	-0.000263
2.580000	-0.000268
2.600000	-0.000272
2.620000	-0.000274
2.640000	-0.000277
2.660000	-0.000282
2.680000	-0.000283
2.700000	-0.000284
2.720000	-0.000282
2.740000	-0.000285
2.760000	-0.000292
2.780000	-0.000293
2.800000	-0.000296
2.820000	-0.000300
2.840000	-0.000303
2.860000	-0.000308
2.880000	-0.000312
2.900000	-0.000318
2.920000	-0.000314
2.940000	-0.000307
2.960000	-0.000308
2.980000	-0.000306
3.000000	-0.000303
3.020000	-0.000302
3.040000	-0.000302
3.060000	-0.000301
3.080000	-0.000296
3.100000	-0.000298
3.120000	-0.000289
3.140000	-0.000281
3.160000	-0.000283
3.180000	-0.000295
3.200000	-0.000311
3.220000	-0.000308
3.240000	-0.000306
3.260000	-0.000299
3.280000	-0.000290
3.300000	-0.000286
3.320000	-0.000268
3.340000	-0.000274
3.360000	-0.000303
3.380000	-0.000312
3.400000	-0.000303
3.420000	-0.000307
3.440000	-0.000326
3.460000	-0.000344
3.480000	-0.000349
3.500000	-0.000367
3.520000	-0.000429
3.540000	-0.000468
3.560000	-0.000464
3.580000	-0.000448
3.600000	-0.000449
3.620000	-0.000503
3.640000	-0.000559
3.660000	-0.000593
3.680000	-0.000619
3.700000	-0.000648
3.720000	-0.000709
3.740000	-0.000780
3.760000	-0.000796
3.780000	-0.000783
3.800000	-0.000799
3.820000	-0.000837
3.840000	-0.000857
3.860000	-0.000829
3.880000	-0.000818
3.900000	-0.000841
3.920000	-0.000869
3.940000	-0.000944
3.960000	-0.000985
3.980000	-0.000968
4.000000	-0.001022
4.020000	-0.001111
4.040000	-0.001126
4.060000	-0.001145
4.080000	-0.001226
4.100000	-0.001301
4.120000	-0.001340
4.140000	-0.001327
4.160000	-0.001311
4.180000	-0.001364
4.200000	-0.001437
4.220000	-0.001501
4.240000	-0.001527
4.260000	-0.001509
4.280000	-0.001540
4.300000	-0.001648
4.320000	-0.001724
4.340000	-0.001742
4.360000	-0.001778
4.380000	-0.001814
4.400000	-0.001822
4.420000	-0.001861
4.440000	-0.001924
4.460000	-0.001959
4.480000	-0.001919
4.500000	-0.001773
4.520000	-0.001703
4.540000	-0.001707
4.560000	-0.001536
4.580000	-0.001438
4.600000	-0.001475
4.620000	-0.001468
4.640000	-0.001467
4.660000	-0.001375
4.680000	-0.001109
4.700000	-0.000857
4.720000	-0.000721
4.740000	-0.000533
4.760000	-0.000381
4.780000	-0.000208
4.800000	-0.000001
4.820000	0.000124
4.840000	0.000319
4.860000	0.000496
4.880000	0.000693
4.900000	0.000902
4.920000	0.000971
4.940000	0.001072
4.960000	0.001139
4.980000	0.001097
5.000000	0.001229
5.020000	0.001384
5.040000	0.001479
5.060000	0.001409
5.080000	0.001309
5.100000	0.001493
5.120000	0.001498
5.140000	0.001537
5.160000	0.001686
5.180000	0.001901
5.200000	0.002370
5.220000	0.002565
5.240000	0.002643
5.260000	0.002639
5.280000	0.002563
5.300000	0.002537
5.320000	0.002561
5.340000	0.002859
5.360000	0.002950
5.380000	0.002966
5.400000	0.003231
5.420000	0.003295
5.440000	0.003338
5.460000	0.003456
5.480000	0.003434
5.500000	0.003592
5.520000	0.003860
5.540000	0.003818
5.560000	0.003655
5.580000	0.003575
5.600000	0.003596
5.620000	0.003729
5.640000	0.003757
5.660000	0.003692
5.680000	0.003660
5.700000	0.003744
5.720000	0.004024
5.740000	0.004158
5.760000	0.004168
5.780000	0.004383
5.800000	0.004432
5.820000	0.004215
5.840000	0.003794
5.860000	0.003602
5.880000	0.004071
5.900000	0.004208
5.920000	0.004227
5.940000	0.004352
5.960000	0.004415
5.980000	0.004515
6.000000	0.004114
6.020000	0.004221
6.040000	0.004351
6.060000	0.004323
6.080000	0.004894
6.100000	0.004778
6.120000	0.004521
6.140000	0.004030
6.160000	0.003532
6.180000	0.003646
6.200000	0.002887
6.220000	0.002314
6.240000	0.002294
6.260000	0.001968
6.280000	0.001551
6.300000	0.000741
6.320000	0.000302
6.340000	-0.000105
6.360000	-0.000425
6.380000	-0.000105
6.400000	-0.000368
6.420000	-0.000885
6.440000	-0.001338
6.460000	-0.001517
6.480000	-0.001649
6.500000	-0.002252
6.520000	-0.002295
6.540000	-0.002226
6.560000	-0.002046
6.580000	-0.002054
6.600000	-0.002332
6.620000	-0.001931
6.640000	-0.001556
6.660000	-0.001025
6.680000	-0.000769
6.700000	-0.001073
6.720000	-0.001479
6.740000	-0.001792
6.760000	-0.001769
6.780000	-0.001728
6.800000	-0.001300
6.820000	-0.000883
6.840000	-0.000870
6.860000	-0.000867
6.880000	-0.000893
6.900000	-0.001164
6.920000	-0.001070
6.940000	-0.000575
6.960000	0.000523
6.980000	0.001508
7.000000	0.001282
7.020000	0.001229
7.040000	0.001373
7.060000	0.001365
7.080000	0.001030
7.100000	0.000928
7.120000	0.001367
7.140000	0.001323
7.160000	0.001317
7.180000	0.000963
7.200000	0.000431
7.220000	0.000445
7.240000	0.000594
7.260000	0.000600
7.280000	0.000294
7.300000	0.000115
7.320000	-0.000070
7.340000	-0.000479
7.360000	-0.000765
7.380000	-0.001208
7.400000	-0.000921
7.420000	-0.000187
7.440000	-0.000250
7.460000	-0.000042
7.480000	0.000477
7.500000	0.001146
7.520000	0.001448
7.540000	0.001813
7.560000	0.002990
7.580000	0.002700
7.600000	0.001753
7.620000	0.000961
7.640000	0.000257
7.660000	0.000398
7.680000	-0.000688
7.700000	-0.001504
7.720000	-0.001788
7.740000	-0.002682
7.760000	-0.002771
7.780000	-0.003519
7.800000	-0.003819
7.820000	-0.003869
7.840000	-0.004701
7.860000	-0.004635
7.880000	-0.004916
7.900000	-0.005220
7.920000	-0.005366
7.940000	-0.006458
7.960000	-0.007231
7.980000	-0.007874
8.000000	-0.008885
8.020000	-0.009794
8.040000	-0.010569
8.060000	-0.011335
8.080000	-0.012526
8.100000	-0.013689
8.120000	-0.015334
8.140000	-0.016735
8.160000	-0.016839
8.180000	-0.017647
8.200000	-0.018048
8.220000	-0.018122
8.240000	-0.019294
8.260000	-0.019634
8.280000	-0.020061
8.300000	-0.021203
8.320000	-0.022700
8.340000	-0.023326
8.360000	-0.022725
8.380000	-0.023204
8.400000	-0.023328
8.420000	-0.022337
8.440000	-0.021056
8.460000	-0.020493
8.480000	-0.021167
8.500000	-0.021555
8.520000	-0.022073
8.540000	-0.021749
8.560000	-0.020315
8.580000	-0.019611
