Tiempo(s)	Amplitud(mm)
# npts=18501
# fs=50.0000 Hz
# duracion=370.0000 s

0.000000	-0.000001
0.020000	-0.000000
0.040000	-0.000001
0.060000	-0.000000
0.080000	-0.000001
0.100000	-0.000001
0.120000	-0.000002
0.140000	-0.000001
0.160000	-0.000002
0.180000	-0.000003
0.200000	-0.000004
0.220000	-0.000004
0.240000	-0.000006
0.260000	-0.000006
0.280000	-0.000008
0.300000	-0.000008
0.320000	-0.000010
0.340000	-0.000011
0.360000	-0.000012
0.380000	-0.000013
0.400000	-0.000015
0.420000	-0.000016
0.440000	-0.000018
0.460000	-0.000019
0.480000	-0.000021
0.500000	-0.000022
0.520000	-0.000024
0.540000	-0.000025
0.560000	-0.000027
0.580000	-0.000028
0.600000	-0.000030
0.620000	-0.000031
0.640000	-0.000033
0.660000	-0.000034
0.680000	-0.000036
0.700000	-0.000037
0.720000	-0.000039
0.740000	-0.000040
0.760000	-0.000042
0.780000	-0.000043
0.800000	-0.000045
0.820000	-0.000046
0.840000	-0.000048
0.860000	-0.000049
0.880000	-0.000051
0.900000	-0.000052
0.920000	-0.000055
0.940000	-0.000056
0.960000	-0.000058
0.980000	-0.000059
1.000000	-0.000061
1.020000	-0.000062
1.040000	-0.000064
1.060000	-0.000065
1.080000	-0.000067
1.100000	-0.000068
1.120000	-0.000070
1.140000	-0.000071
1.160000	-0.000073
1.180000	-0.000074
1.200000	-0.000076
1.220000	-0.000078
1.240000	-0.000080
1.260000	-0.000081
1.280000	-0.000083
1.300000	-0.000084
1.320000	-0.000086
1.340000	-0.000087
1.360000	-0.000089
1.380000	-0.000091
1.400000	-0.000092
1.420000	-0.000093
1.440000	-0.000096
1.460000	-0.000097
1.480000	-0.000099
1.500000	-0.000101
1.520000	-0.000103
1.540000	-0.000104
1.560000	-0.000106
1.580000	-0.000107
1.600000	-0.000108
1.620000	-0.000109
1.640000	-0.000112
1.660000	-0.000113
1.680000	-0.000115
1.700000	-0.000117
1.720000	-0.000119
1.740000	-0.000121
1.760000	-0.000122
1.780000	-0.000124
1.800000	-0.000128
1.820000	-0.000129
1.840000	-0.000131
1.860000	-0.000131
1.880000	-0.000136
1.900000	-0.000140
1.920000	-0.000142
1.940000	-0.000140
1.960000	-0.000140
1.980000	-0.000141
2.000000	-0.000144
2.020000	-0.000146
2.040000	-0.000150
2.060000	-0.000152
2.080000	-0.000156
2.100000	-0.000156
2.120000	-0.000157
2.140000	-0.000160
2.160000	-0.000161
2.180000	-0.000164
2.200000	-0.000171
2.220000	-0.000174
2.240000	-0.000173
2.260000	-0.000170
2.280000	-0.000176
2.300000	-0.000185
2.320000	-0.000192
2.340000	-0.000188
2.360000	-0.000179
2.380000	-0.000178
2.400000	-0.000183
2.420000	-0.000187
2.440000	-0.000195
2.460000	-0.000201
2.480000	-0.000203
2.500000	-0.000203
2.520000	-0.000211
2.540000	-0.000214
2.560000	-0.000222
2.580000	-0.000227
2.600000	-0.000225
2.620000	-0.000222
2.640000	-0.000218
2.660000	-0.000218
2.680000	-0.000213
2.700000	-0.000214
2.720000	-0.000225
2.740000	-0.000231
2.760000	-0.000233
2.780000	-0.000225
2.800000	-0.000227
2.820000	-0.000234
2.840000	-0.000254
2.860000	-0.000264
2.880000	-0.000248
2.900000	-0.000255
2.920000	-0.000260
2.940000	-0.000266
2.960000	-0.000253
2.980000	-0.000234
3.000000	-0.000267
3.020000	-0.000295
3.040000	-0.000311
3.060000	-0.000289
3.080000	-0.000280
3.100000	-0.000304
3.120000	-0.000300
3.140000	-0.000304
3.160000	-0.000301
3.180000	-0.000270
3.200000	-0.000249
3.220000	-0.000246
3.240000	-0.000279
3.260000	-0.000333
3.280000	-0.000383
3.300000	-0.000409
3.320000	-0.000395
3.340000	-0.000366
3.360000	-0.000375
3.380000	-0.000372
3.400000	-0.000290
3.420000	-0.000242
3.440000	-0.000280
3.460000	-0.000316
3.480000	-0.000329
3.500000	-0.000309
3.520000	-0.000368
3.540000	-0.000460
3.560000	-0.000416
3.580000	-0.000392
3.600000	-0.000414
3.620000	-0.000397
3.640000	-0.000386
3.660000	-0.000368
3.680000	-0.000416
3.700000	-0.000461
3.720000	-0.000505
3.740000	-0.000531
3.760000	-0.000409
3.780000	-0.000339
3.800000	-0.000377
3.820000	-0.000394
3.840000	-0.000392
3.860000	-0.000356
3.880000	-0.000371
3.900000	-0.000466
3.920000	-0.000464
3.940000	-0.000367
3.960000	-0.000328
3.980000	-0.000395
4.000000	-0.000510
4.020000	-0.000479
4.040000	-0.000427
4.060000	-0.000423
4.080000	-0.000416
4.100000	-0.000422
4.120000	-0.000407
4.140000	-0.000409
4.160000	-0.000337
4.180000	-0.000318
4.200000	-0.000369
4.220000	-0.000328
4.240000	-0.000215
4.260000	-0.000049
4.280000	-0.000129
4.300000	-0.000217
4.320000	-0.000201
4.340000	-0.000380
4.360000	-0.000286
4.380000	-0.000008
4.400000	-0.000003
4.420000	-0.000095
4.440000	-0.000217
4.460000	-0.000388
4.480000	-0.000507
4.500000	-0.000383
4.520000	-0.000336
4.540000	-0.000298
4.560000	-0.000004
4.580000	-0.000027
4.600000	0.000020
4.620000	0.000300
4.640000	0.000417
4.660000	0.000369
4.680000	0.000014
4.700000	-0.000103
4.720000	-0.000089
4.740000	-0.000100
4.760000	0.000030
4.780000	0.000136
4.800000	0.000219
4.820000	0.000135
4.840000	0.000125
4.860000	0.000245
4.880000	0.000090
4.900000	0.000018
4.920000	0.000115
4.940000	-0.000055
4.960000	-0.000383
4.980000	-0.000723
5.000000	-0.000484
5.020000	-0.000216
5.040000	-0.000354
5.060000	-0.000382
5.080000	-0.000543
5.100000	-0.000165
5.120000	0.000146
5.140000	0.000013
5.160000	-0.000118
5.180000	-0.000213
5.200000	-0.000136
5.220000	-0.000603
5.240000	-0.000458
5.260000	0.000265
5.280000	-0.000074
5.300000	-0.000618
5.320000	-0.000547
5.340000	-0.000387
5.360000	-0.000719
5.380000	-0.000710
5.400000	-0.000292
5.420000	-0.000341
5.440000	-0.000230
5.460000	-0.000359
5.480000	-0.000649
5.500000	-0.000596
5.520000	-0.000635
5.540000	-0.000314
5.560000	-0.000202
5.580000	-0.000515
5.600000	-0.000423
5.620000	0.000114
5.640000	0.000088
5.660000	-0.000362
5.680000	-0.000212
5.700000	-0.000052
5.720000	-0.000155
5.740000	-0.000619
5.760000	-0.000203
5.780000	0.001050
5.800000	0.000895
5.820000	0.000406
5.840000	0.000458
5.860000	0.000429
5.880000	0.000154
5.900000	0.000194
5.920000	0.000214
5.940000	0.000487
5.960000	0.001186
5.980000	0.001391
6.000000	0.001909
6.020000	0.002191
6.040000	0.001998
6.060000	0.001554
6.080000	0.001833
6.100000	0.001910
6.120000	0.000627
6.140000	0.000387
6.160000	0.000408
6.180000	0.000657
6.200000	0.000992
6.220000	0.001143
6.240000	0.001965
6.260000	0.002434
6.280000	0.002085
6.300000	0.000892
6.320000	0.000914
6.340000	0.001997
6.360000	0.002019
6.380000	0.001528
6.400000	0.000934
6.420000	0.000436
6.440000	0.000982
6.460000	0.002918
6.480000	0.003896
6.500000	0.003308
6.520000	0.003153
6.540000	0.002708
6.560000	0.001895
6.580000	0.001424
6.600000	0.000274
6.620000	-0.000163
6.640000	0.000774
6.660000	0.001173
6.680000	0.001279
6.700000	0.001464
6.720000	0.001053
6.740000	0.000713
6.760000	0.001236
6.780000	0.000807
6.800000	-0.000336
6.820000	0.000441
6.840000	0.001439
6.860000	0.002137
6.880000	0.002889
6.900000	0.002709
6.920000	0.001977
6.940000	0.000723
6.960000	-0.000303
6.980000	-0.000399
7.000000	-0.000323
7.020000	0.000871
7.040000	0.002431
7.060000	0.002413
7.080000	0.003718
7.100000	0.005190
7.120000	0.004092
7.140000	0.004118
7.160000	0.004746
7.180000	0.004520
7.200000	0.003226
7.220000	0.001379
7.240000	0.000289
7.260000	-0.001037
7.280000	-0.000799
7.300000	0.000246
7.320000	0.000969
7.340000	0.001635
7.360000	0.001312
7.380000	0.000521
7.400000	-0.000365
7.420000	0.000183
7.440000	0.000431
7.460000	0.001051
7.480000	0.002886
7.500000	0.004177
7.520000	0.004475
7.540000	0.002197
7.560000	0.000894
7.580000	0.000720
7.600000	0.000756
7.620000	0.002548
7.640000	0.003837
7.660000	0.003165
7.680000	0.001850
7.700000	0.002917
7.720000	0.003090
7.740000	0.001738
7.760000	0.002782
7.780000	0.003279
7.800000	0.001665
7.820000	0.000145
7.840000	-0.002484
7.860000	-0.005789
7.880000	-0.005162
7.900000	-0.000658
7.920000	0.001471
7.940000	0.000041
7.960000	-0.002273
7.980000	-0.003864
8.000000	-0.000755
8.020000	0.000031
8.040000	-0.001916
8.060000	-0.000195
8.080000	-0.000027
8.100000	-0.000068
8.120000	-0.000006
8.140000	-0.001106
8.160000	-0.002675
8.180000	-0.002930
8.200000	-0.002072
8.220000	-0.001925
8.240000	-0.001200
8.260000	-0.002335
8.280000	-0.004681
8.300000	-0.006653
8.320000	-0.006488
8.340000	-0.005215
8.360000	-0.005598
8.380000	-0.005989
8.400000	-0.004726
8.420000	-0.003082
8.440000	-0.003982
8.460000	-0.005007
8.480000	-0.005083
8.500000	-0.002837
8.520000	0.001744
8.540000	0.001322
8.560000	-0.001537
8.580000	-0.001509
8.600000	-0.001839
8.620000	-0.003814
