Tiempo(s)	Amplitud(mm)
# npts=18501
# fs=50.0000 Hz
# duracion=370.0000 s

0.000000	0.000001
0.020000	-0.000000
0.040000	0.000001
0.060000	0.000000
0.080000	0.000001
0.100000	0.000001
0.120000	0.000002
0.140000	0.000002
0.160000	0.000004
0.180000	0.000004
0.200000	0.000006
0.220000	0.000007
0.240000	0.000009
0.260000	0.000010
0.280000	0.000012
0.300000	0.000013
0.320000	0.000016
0.340000	0.000017
0.360000	0.000020
0.380000	0.000021
0.400000	0.000024
0.420000	0.000026
0.440000	0.000029
0.460000	0.000031
0.480000	0.000034
0.500000	0.000035
0.520000	0.000038
0.540000	0.000040
0.560000	0.000043
0.580000	0.000045
0.600000	0.000048
0.620000	0.000050
0.640000	0.000053
0.660000	0.000055
0.680000	0.000058
0.700000	0.000059
0.720000	0.000063
0.740000	0.000064
0.760000	0.000068
0.780000	0.000069
0.800000	0.000072
0.820000	0.000074
0.840000	0.000077
0.860000	0.000079
0.880000	0.000082
0.900000	0.000084
0.920000	0.000087
0.940000	0.000088
0.960000	0.000092
0.980000	0.000093
1.000000	0.000096
1.020000	0.000098
1.040000	0.000101
1.060000	0.000103
1.080000	0.000106
1.100000	0.000107
1.120000	0.000111
1.140000	0.000112
1.160000	0.000115
1.180000	0.000117
1.200000	0.000120
1.220000	0.000122
1.240000	0.000125
1.260000	0.000126
1.280000	0.000130
1.300000	0.000131
1.320000	0.000134
1.340000	0.000136
1.360000	0.000139
1.380000	0.000141
1.400000	0.000144
1.420000	0.000145
1.440000	0.000149
1.460000	0.000150
1.480000	0.000153
1.500000	0.000155
1.520000	0.000158
1.540000	0.000160
1.560000	0.000163
1.580000	0.000164
1.600000	0.000168
1.620000	0.000169
1.640000	0.000172
1.660000	0.000174
1.680000	0.000177
1.700000	0.000178
1.720000	0.000181
1.740000	0.000183
1.760000	0.000186
1.780000	0.000187
1.800000	0.000190
1.820000	0.000192
1.840000	0.000195
1.860000	0.000196
1.880000	0.000199
1.900000	0.000201
1.920000	0.000204
1.940000	0.000205
1.960000	0.000208
1.980000	0.000210
2.000000	0.000213
2.020000	0.000214
2.040000	0.000217
2.060000	0.000219
2.080000	0.000222
2.100000	0.000223
2.120000	0.000226
2.140000	0.000227
2.160000	0.000230
2.180000	0.000231
2.200000	0.000233
2.220000	0.000234
2.240000	0.000236
2.260000	0.000237
2.280000	0.000239
2.300000	0.000240
2.320000	0.000242
2.340000	0.000242
2.360000	0.000244
2.380000	0.000244
2.400000	0.000246
2.420000	0.000246
2.440000	0.000246
2.460000	0.000245
2.480000	0.000246
2.500000	0.000244
2.520000	0.000244
2.540000	0.000243
2.560000	0.000243
2.580000	0.000242
2.600000	0.000242
2.620000	0.000239
2.640000	0.000239
2.660000	0.000238
2.680000	0.000237
2.700000	0.000235
2.720000	0.000234
2.740000	0.000230
2.760000	0.000227
2.780000	0.000222
2.800000	0.000220
2.820000	0.000215
2.840000	0.000209
2.860000	0.000203
2.880000	0.000201
2.900000	0.000198
2.920000	0.000196
2.940000	0.000192
2.960000	0.000193
2.980000	0.000191
3.000000	0.000191
3.020000	0.000190
3.040000	0.000188
3.060000	0.000185
3.080000	0.000182
3.100000	0.000176
3.120000	0.000174
3.140000	0.000170
3.160000	0.000167
3.180000	0.000166
3.200000	0.000168
3.220000	0.000167
3.240000	0.000167
3.260000	0.000166
3.280000	0.000164
3.300000	0.000159
3.320000	0.000156
3.340000	0.000148
3.360000	0.000145
3.380000	0.000140
3.400000	0.000134
3.420000	0.000129
3.440000	0.000127
3.460000	0.000130
3.480000	0.000133
3.500000	0.000135
3.520000	0.000140
3.540000	0.000141
3.560000	0.000148
3.580000	0.000153
3.600000	0.000162
3.620000	0.000174
3.640000	0.000185
3.660000	0.000195
3.680000	0.000209
3.700000	0.000215
3.720000	0.000217
3.740000	0.000221
3.760000	0.000235
3.780000	0.000247
3.800000	0.000258
3.820000	0.000274
3.840000	0.000295
3.860000	0.000314
3.880000	0.000340
3.900000	0.000357
3.920000	0.000374
3.940000	0.000379
3.960000	0.000372
3.980000	0.000361
4.000000	0.000359
4.020000	0.000354
4.040000	0.000353
4.060000	0.000374
4.080000	0.000397
4.100000	0.000416
4.120000	0.000444
4.140000	0.000465
4.160000	0.000480
4.180000	0.000481
4.200000	0.000483
4.220000	0.000476
4.240000	0.000464
4.260000	0.000462
4.280000	0.000461
4.300000	0.000448
4.320000	0.000443
4.340000	0.000457
4.360000	0.000478
4.380000	0.000499
4.400000	0.000529
4.420000	0.000553
4.440000	0.000573
4.460000	0.000584
4.480000	0.000588
4.500000	0.000588
4.520000	0.000586
4.540000	0.000580
4.560000	0.000576
4.580000	0.000554
4.600000	0.000523
4.620000	0.000484
4.640000	0.000439
4.660000	0.000380
4.680000	0.000317
4.700000	0.000263
4.720000	0.000211
4.740000	0.000188
4.760000	0.000176
4.780000	0.000168
4.800000	0.000201
4.820000	0.000220
4.840000	0.000231
4.860000	0.000264
4.880000	0.000316
4.900000	0.000358
4.920000	0.000402
4.940000	0.000441
4.960000	0.000469
4.980000	0.000491
5.000000	0.000533
5.020000	0.000575
5.040000	0.000573
5.060000	0.000589
5.080000	0.000620
5.100000	0.000643
5.120000	0.000685
5.140000	0.000716
5.160000	0.000777
5.180000	0.000849
5.200000	0.000943
5.220000	0.001055
5.240000	0.001122
5.260000	0.001197
5.280000	0.001271
5.300000	0.001300
5.320000	0.001293
5.340000	0.001250
5.360000	0.001213
5.380000	0.001154
5.400000	0.001044
5.420000	0.000936
5.440000	0.000859
5.460000	0.000766
5.480000	0.000715
5.500000	0.000706
5.520000	0.000647
5.540000	0.000599
5.560000	0.000563
5.580000	0.000508
5.600000	0.000527
5.620000	0.000582
5.640000	0.000629
5.660000	0.000665
5.680000	0.000719
5.700000	0.000830
5.720000	0.000918
5.740000	0.000958
5.760000	0.000999
5.780000	0.000973
5.800000	0.000907
5.820000	0.000841
5.840000	0.000741
5.860000	0.000626
5.880000	0.000534
5.900000	0.000464
5.920000	0.000402
5.940000	0.000339
5.960000	0.000262
5.980000	0.000214
6.000000	0.000207
6.020000	0.000128
6.040000	0.000067
6.060000	0.000006
6.080000	-0.000133
6.100000	-0.000312
6.120000	-0.000494
6.140000	-0.000695
6.160000	-0.000846
6.180000	-0.001018
6.200000	-0.001276
6.220000	-0.001499
6.240000	-0.001743
6.260000	-0.001952
6.280000	-0.002151
6.300000	-0.002359
6.320000	-0.002488
6.340000	-0.002577
6.360000	-0.002631
6.380000	-0.002778
6.400000	-0.002863
6.420000	-0.002814
6.440000	-0.002817
6.460000	-0.002934
6.480000	-0.002899
6.500000	-0.002818
6.520000	-0.002829
6.540000	-0.002735
6.560000	-0.002632
6.580000	-0.002477
6.600000	-0.002418
6.620000	-0.002285
6.640000	-0.002073
6.660000	-0.002041
6.680000	-0.001776
6.700000	-0.001576
6.720000	-0.001537
6.740000	-0.001348
6.760000	-0.001025
6.780000	-0.000772
6.800000	-0.000494
6.820000	-0.000170
6.840000	0.000195
6.860000	0.000629
6.880000	0.001035
6.900000	0.001602
6.920000	0.002085
6.940000	0.002440
6.960000	0.002830
6.980000	0.003165
7.000000	0.003436
7.020000	0.003731
7.040000	0.004224
7.060000	0.004734
7.080000	0.005090
7.100000	0.005334
7.120000	0.005530
7.140000	0.005683
7.160000	0.005738
7.180000	0.005794
7.200000	0.005842
7.220000	0.005752
7.240000	0.005748
7.260000	0.005829
7.280000	0.005723
7.300000	0.005620
7.320000	0.005589
7.340000	0.005578
7.360000	0.005779
7.380000	0.006014
7.400000	0.006175
7.420000	0.006254
7.440000	0.006122
7.460000	0.006008
7.480000	0.005880
7.500000	0.005510
7.520000	0.005283
7.540000	0.004990
7.560000	0.004724
7.580000	0.004626
7.600000	0.004419
7.620000	0.004486
7.640000	0.004462
7.660000	0.004203
7.680000	0.004127
7.700000	0.004055
7.720000	0.004146
7.740000	0.004189
7.760000	0.004334
7.780000	0.004664
7.800000	0.004632
7.820000	0.004505
7.840000	0.004480
7.860000	0.003970
7.880000	0.003452
7.900000	0.002957
7.920000	0.001997
7.940000	0.001211
7.960000	0.000511
7.980000	-0.000137
8.000000	-0.000625
8.020000	-0.001116
8.040000	-0.001188
8.060000	-0.001000
8.080000	-0.000767
8.100000	-0.000462
8.120000	-0.000088
8.140000	0.000309
8.160000	0.000580
8.180000	0.000739
8.200000	0.000704
8.220000	0.000809
8.240000	0.000833
8.260000	0.000665
8.280000	0.000629
8.300000	0.000576
8.320000	0.000500
8.340000	0.000448
8.360000	0.000559
8.380000	0.000368
8.400000	-0.000109
8.420000	-0.000485
8.440000	-0.000713
8.460000	-0.000714
8.480000	-0.000623
8.500000	-0.000553
8.520000	-0.000556
8.540000	-0.000357
8.560000	-0.000091
8.580000	-0.000138
8.600000	-0.000141
8.620000	-0.000508
8.640000	-0.001034
8.660000	-0.001320
8.680000	-0.001941
8.700000	-0.002330
8.720000	-0.002305
8.740000	-0.002452
8.760000	-0.002138
8.780000	-0.001704
8.800000	-0.001398
8.820000	-0.001061
8.840000	-0.001265
8.860000	-0.001315
8.880000	-0.001267
8.900000	-0.001992
8.920000	-0.002624
8.940000	-0.003094
8.960000	-0.003409
8.980000	-0.003233
9.000000	-0.003378
9.020000	-0.003152
9.040000	-0.002398
9.060000	-0.002123
9.080000	-0.001510
