Tiempo(s)	Amplitud(mm)
# npts=18501
# fs=50.0000 Hz
# duracion=370.0000 s

0.000000	-0.000001
0.020000	-0.000001
0.040000	-0.000000
0.060000	0.000001
0.080000	0.000003
0.100000	0.000006
0.120000	0.000011
0.140000	0.000016
0.160000	0.000024
0.180000	0.000032
0.200000	0.000042
0.220000	0.000052
0.240000	0.000064
0.260000	0.000076
0.280000	0.000090
0.300000	0.000104
0.320000	0.000119
0.340000	0.000135
0.360000	0.000151
0.380000	0.000168
0.400000	0.000185
0.420000	0.000202
0.440000	0.000220
0.460000	0.000238
0.480000	0.000256
0.500000	0.000274
0.520000	0.000293
0.540000	0.000311
0.560000	0.000329
0.580000	0.000347
0.600000	0.000366
0.620000	0.000384
0.640000	0.000403
0.660000	0.000420
0.680000	0.000439
0.700000	0.000457
0.720000	0.000475
0.740000	0.000492
0.760000	0.000511
0.780000	0.000528
0.800000	0.000546
0.820000	0.000563
0.840000	0.000581
0.860000	0.000597
0.880000	0.000615
0.900000	0.000632
0.920000	0.000649
0.940000	0.000665
0.960000	0.000682
0.980000	0.000699
1.000000	0.000716
1.020000	0.000732
1.040000	0.000748
1.060000	0.000764
1.080000	0.000781
1.100000	0.000796
1.120000	0.000813
1.140000	0.000828
1.160000	0.000844
1.180000	0.000859
1.200000	0.000875
1.220000	0.000890
1.240000	0.000906
1.260000	0.000920
1.280000	0.000936
1.300000	0.000950
1.320000	0.000966
1.340000	0.000980
1.360000	0.000995
1.380000	0.001009
1.400000	0.001024
1.420000	0.001038
1.440000	0.001052
1.460000	0.001066
1.480000	0.001080
1.500000	0.001093
1.520000	0.001107
1.540000	0.001121
1.560000	0.001134
1.580000	0.001147
1.600000	0.001161
1.620000	0.001173
1.640000	0.001187
1.660000	0.001199
1.680000	0.001212
1.700000	0.001224
1.720000	0.001237
1.740000	0.001249
1.760000	0.001262
1.780000	0.001273
1.800000	0.001286
1.820000	0.001297
1.840000	0.001309
1.860000	0.001320
1.880000	0.001332
1.900000	0.001342
1.920000	0.001353
1.940000	0.001363
1.960000	0.001373
1.980000	0.001383
2.000000	0.001393
2.020000	0.001402
2.040000	0.001412
2.060000	0.001421
2.080000	0.001431
2.100000	0.001440
2.120000	0.001450
2.140000	0.001458
2.160000	0.001468
2.180000	0.001476
2.200000	0.001484
2.220000	0.001492
2.240000	0.001500
2.260000	0.001507
2.280000	0.001516
2.300000	0.001523
2.320000	0.001532
2.340000	0.001539
2.360000	0.001547
2.380000	0.001555
2.400000	0.001563
2.420000	0.001570
2.440000	0.001578
2.460000	0.001585
2.480000	0.001592
2.500000	0.001598
2.520000	0.001605
2.540000	0.001610
2.560000	0.001616
2.580000	0.001621
2.600000	0.001626
2.620000	0.001631
2.640000	0.001635
2.660000	0.001639
2.680000	0.001643
2.700000	0.001644
2.720000	0.001647
2.740000	0.001649
2.760000	0.001652
2.780000	0.001655
2.800000	0.001658
2.820000	0.001661
2.840000	0.001664
2.860000	0.001666
2.880000	0.001668
2.900000	0.001670
2.920000	0.001673
2.940000	0.001674
2.960000	0.001675
2.980000	0.001671
3.000000	0.001667
3.020000	0.001661
3.040000	0.001654
3.060000	0.001646
3.080000	0.001639
3.100000	0.001630
3.120000	0.001624
3.140000	0.001616
3.160000	0.001608
3.180000	0.001598
3.200000	0.001588
3.220000	0.001577
3.240000	0.001568
3.260000	0.001556
3.280000	0.001545
3.300000	0.001533
3.320000	0.001521
3.340000	0.001506
3.360000	0.001492
3.380000	0.001472
3.400000	0.001452
3.420000	0.001431
3.440000	0.001414
3.460000	0.001396
3.480000	0.001378
3.500000	0.001362
3.520000	0.001351
3.540000	0.001338
3.560000	0.001327
3.580000	0.001317
3.600000	0.001314
3.620000	0.001309
3.640000	0.001303
3.660000	0.001294
3.680000	0.001282
3.700000	0.001265
3.720000	0.001255
3.740000	0.001253
3.760000	0.001253
3.780000	0.001259
3.800000	0.001281
3.820000	0.001297
3.840000	0.001309
3.860000	0.001323
3.880000	0.001346
3.900000	0.001367
3.920000	0.001380
3.940000	0.001392
3.960000	0.001416
3.980000	0.001445
4.000000	0.001462
4.020000	0.001476
4.040000	0.001492
4.060000	0.001509
4.080000	0.001521
4.100000	0.001527
4.120000	0.001535
4.140000	0.001526
4.160000	0.001523
4.180000	0.001521
4.200000	0.001526
4.220000	0.001546
4.240000	0.001563
4.260000	0.001588
4.280000	0.001612
4.300000	0.001623
4.320000	0.001632
4.340000	0.001629
4.360000	0.001626
4.380000	0.001637
4.400000	0.001629
4.420000	0.001610
4.440000	0.001608
4.460000	0.001618
4.480000	0.001610
4.500000	0.001584
4.520000	0.001580
4.540000	0.001547
4.560000	0.001475
4.580000	0.001427
4.600000	0.001393
4.620000	0.001347
4.640000	0.001300
4.660000	0.001262
4.680000	0.001246
4.700000	0.001239
4.720000	0.001253
4.740000	0.001259
4.760000	0.001233
4.780000	0.001179
4.800000	0.001131
4.820000	0.001069
4.840000	0.000980
4.860000	0.000897
4.880000	0.000780
4.900000	0.000645
4.920000	0.000526
4.940000	0.000406
4.960000	0.000278
4.980000	0.000141
5.000000	0.000010
5.020000	-0.000173
5.040000	-0.000347
5.060000	-0.000505
5.080000	-0.000696
5.100000	-0.000884
5.120000	-0.001043
5.140000	-0.001175
5.160000	-0.001354
5.180000	-0.001529
5.200000	-0.001662
5.220000	-0.001838
5.240000	-0.001978
5.260000	-0.002116
5.280000	-0.002254
5.300000	-0.002334
5.320000	-0.002371
5.340000	-0.002449
5.360000	-0.002513
5.380000	-0.002465
5.400000	-0.002407
5.420000	-0.002373
5.440000	-0.002336
5.460000	-0.002237
5.480000	-0.002144
5.500000	-0.002101
5.520000	-0.001978
5.540000	-0.001848
5.560000	-0.001720
5.580000	-0.001622
5.600000	-0.001583
5.620000	-0.001529
5.640000	-0.001406
5.660000	-0.001265
5.680000	-0.001090
5.700000	-0.000943
5.720000	-0.000865
5.740000	-0.000761
5.760000	-0.000669
5.780000	-0.000690
5.800000	-0.000731
5.820000	-0.000756
5.840000	-0.000797
5.860000	-0.000834
5.880000	-0.000838
5.900000	-0.000884
5.920000	-0.000939
5.940000	-0.000936
5.960000	-0.000853
5.980000	-0.000723
6.000000	-0.000591
6.020000	-0.000381
6.040000	-0.000181
6.060000	-0.000035
6.080000	0.000185
6.100000	0.000451
6.120000	0.000689
6.140000	0.000869
6.160000	0.001040
6.180000	0.001212
6.200000	0.001320
6.220000	0.001469
6.240000	0.001639
6.260000	0.001712
6.280000	0.001728
6.300000	0.001734
6.320000	0.001748
6.340000	0.001716
6.360000	0.001596
6.380000	0.001407
6.400000	0.001177
6.420000	0.001000
6.440000	0.000963
6.460000	0.000947
6.480000	0.000820
6.500000	0.000698
6.520000	0.000732
6.540000	0.000948
6.560000	0.001124
6.580000	0.001297
6.600000	0.001578
6.620000	0.001736
6.640000	0.001912
6.660000	0.002209
6.680000	0.002478
6.700000	0.002742
6.720000	0.003124
6.740000	0.003660
6.760000	0.004046
6.780000	0.004395
6.800000	0.004865
6.820000	0.005305
6.840000	0.005702
6.860000	0.006028
6.880000	0.006289
6.900000	0.006489
6.920000	0.006672
6.940000	0.006813
6.960000	0.006827
6.980000	0.006772
7.000000	0.006685
7.020000	0.006512
7.040000	0.006331
7.060000	0.006090
7.080000	0.005674
7.100000	0.005270
7.120000	0.004822
7.140000	0.004386
7.160000	0.004153
7.180000	0.003806
7.200000	0.003226
7.220000	0.002746
7.240000	0.002329
7.260000	0.001828
7.280000	0.001319
7.300000	0.000660
7.320000	0.000087
7.340000	-0.000386
7.360000	-0.000944
7.380000	-0.001611
7.400000	-0.002178
7.420000	-0.002434
7.440000	-0.002667
7.460000	-0.002970
7.480000	-0.003140
7.500000	-0.003166
7.520000	-0.003224
7.540000	-0.003409
7.560000	-0.003387
7.580000	-0.003382
7.600000	-0.003615
7.620000	-0.003969
7.640000	-0.004175
7.660000	-0.004428
7.680000	-0.004953
7.700000	-0.005449
7.720000	-0.005711
7.740000	-0.005865
7.760000	-0.006026
7.780000	-0.006046
7.800000	-0.006028
7.820000	-0.006108
7.840000	-0.005906
7.860000	-0.005524
7.880000	-0.005258
7.900000	-0.004973
7.920000	-0.004613
7.940000	-0.004251
7.960000	-0.003921
7.980000	-0.003580
8.000000	-0.003240
8.020000	-0.002997
8.040000	-0.002796
8.060000	-0.002657
8.080000	-0.002560
8.100000	-0.002429
8.120000	-0.002239
8.140000	-0.002140
8.160000	-0.002129
8.180000	-0.002077
8.200000	-0.002175
8.220000	-0.002332
8.240000	-0.002347
8.260000	-0.002253
8.280000	-0.002162
8.300000	-0.002044
8.320000	-0.001886
8.340000	-0.001613
8.360000	-0.001375
8.380000	-0.001460
8.400000	-0.001401
8.420000	-0.001214
8.440000	-0.000909
8.460000	-0.000537
8.480000	-0.000324
8.500000	0.000178
8.520000	0.000617
8.540000	0.001019
8.560000	0.001604
8.580000	0.002320
8.600000	0.003238
8.620000	0.004057
8.640000	0.005039
8.660000	0.006220
8.680000	0.007397
8.700000	0.008438
8.720000	0.009304
8.740000	0.010026
8.760000	0.010971
8.780000	0.011735
8.800000	0.011837
8.820000	0.011791
8.840000	0.011882
8.860000	0.011362
8.880000	0.010495
8.900000	0.009801
8.920000	0.008958
8.940000	0.007981
8.960000	0.007058
8.980000	0.006151
9.000000	0.004892
9.020000	0.003555
