Tiempo(s)	Amplitud(mm)
# npts=18501
# fs=50.0000 Hz
# duracion=370.0000 s

0.000000	-0.000000
0.020000	-0.000000
0.040000	-0.000000
0.060000	-0.000000
0.080000	-0.000001
0.100000	-0.000001
0.120000	-0.000001
0.140000	-0.000002
0.160000	-0.000003
0.180000	-0.000003
0.200000	-0.000004
0.220000	-0.000005
0.240000	-0.000006
0.260000	-0.000008
0.280000	-0.000009
0.300000	-0.000010
0.320000	-0.000012
0.340000	-0.000013
0.360000	-0.000015
0.380000	-0.000016
0.400000	-0.000018
0.420000	-0.000020
0.440000	-0.000022
0.460000	-0.000023
0.480000	-0.000025
0.500000	-0.000027
0.520000	-0.000029
0.540000	-0.000031
0.560000	-0.000033
0.580000	-0.000034
0.600000	-0.000036
0.620000	-0.000038
0.640000	-0.000040
0.660000	-0.000042
0.680000	-0.000044
0.700000	-0.000046
0.720000	-0.000048
0.740000	-0.000050
0.760000	-0.000052
0.780000	-0.000054
0.800000	-0.000055
0.820000	-0.000057
0.840000	-0.000059
0.860000	-0.000061
0.880000	-0.000063
0.900000	-0.000065
0.920000	-0.000067
0.940000	-0.000069
0.960000	-0.000071
0.980000	-0.000073
1.000000	-0.000074
1.020000	-0.000076
1.040000	-0.000078
1.060000	-0.000080
1.080000	-0.000082
1.100000	-0.000084
1.120000	-0.000086
1.140000	-0.000088
1.160000	-0.000090
1.180000	-0.000092
1.200000	-0.000093
1.220000	-0.000095
1.240000	-0.000097
1.260000	-0.000099
1.280000	-0.000101
1.300000	-0.000103
1.320000	-0.000105
1.340000	-0.000107
1.360000	-0.000109
1.380000	-0.000110
1.400000	-0.000112
1.420000	-0.000114
1.440000	-0.000116
1.460000	-0.000118
1.480000	-0.000120
1.500000	-0.000122
1.520000	-0.000124
1.540000	-0.000126
1.560000	-0.000128
1.580000	-0.000129
1.600000	-0.000131
1.620000	-0.000133
1.640000	-0.000135
1.660000	-0.000137
1.680000	-0.000139
1.700000	-0.000141
1.720000	-0.000142
1.740000	-0.000144
1.760000	-0.000146
1.780000	-0.000148
1.800000	-0.000150
1.820000	-0.000152
1.840000	-0.000154
1.860000	-0.000156
1.880000	-0.000158
1.900000	-0.000160
1.920000	-0.000163
1.940000	-0.000165
1.960000	-0.000167
1.980000	-0.000168
2.000000	-0.000170
2.020000	-0.000172
2.040000	-0.000174
2.060000	-0.000175
2.080000	-0.000177
2.100000	-0.000178
2.120000	-0.000179
2.140000	-0.000181
2.160000	-0.000183
2.180000	-0.000185
2.200000	-0.000187
2.220000	-0.000189
2.240000	-0.000192
2.260000	-0.000195
2.280000	-0.000198
2.300000	-0.000201
2.320000	-0.000204
2.340000	-0.000207
2.360000	-0.000210
2.380000	-0.000213
2.400000	-0.000215
2.420000	-0.000217
2.440000	-0.000219
2.460000	-0.000221
2.480000	-0.000224
2.500000	-0.000225
2.520000	-0.000226
2.540000	-0.000227
2.560000	-0.000229
2.580000	-0.000230
2.600000	-0.000232
2.620000	-0.000235
2.640000	-0.000237
2.660000	-0.000240
2.680000	-0.000244
2.700000	-0.000248
2.720000	-0.000253
2.740000	-0.000257
2.760000	-0.000262
2.780000	-0.000265
2.800000	-0.000267
2.820000	-0.000269
2.840000	-0.000270
2.860000	-0.000270
2.880000	-0.000270
2.900000	-0.000270
2.920000	-0.000270
2.940000	-0.000269
2.960000	-0.000270
2.980000	-0.000272
3.000000	-0.000275
3.020000	-0.000278
3.040000	-0.000282
3.060000	-0.000286
3.080000	-0.000290
3.100000	-0.000293
3.120000	-0.000297
3.140000	-0.000301
3.160000	-0.000304
3.180000	-0.000306
3.200000	-0.000309
3.220000	-0.000309
3.240000	-0.000308
3.260000	-0.000306
3.280000	-0.000305
3.300000	-0.000306
3.320000	-0.000306
3.340000	-0.000306
3.360000	-0.000307
3.380000	-0.000307
3.400000	-0.000306
3.420000	-0.000303
3.440000	-0.000303
3.460000	-0.000301
3.480000	-0.000301
3.500000	-0.000300
3.520000	-0.000301
3.540000	-0.000305
3.560000	-0.000306
3.580000	-0.000306
3.600000	-0.000305
3.620000	-0.000307
3.640000	-0.000307
3.660000	-0.000305
3.680000	-0.000303
3.700000	-0.000301
3.720000	-0.000301
3.740000	-0.000300
3.760000	-0.000296
3.780000	-0.000292
3.800000	-0.000284
3.820000	-0.000277
3.840000	-0.000270
3.860000	-0.000257
3.880000	-0.000250
3.900000	-0.000243
3.920000	-0.000234
3.940000	-0.000232
3.960000	-0.000227
3.980000	-0.000228
4.000000	-0.000226
4.020000	-0.000226
4.040000	-0.000240
4.060000	-0.000257
4.080000	-0.000271
4.100000	-0.000287
4.120000	-0.000304
4.140000	-0.000321
4.160000	-0.000341
4.180000	-0.000363
4.200000	-0.000387
4.220000	-0.000396
4.240000	-0.000388
4.260000	-0.000371
4.280000	-0.000350
4.300000	-0.000325
4.320000	-0.000309
4.340000	-0.000301
4.360000	-0.000280
4.380000	-0.000271
4.400000	-0.000259
4.420000	-0.000252
4.440000	-0.000267
4.460000	-0.000266
4.480000	-0.000267
4.500000	-0.000275
4.520000	-0.000268
4.540000	-0.000255
4.560000	-0.000259
4.580000	-0.000261
4.600000	-0.000250
4.620000	-0.000245
4.640000	-0.000232
4.660000	-0.000217
4.680000	-0.000210
4.700000	-0.000219
4.720000	-0.000247
4.740000	-0.000263
4.760000	-0.000282
4.780000	-0.000291
4.800000	-0.000303
4.820000	-0.000327
4.840000	-0.000314
4.860000	-0.000296
4.880000	-0.000279
4.900000	-0.000246
4.920000	-0.000210
4.940000	-0.000169
4.960000	-0.000113
4.980000	-0.000078
5.000000	-0.000039
5.020000	0.000028
5.040000	0.000055
5.060000	0.000078
5.080000	0.000090
5.100000	0.000094
5.120000	0.000098
5.140000	0.000052
5.160000	0.000036
5.180000	0.000022
5.200000	0.000005
5.220000	0.000020
5.240000	0.000033
5.260000	0.000032
5.280000	-0.000015
5.300000	-0.000049
5.320000	-0.000070
5.340000	-0.000127
5.360000	-0.000180
5.380000	-0.000221
5.400000	-0.000287
5.420000	-0.000352
5.440000	-0.000349
5.460000	-0.000342
5.480000	-0.000360
5.500000	-0.000327
5.520000	-0.000247
5.540000	-0.000174
5.560000	-0.000122
5.580000	-0.000038
5.600000	0.000074
5.620000	0.000165
5.640000	0.000222
5.660000	0.000240
5.680000	0.000255
5.700000	0.000247
5.720000	0.000197
5.740000	0.000167
5.760000	0.000127
5.780000	0.000083
5.800000	-0.000007
5.820000	-0.000114
5.840000	-0.000192
5.860000	-0.000282
5.880000	-0.000343
5.900000	-0.000459
5.920000	-0.000543
5.940000	-0.000521
5.960000	-0.000512
5.980000	-0.000511
6.000000	-0.000507
6.020000	-0.000458
6.040000	-0.000364
6.060000	-0.000238
6.080000	-0.000041
6.100000	0.000173
6.120000	0.000351
6.140000	0.000523
6.160000	0.000610
6.180000	0.000636
6.200000	0.000665
6.220000	0.000637
6.240000	0.000574
6.260000	0.000544
6.280000	0.000584
6.300000	0.000668
6.320000	0.000827
6.340000	0.000987
6.360000	0.001098
6.380000	0.001188
6.400000	0.001251
6.420000	0.001346
6.440000	0.001455
6.460000	0.001535
6.480000	0.001611
6.500000	0.001690
6.520000	0.001800
6.540000	0.001890
6.560000	0.001924
6.580000	0.001879
6.600000	0.001817
6.620000	0.001917
6.640000	0.002092
6.660000	0.002237
6.680000	0.002291
6.700000	0.002404
6.720000	0.002561
6.740000	0.002577
6.760000	0.002553
6.780000	0.002424
6.800000	0.002348
6.820000	0.002358
6.840000	0.002350
6.860000	0.002276
6.880000	0.002197
6.900000	0.002260
6.920000	0.002268
6.940000	0.002305
6.960000	0.002308
6.980000	0.002244
7.000000	0.002224
7.020000	0.002204
7.040000	0.002182
7.060000	0.002102
7.080000	0.002014
7.100000	0.001943
7.120000	0.001934
7.140000	0.001919
7.160000	0.001928
7.180000	0.002035
7.200000	0.002131
7.220000	0.002187
7.240000	0.002217
7.260000	0.002334
7.280000	0.002406
7.300000	0.002394
7.320000	0.002458
7.340000	0.002532
7.360000	0.002472
7.380000	0.002302
7.400000	0.002144
7.420000	0.001972
7.440000	0.001858
7.460000	0.001726
7.480000	0.001573
7.500000	0.001555
7.520000	0.001388
7.540000	0.001155
7.560000	0.001063
7.580000	0.001096
7.600000	0.001206
7.620000	0.001287
7.640000	0.001452
7.660000	0.001597
7.680000	0.001695
7.700000	0.001694
7.720000	0.001673
7.740000	0.001699
7.760000	0.001631
7.780000	0.001677
7.800000	0.001742
7.820000	0.001750
7.840000	0.001830
7.860000	0.001820
7.880000	0.001845
7.900000	0.001874
7.920000	0.001784
7.940000	0.001840
7.960000	0.001780
7.980000	0.001612
8.000000	0.001493
8.020000	0.001315
8.040000	0.001119
8.060000	0.000936
8.080000	0.000977
8.100000	0.001153
8.120000	0.001256
8.140000	0.001261
8.160000	0.001487
8.180000	0.001780
8.200000	0.001944
8.220000	0.002274
8.240000	0.002660
8.260000	0.003148
8.280000	0.003417
8.300000	0.003367
8.320000	0.003305
8.340000	0.003210
8.360000	0.002980
8.380000	0.002463
8.400000	0.001886
8.420000	0.001284
8.440000	0.000559
8.460000	-0.000227
8.480000	-0.001074
8.500000	-0.001701
8.520000	-0.002170
8.540000	-0.002711
8.560000	-0.002982
8.580000	-0.003095
8.600000	-0.003262
8.620000	-0.003263
8.640000	-0.003203
8.660000	-0.002980
