Tiempo(s)	Amplitud(mm)
# npts=18501
# fs=50.0000 Hz
# duracion=370.0000 s

0.000000	0.000000
0.020000	0.000000
0.040000	0.000000
0.060000	0.000000
0.080000	-0.000000
0.100000	-0.000001
0.120000	-0.000001
0.140000	-0.000002
0.160000	-0.000002
0.180000	-0.000003
0.200000	-0.000004
0.220000	-0.000005
0.240000	-0.000007
0.260000	-0.000008
0.280000	-0.000009
0.300000	-0.000011
0.320000	-0.000013
0.340000	-0.000014
0.360000	-0.000016
0.380000	-0.000018
0.400000	-0.000020
0.420000	-0.000022
0.440000	-0.000023
0.460000	-0.000025
0.480000	-0.000027
0.500000	-0.000029
0.520000	-0.000031
0.540000	-0.000033
0.560000	-0.000035
0.580000	-0.000037
0.600000	-0.000039
0.620000	-0.000041
0.640000	-0.000044
0.660000	-0.000046
0.680000	-0.000048
0.700000	-0.000050
0.720000	-0.000052
0.740000	-0.000054
0.760000	-0.000056
0.780000	-0.000058
0.800000	-0.000060
0.820000	-0.000062
0.840000	-0.000064
0.860000	-0.000066
0.880000	-0.000068
0.900000	-0.000070
0.920000	-0.000072
0.940000	-0.000074
0.960000	-0.000076
0.980000	-0.000078
1.000000	-0.000080
1.020000	-0.000082
1.040000	-0.000084
1.060000	-0.000085
1.080000	-0.000087
1.100000	-0.000089
1.120000	-0.000091
1.140000	-0.000093
1.160000	-0.000095
1.180000	-0.000097
1.200000	-0.000099
1.220000	-0.000101
1.240000	-0.000103
1.260000	-0.000105
1.280000	-0.000107
1.300000	-0.000109
1.320000	-0.000111
1.340000	-0.000113
1.360000	-0.000115
1.380000	-0.000117
1.400000	-0.000119
1.420000	-0.000120
1.440000	-0.000122
1.460000	-0.000124
1.480000	-0.000126
1.500000	-0.000127
1.520000	-0.000129
1.540000	-0.000131
1.560000	-0.000133
1.580000	-0.000135
1.600000	-0.000137
1.620000	-0.000139
1.640000	-0.000141
1.660000	-0.000143
1.680000	-0.000145
1.700000	-0.000147
1.720000	-0.000148
1.740000	-0.000150
1.760000	-0.000151
1.780000	-0.000152
1.800000	-0.000154
1.820000	-0.000155
1.840000	-0.000156
1.860000	-0.000158
1.880000	-0.000159
1.900000	-0.000161
1.920000	-0.000163
1.940000	-0.000165
1.960000	-0.000166
1.980000	-0.000168
2.000000	-0.000169
2.020000	-0.000171
2.040000	-0.000172
2.060000	-0.000173
2.080000	-0.000174
2.100000	-0.000176
2.120000	-0.000177
2.140000	-0.000179
2.160000	-0.000180
2.180000	-0.000181
2.200000	-0.000182
2.220000	-0.000183
2.240000	-0.000184
2.260000	-0.000185
2.280000	-0.000186
2.300000	-0.000187
2.320000	-0.000187
2.340000	-0.000189
2.360000	-0.000190
2.380000	-0.000190
2.400000	-0.000191
2.420000	-0.000192
2.440000	-0.000191
2.460000	-0.000191
2.480000	-0.000191
2.500000	-0.000191
2.520000	-0.000191
2.540000	-0.000191
2.560000	-0.000192
2.580000	-0.000193
2.600000	-0.000194
2.620000	-0.000197
2.640000	-0.000198
2.660000	-0.000200
2.680000	-0.000201
2.700000	-0.000202
2.720000	-0.000202
2.740000	-0.000202
2.760000	-0.000204
2.780000	-0.000206
2.800000	-0.000208
2.820000	-0.000210
2.840000	-0.000215
2.860000	-0.000221
2.880000	-0.000226
2.900000	-0.000232
2.920000	-0.000239
2.940000	-0.000245
2.960000	-0.000250
2.980000	-0.000254
3.000000	-0.000258
3.020000	-0.000260
3.040000	-0.000259
3.060000	-0.000257
3.080000	-0.000257
3.100000	-0.000253
3.120000	-0.000250
3.140000	-0.000254
3.160000	-0.000259
3.180000	-0.000263
3.200000	-0.000271
3.220000	-0.000286
3.240000	-0.000302
3.260000	-0.000318
3.280000	-0.000335
3.300000	-0.000348
3.320000	-0.000362
3.340000	-0.000372
3.360000	-0.000376
3.380000	-0.000383
3.400000	-0.000385
3.420000	-0.000377
3.440000	-0.000372
3.460000	-0.000372
3.480000	-0.000367
3.500000	-0.000359
3.520000	-0.000353
3.540000	-0.000354
3.560000	-0.000356
3.580000	-0.000358
3.600000	-0.000370
3.620000	-0.000389
3.640000	-0.000412
3.660000	-0.000439
3.680000	-0.000469
3.700000	-0.000495
3.720000	-0.000514
3.740000	-0.000524
3.760000	-0.000518
3.780000	-0.000507
3.800000	-0.000494
3.820000	-0.000475
3.840000	-0.000457
3.860000	-0.000453
3.880000	-0.000453
3.900000	-0.000460
3.920000	-0.000484
3.940000	-0.000513
3.960000	-0.000534
3.980000	-0.000552
4.000000	-0.000572
4.020000	-0.000590
4.040000	-0.000596
4.060000	-0.000592
4.080000	-0.000578
4.100000	-0.000557
4.120000	-0.000546
4.140000	-0.000528
4.160000	-0.000515
4.180000	-0.000533
4.200000	-0.000563
4.220000	-0.000607
4.240000	-0.000652
4.260000	-0.000703
4.280000	-0.000743
4.300000	-0.000750
4.320000	-0.000729
4.340000	-0.000684
4.360000	-0.000618
4.380000	-0.000513
4.400000	-0.000386
4.420000	-0.000275
4.440000	-0.000177
4.460000	-0.000088
4.480000	-0.000035
4.500000	-0.000046
4.520000	-0.000071
4.540000	-0.000106
4.560000	-0.000200
4.580000	-0.000305
4.600000	-0.000386
4.620000	-0.000486
4.640000	-0.000615
4.660000	-0.000709
4.680000	-0.000752
4.700000	-0.000774
4.720000	-0.000759
4.740000	-0.000684
4.760000	-0.000541
4.780000	-0.000378
4.800000	-0.000182
4.820000	0.000059
4.840000	0.000256
4.860000	0.000402
4.880000	0.000544
4.900000	0.000609
4.920000	0.000557
4.940000	0.000482
4.960000	0.000360
4.980000	0.000121
5.000000	-0.000148
5.020000	-0.000356
5.040000	-0.000580
5.060000	-0.000798
5.080000	-0.000861
5.100000	-0.000878
5.120000	-0.000858
5.140000	-0.000699
5.160000	-0.000485
5.180000	-0.000279
5.200000	-0.000031
5.220000	0.000270
5.240000	0.000497
5.260000	0.000612
5.280000	0.000748
5.300000	0.000906
5.320000	0.000930
5.340000	0.000818
5.360000	0.000689
5.380000	0.000546
5.400000	0.000239
5.420000	-0.000099
5.440000	-0.000346
5.460000	-0.000662
5.480000	-0.001037
5.500000	-0.001319
5.520000	-0.001469
5.540000	-0.001649
5.560000	-0.001762
5.580000	-0.001738
5.600000	-0.001617
5.620000	-0.001429
5.640000	-0.001204
5.660000	-0.000884
5.680000	-0.000599
5.700000	-0.000299
5.720000	-0.000022
5.740000	0.000068
5.760000	0.000011
5.780000	-0.000201
5.800000	-0.000530
5.820000	-0.000921
5.840000	-0.001304
5.860000	-0.001658
5.880000	-0.002021
5.900000	-0.002227
5.920000	-0.002246
5.940000	-0.002129
5.960000	-0.001883
5.980000	-0.001530
6.000000	-0.001022
6.020000	-0.000445
6.040000	0.000069
6.060000	0.000496
6.080000	0.000728
6.100000	0.000731
6.120000	0.000681
6.140000	0.000442
6.160000	-0.000052
6.180000	-0.000419
6.200000	-0.000493
6.220000	-0.000673
6.240000	-0.000799
6.260000	-0.000492
6.280000	-0.000153
6.300000	-0.000050
6.320000	0.000134
6.340000	0.000537
6.360000	0.000693
6.380000	0.000604
6.400000	0.000655
6.420000	0.000754
6.440000	0.000705
6.460000	0.000576
6.480000	0.000533
6.500000	0.000520
6.520000	0.000564
6.540000	0.000614
6.560000	0.000691
6.580000	0.000931
6.600000	0.001206
6.620000	0.001290
6.640000	0.001248
6.660000	0.001229
6.680000	0.000955
6.700000	0.000365
6.720000	-0.000194
6.740000	-0.000522
6.760000	-0.000886
6.780000	-0.001327
6.800000	-0.001406
6.820000	-0.001212
6.840000	-0.001009
6.860000	-0.000751
6.880000	-0.000184
6.900000	0.000400
6.920000	0.000812
6.940000	0.001384
6.960000	0.001914
6.980000	0.002165
7.000000	0.002116
7.020000	0.002078
7.040000	0.001930
7.060000	0.001439
7.080000	0.000883
7.100000	0.000514
7.120000	0.000174
7.140000	-0.000225
7.160000	-0.000285
7.180000	-0.000266
7.200000	-0.000058
7.220000	0.000517
7.240000	0.000990
7.260000	0.001430
7.280000	0.002036
7.300000	0.002784
7.320000	0.002956
7.340000	0.002670
7.360000	0.002664
7.380000	0.002294
7.400000	0.001370
7.420000	0.000598
7.440000	0.000399
7.460000	0.000141
7.480000	-0.000390
7.500000	-0.000161
7.520000	0.000793
7.540000	0.001394
7.560000	0.001945
7.580000	0.002984
7.600000	0.004115
7.620000	0.004709
7.640000	0.005019
7.660000	0.005660
7.680000	0.005974
7.700000	0.005617
7.720000	0.005363
7.740000	0.005457
7.760000	0.005334
7.780000	0.005015
7.800000	0.005097
7.820000	0.005502
7.840000	0.005699
7.860000	0.005675
7.880000	0.005893
7.900000	0.006069
7.920000	0.005893
7.940000	0.005623
7.960000	0.005408
7.980000	0.005430
8.000000	0.005334
8.020000	0.005403
8.040000	0.005907
8.060000	0.006427
8.080000	0.006980
8.100000	0.007455
8.120000	0.007913
8.140000	0.008338
8.160000	0.008467
8.180000	0.008167
8.200000	0.007746
8.220000	0.007508
8.240000	0.007240
8.260000	0.006391
8.280000	0.005694
8.300000	0.005891
8.320000	0.005888
8.340000	0.005218
8.360000	0.004910
8.380000	0.005049
8.400000	0.004544
8.420000	0.003748
8.440000	0.003462
8.460000	0.002859
8.480000	0.002060
8.500000	0.001834
8.520000	0.001838
8.540000	0.001593
8.560000	0.001665
8.580000	0.002127
8.600000	0.002523
8.620000	0.003281
8.640000	0.004314
