Tiempo(s)	Amplitud(mm)
# npts=18501
# fs=50.0000 Hz
# duracion=370.0000 s

0.000000	-0.000000
0.020000	-0.000000
0.040000	-0.000000
0.060000	-0.000000
0.080000	-0.000000
0.100000	-0.000001
0.120000	-0.000001
0.140000	-0.000001
0.160000	-0.000001
0.180000	-0.000002
0.200000	-0.000002
0.220000	-0.000003
0.240000	-0.000003
0.260000	-0.000004
0.280000	-0.000004
0.300000	-0.000005
0.320000	-0.000006
0.340000	-0.000006
0.360000	-0.000007
0.380000	-0.000008
0.400000	-0.000009
0.420000	-0.000009
0.440000	-0.000010
0.460000	-0.000011
0.480000	-0.000012
0.500000	-0.000013
0.520000	-0.000014
0.540000	-0.000015
0.560000	-0.000015
0.580000	-0.000016
0.600000	-0.000017
0.620000	-0.000018
0.640000	-0.000019
0.660000	-0.000020
0.680000	-0.000021
0.700000	-0.000022
0.720000	-0.000023
0.740000	-0.000024
0.760000	-0.000025
0.780000	-0.000026
0.800000	-0.000027
0.820000	-0.000028
0.840000	-0.000028
0.860000	-0.000029
0.880000	-0.000030
0.900000	-0.000031
0.920000	-0.000032
0.940000	-0.000033
0.960000	-0.000034
0.980000	-0.000035
1.000000	-0.000036
1.020000	-0.000037
1.040000	-0.000038
1.060000	-0.000039
1.080000	-0.000040
1.100000	-0.000041
1.120000	-0.000042
1.140000	-0.000043
1.160000	-0.000043
1.180000	-0.000045
1.200000	-0.000046
1.220000	-0.000046
1.240000	-0.000047
1.260000	-0.000048
1.280000	-0.000049
1.300000	-0.000050
1.320000	-0.000051
1.340000	-0.000054
1.360000	-0.000054
1.380000	-0.000056
1.400000	-0.000057
1.420000	-0.000058
1.440000	-0.000058
1.460000	-0.000057
1.480000	-0.000056
1.500000	-0.000057
1.520000	-0.000059
1.540000	-0.000062
1.560000	-0.000063
1.580000	-0.000065
1.600000	-0.000068
1.620000	-0.000073
1.640000	-0.000077
1.660000	-0.000081
1.680000	-0.000085
1.700000	-0.000086
1.720000	-0.000077
1.740000	-0.000071
1.760000	-0.000078
1.780000	-0.000064
1.800000	-0.000052
1.820000	-0.000057
1.840000	-0.000060
1.860000	-0.000069
1.880000	-0.000073
1.900000	-0.000078
1.920000	-0.000082
1.940000	-0.000086
1.960000	-0.000093
1.980000	-0.000100
2.000000	-0.000111
2.020000	-0.000122
2.040000	-0.000137
2.060000	-0.000142
2.080000	-0.000144
2.100000	-0.000143
2.120000	-0.000131
2.140000	-0.000113
2.160000	-0.000093
2.180000	-0.000080
2.200000	-0.000075
2.220000	-0.000077
2.240000	-0.000079
2.260000	-0.000083
2.280000	-0.000102
2.300000	-0.000104
2.320000	-0.000107
2.340000	-0.000135
2.360000	-0.000135
2.380000	-0.000140
2.400000	-0.000134
2.420000	-0.000127
2.440000	-0.000156
2.460000	-0.000148
2.480000	-0.000145
2.500000	-0.000163
2.520000	-0.000193
2.540000	-0.000210
2.560000	-0.000211
2.580000	-0.000259
2.600000	-0.000276
2.620000	-0.000277
2.640000	-0.000295
2.660000	-0.000282
2.680000	-0.000255
2.700000	-0.000224
2.720000	-0.000215
2.740000	-0.000175
2.760000	-0.000103
2.780000	-0.000081
2.800000	-0.000096
2.820000	-0.000108
2.840000	-0.000100
2.860000	-0.000124
2.880000	-0.000159
2.900000	-0.000170
2.920000	-0.000243
2.940000	-0.000350
2.960000	-0.000394
2.980000	-0.000422
3.000000	-0.000502
3.020000	-0.000526
3.040000	-0.000376
3.060000	-0.000219
3.080000	-0.000178
3.100000	-0.000133
3.120000	-0.000008
3.140000	0.000024
3.160000	-0.000122
3.180000	-0.000255
3.200000	-0.000319
3.220000	-0.000419
3.240000	-0.000530
3.260000	-0.000463
3.280000	-0.000261
3.300000	-0.000182
3.320000	-0.000208
3.340000	-0.000115
3.360000	0.000023
3.380000	-0.000036
3.400000	-0.000140
3.420000	-0.000129
3.440000	-0.000169
3.460000	-0.000306
3.480000	-0.000337
3.500000	-0.000252
3.520000	-0.000313
3.540000	-0.000599
3.560000	-0.000650
3.580000	-0.000375
3.600000	-0.000314
3.620000	-0.000352
3.640000	-0.000236
3.660000	-0.000125
3.680000	-0.000069
3.700000	-0.000131
3.720000	-0.000370
3.740000	-0.000630
3.760000	-0.000710
3.780000	-0.000575
3.800000	-0.000466
3.820000	-0.000618
3.840000	-0.000803
3.860000	-0.000757
3.880000	-0.000580
3.900000	-0.000362
3.920000	0.000007
3.940000	0.000302
3.960000	0.000428
3.980000	0.000488
4.000000	0.000294
4.020000	0.000016
4.040000	-0.000065
4.060000	-0.000273
4.080000	-0.000604
4.100000	-0.000580
4.120000	-0.000790
4.140000	-0.001278
4.160000	-0.001592
4.180000	-0.001664
4.200000	-0.001348
4.220000	-0.001229
4.240000	-0.001016
4.260000	-0.000573
4.280000	-0.000505
4.300000	-0.000312
4.320000	0.000334
4.340000	0.000858
4.360000	0.001073
4.380000	0.001392
4.400000	0.002254
4.420000	0.002964
4.440000	0.002555
4.460000	0.002288
4.480000	0.002491
4.500000	0.001829
4.520000	0.000260
4.540000	-0.001323
4.560000	-0.002245
4.580000	-0.003209
4.600000	-0.004577
4.620000	-0.004796
4.640000	-0.003822
4.660000	-0.003732
4.680000	-0.003915
4.700000	-0.002834
4.720000	-0.001212
4.740000	0.000077
4.760000	-0.000107
4.780000	-0.000078
4.800000	0.001787
4.820000	0.002002
4.840000	0.000495
4.860000	-0.000271
4.880000	-0.000425
4.900000	-0.000973
4.920000	-0.001961
4.940000	-0.000891
4.960000	0.000822
4.980000	0.001077
5.000000	0.002523
5.020000	0.005219
5.040000	0.006241
5.060000	0.004753
5.080000	0.002813
5.100000	0.001437
5.120000	0.000223
5.140000	-0.000678
5.160000	-0.001726
5.180000	-0.003260
5.200000	-0.004879
5.220000	-0.005776
5.240000	-0.005818
5.260000	-0.005954
5.280000	-0.005660
5.300000	-0.003597
5.320000	-0.001161
5.340000	0.000419
5.360000	0.001242
5.380000	0.000173
5.400000	-0.002058
5.420000	-0.003513
5.440000	-0.004534
5.460000	-0.006097
5.480000	-0.007268
5.500000	-0.006426
5.520000	-0.003883
5.540000	-0.001630
5.560000	0.000429
5.580000	0.004088
5.600000	0.006486
5.620000	0.006106
5.640000	0.006652
5.660000	0.007946
5.680000	0.007458
5.700000	0.004772
5.720000	0.001352
5.740000	-0.001170
5.760000	-0.003559
5.780000	-0.006747
5.800000	-0.010028
5.820000	-0.011923
5.840000	-0.010272
5.860000	-0.006467
5.880000	-0.004328
5.900000	-0.000718
5.920000	0.005375
5.940000	0.009983
5.960000	0.011198
5.980000	0.010422
6.000000	0.011946
6.020000	0.010835
6.040000	0.005773
6.060000	0.002321
6.080000	-0.000292
6.100000	-0.003273
6.120000	-0.005901
6.140000	-0.007157
6.160000	-0.009313
6.180000	-0.010084
6.200000	-0.007989
6.220000	-0.004345
6.240000	0.000651
6.260000	0.004659
6.280000	0.008911
6.300000	0.010221
6.320000	0.008584
6.340000	0.006957
6.360000	0.005519
6.380000	0.006174
6.400000	0.005355
6.420000	0.004481
6.440000	0.007115
6.460000	0.011190
6.480000	0.014614
6.500000	0.014570
6.520000	0.012094
6.540000	0.010157
6.560000	0.009114
6.580000	0.007193
6.600000	0.003809
6.620000	0.000975
6.640000	-0.000673
6.660000	-0.000794
6.680000	-0.000719
6.700000	-0.005516
6.720000	-0.010395
6.740000	-0.007380
6.760000	0.000029
6.780000	0.008292
6.800000	0.016552
6.820000	0.025496
6.840000	0.030597
6.860000	0.030554
6.880000	0.029352
6.900000	0.025460
6.920000	0.021896
6.940000	0.018113
6.960000	0.014343
6.980000	0.014419
7.000000	0.013460
7.020000	0.008800
7.040000	0.006130
7.060000	0.004380
7.080000	0.002396
7.100000	0.002442
7.120000	0.000915
7.140000	-0.001230
7.160000	-0.002858
7.180000	-0.001975
7.200000	0.000039
7.220000	-0.000034
7.240000	0.003009
7.260000	0.007492
7.280000	0.006559
7.300000	0.004945
7.320000	0.005209
7.340000	0.005918
7.360000	0.009836
7.380000	0.013582
7.400000	0.019658
7.420000	0.023846
7.440000	0.021857
7.460000	0.023860
7.480000	0.021708
7.500000	0.011459
7.520000	0.002021
7.540000	-0.006311
7.560000	-0.006721
7.580000	-0.009237
7.600000	-0.016054
7.620000	-0.016727
7.640000	-0.015704
7.660000	-0.011492
7.680000	-0.015152
7.700000	-0.010178
7.720000	0.004784
7.740000	0.009613
7.760000	0.010493
7.780000	0.003898
7.800000	0.007540
7.820000	0.017100
7.840000	0.016329
7.860000	0.004543
7.880000	-0.012172
7.900000	-0.016391
7.920000	-0.018652
7.940000	-0.028770
7.960000	-0.041826
7.980000	-0.044357
8.000000	-0.033399
8.020000	-0.024894
8.040000	-0.022197
8.060000	-0.015512
8.080000	-0.000235
8.100000	0.005056
8.120000	-0.003531
8.140000	-0.004986
8.160000	-0.005440
8.180000	-0.011399
8.200000	-0.026821
8.220000	-0.041886
8.240000	-0.035173
8.260000	-0.030974
8.280000	-0.041220
8.300000	-0.051744
8.320000	-0.047446
8.340000	-0.029425
8.360000	-0.021563
8.380000	-0.022782
8.400000	-0.016358
8.420000	-0.002347
8.440000	0.001990
8.460000	-0.010761
8.480000	-0.025159
8.500000	-0.028834
8.520000	-0.033883
8.540000	-0.041883
8.560000	-0.046963
8.580000	-0.053353
8.600000	-0.049797
8.620000	-0.036557
