Tiempo(s)	Amplitud(mm)
# npts=17128
# fs=50.0000 Hz
# duracion=342.5400 s

0.000000	0.000000
0.020000	-0.000000
0.040000	0.000000
0.060000	-0.000000
0.080000	-0.000000
0.100000	-0.000001
0.120000	-0.000001
0.140000	-0.000002
0.160000	-0.000003
0.180000	-0.000004
0.200000	-0.000005
0.220000	-0.000007
0.240000	-0.000008
0.260000	-0.000010
0.280000	-0.000011
0.300000	-0.000013
0.320000	-0.000014
0.340000	-0.000017
0.360000	-0.000018
0.380000	-0.000021
0.400000	-0.000022
0.420000	-0.000025
0.440000	-0.000027
0.460000	-0.000029
0.480000	-0.000031
0.500000	-0.000034
0.520000	-0.000036
0.540000	-0.000038
0.560000	-0.000040
0.580000	-0.000043
0.600000	-0.000045
0.620000	-0.000048
0.640000	-0.000049
0.660000	-0.000052
0.680000	-0.000054
0.700000	-0.000057
0.720000	-0.000058
0.740000	-0.000061
0.760000	-0.000063
0.780000	-0.000066
0.800000	-0.000067
0.820000	-0.000070
0.840000	-0.000071
0.860000	-0.000074
0.880000	-0.000076
0.900000	-0.000078
0.920000	-0.000080
0.940000	-0.000083
0.960000	-0.000084
0.980000	-0.000087
1.000000	-0.000088
1.020000	-0.000091
1.040000	-0.000092
1.060000	-0.000095
1.080000	-0.000096
1.100000	-0.000099
1.120000	-0.000100
1.140000	-0.000103
1.160000	-0.000104
1.180000	-0.000107
1.200000	-0.000108
1.220000	-0.000110
1.240000	-0.000112
1.260000	-0.000114
1.280000	-0.000116
1.300000	-0.000118
1.320000	-0.000118
1.340000	-0.000121
1.360000	-0.000122
1.380000	-0.000124
1.400000	-0.000126
1.420000	-0.000127
1.440000	-0.000129
1.460000	-0.000132
1.480000	-0.000133
1.500000	-0.000135
1.520000	-0.000136
1.540000	-0.000138
1.560000	-0.000139
1.580000	-0.000139
1.600000	-0.000142
1.620000	-0.000142
1.640000	-0.000142
1.660000	-0.000145
1.680000	-0.000141
1.700000	-0.000146
1.720000	-0.000146
1.740000	-0.000146
1.760000	-0.000151
1.780000	-0.000148
1.800000	-0.000151
1.820000	-0.000154
1.840000	-0.000150
1.860000	-0.000156
1.880000	-0.000154
1.900000	-0.000154
1.920000	-0.000156
1.940000	-0.000152
1.960000	-0.000158
1.980000	-0.000160
2.000000	-0.000155
2.020000	-0.000164
2.040000	-0.000158
2.060000	-0.000160
2.080000	-0.000167
2.100000	-0.000164
2.120000	-0.000170
2.140000	-0.000166
2.160000	-0.000168
2.180000	-0.000172
2.200000	-0.000165
2.220000	-0.000179
2.240000	-0.000174
2.260000	-0.000170
2.280000	-0.000180
2.300000	-0.000172
2.320000	-0.000176
2.340000	-0.000180
2.360000	-0.000181
2.380000	-0.000201
2.400000	-0.000198
2.420000	-0.000205
2.440000	-0.000215
2.460000	-0.000205
2.480000	-0.000223
2.500000	-0.000213
2.520000	-0.000193
2.540000	-0.000215
2.560000	-0.000192
2.580000	-0.000197
2.600000	-0.000195
2.620000	-0.000179
2.640000	-0.000250
2.660000	-0.000236
2.680000	-0.000238
2.700000	-0.000244
2.720000	-0.000180
2.740000	-0.000241
2.760000	-0.000238
2.780000	-0.000201
2.800000	-0.000226
2.820000	-0.000208
2.840000	-0.000230
2.860000	-0.000228
2.880000	-0.000182
2.900000	-0.000239
2.920000	-0.000235
2.940000	-0.000203
2.960000	-0.000260
2.980000	-0.000215
3.000000	-0.000241
3.020000	-0.000245
3.040000	-0.000197
3.060000	-0.000247
3.080000	-0.000147
3.100000	-0.000176
3.120000	-0.000170
3.140000	-0.000077
3.160000	-0.000191
3.180000	-0.000131
3.200000	-0.000086
3.220000	-0.000094
3.240000	0.000005
3.260000	-0.000039
3.280000	-0.000073
3.300000	-0.000123
3.320000	-0.000229
3.340000	-0.000201
3.360000	-0.000262
3.380000	-0.000345
3.400000	-0.000234
3.420000	-0.000247
3.440000	-0.000125
3.460000	-0.000052
3.480000	-0.000060
3.500000	0.000114
3.520000	-0.000078
3.540000	-0.000029
3.560000	-0.000147
3.580000	-0.000458
3.600000	-0.000273
3.620000	-0.000505
3.640000	-0.000421
3.660000	-0.000209
3.680000	-0.000358
3.700000	-0.000113
3.720000	-0.000130
3.740000	-0.000280
3.760000	-0.000110
3.780000	-0.000226
3.800000	-0.000212
3.820000	-0.000006
3.840000	-0.000249
3.860000	-0.000068
3.880000	-0.000075
3.900000	-0.000341
3.920000	-0.000202
3.940000	-0.000596
3.960000	-0.000483
3.980000	-0.000544
4.000000	-0.000850
4.020000	-0.000411
4.040000	-0.000552
4.060000	-0.000368
4.080000	-0.000249
4.100000	-0.000706
4.120000	-0.000672
4.140000	-0.000886
4.160000	-0.001103
4.180000	-0.000863
4.200000	-0.001012
4.220000	-0.000801
4.240000	-0.000476
4.260000	-0.001004
4.280000	-0.000760
4.300000	-0.000955
4.320000	-0.001066
4.340000	-0.000579
4.360000	-0.001022
4.380000	-0.000642
4.400000	-0.001065
4.420000	-0.001363
4.440000	-0.001279
4.460000	-0.002256
4.480000	-0.001747
4.500000	-0.001567
4.520000	-0.001763
4.540000	-0.001452
4.560000	-0.001784
4.580000	-0.001590
4.600000	-0.001259
4.620000	-0.001803
4.640000	-0.001437
4.660000	-0.001125
4.680000	-0.001501
4.700000	-0.000782
4.720000	-0.001363
4.740000	-0.001097
4.760000	-0.000746
4.780000	-0.001854
4.800000	-0.001264
4.820000	-0.002329
4.840000	-0.002397
4.860000	-0.001401
4.880000	-0.002261
4.900000	-0.001129
4.920000	-0.000589
4.940000	-0.000285
4.960000	0.000740
4.980000	-0.000051
5.000000	0.000071
5.020000	-0.000103
5.040000	-0.000771
5.060000	-0.000290
5.080000	-0.001188
5.100000	-0.001302
5.120000	-0.000580
5.140000	-0.001705
5.160000	-0.000958
5.180000	-0.001063
5.200000	-0.002170
5.220000	-0.000250
5.240000	-0.000934
5.260000	-0.001146
5.280000	-0.000407
5.300000	-0.001098
5.320000	0.000080
5.340000	-0.000988
5.360000	-0.002381
5.380000	-0.002069
5.400000	-0.002435
5.420000	-0.001947
5.440000	-0.002015
5.460000	-0.002484
5.480000	-0.001698
5.500000	-0.002719
5.520000	-0.002684
