Tiempo(s)	Amplitud(mm)
# npts=17096
# fs=50.0000 Hz
# duracion=341.9000 s

0.000000	0.000021
0.020000	0.000022
0.040000	0.000026
0.060000	0.000035
0.080000	0.000052
0.100000	0.000078
0.120000	0.000114
0.140000	0.000160
0.160000	0.000216
0.180000	0.000282
0.200000	0.000358
0.220000	0.000443
0.240000	0.000537
0.260000	0.000638
0.280000	0.000747
0.300000	0.000863
0.320000	0.000985
0.340000	0.001112
0.360000	0.001244
0.380000	0.001380
0.400000	0.001520
0.420000	0.001663
0.440000	0.001808
0.460000	0.001956
0.480000	0.002106
0.500000	0.002256
0.520000	0.002409
0.540000	0.002562
0.560000	0.002716
0.580000	0.002870
0.600000	0.003025
0.620000	0.003180
0.640000	0.003335
0.660000	0.003490
0.680000	0.003645
0.700000	0.003800
0.720000	0.003955
0.740000	0.004110
0.760000	0.004264
0.780000	0.004418
0.800000	0.004572
0.820000	0.004725
0.840000	0.004878
0.860000	0.005031
0.880000	0.005184
0.900000	0.005336
0.920000	0.005488
0.940000	0.005639
0.960000	0.005791
0.980000	0.005942
1.000000	0.006093
1.020000	0.006242
1.040000	0.006392
1.060000	0.006542
1.080000	0.006692
1.100000	0.006841
1.120000	0.006990
1.140000	0.007138
1.160000	0.007286
1.180000	0.007433
1.200000	0.007581
1.220000	0.007729
1.240000	0.007876
1.260000	0.008023
1.280000	0.008168
1.300000	0.008313
1.320000	0.008458
1.340000	0.008604
1.360000	0.008750
1.380000	0.008892
1.400000	0.009040
1.420000	0.009186
1.440000	0.009324
1.460000	0.009464
1.480000	0.009608
1.500000	0.009750
1.520000	0.009893
1.540000	0.010036
1.560000	0.010175
1.580000	0.010313
1.600000	0.010450
1.620000	0.010587
1.640000	0.010729
1.660000	0.010871
1.680000	0.011010
1.700000	0.011142
1.720000	0.011276
1.740000	0.011417
1.760000	0.011554
1.780000	0.011689
1.800000	0.011819
1.820000	0.011952
1.840000	0.012090
1.860000	0.012221
1.880000	0.012359
1.900000	0.012486
1.920000	0.012609
1.940000	0.012735
1.960000	0.012872
1.980000	0.013016
2.000000	0.013147
2.020000	0.013258
2.040000	0.013359
2.060000	0.013498
2.080000	0.013652
2.100000	0.013783
2.120000	0.013901
2.140000	0.014001
2.160000	0.014119
2.180000	0.014249
2.200000	0.014399
2.220000	0.014530
2.240000	0.014626
2.260000	0.014757
2.280000	0.014900
2.300000	0.015030
2.320000	0.015137
2.340000	0.015227
2.360000	0.015285
2.380000	0.015376
2.400000	0.015558
2.420000	0.015754
2.440000	0.015875
2.460000	0.015893
2.480000	0.015977
2.500000	0.016090
2.520000	0.016207
2.540000	0.016334
2.560000	0.016493
2.580000	0.016679
2.600000	0.016658
2.620000	0.016711
2.640000	0.016831
2.660000	0.016966
2.680000	0.017191
2.700000	0.017339
2.720000	0.017351
2.740000	0.017313
2.760000	0.017442
2.780000	0.017531
2.800000	0.017740
2.820000	0.017906
2.840000	0.018061
2.860000	0.018142
2.880000	0.017948
2.900000	0.018019
2.920000	0.018187
2.940000	0.018531
2.960000	0.018786
2.980000	0.018778
3.000000	0.018609
3.020000	0.018453
3.040000	0.018538
3.060000	0.018821
3.080000	0.019439
3.100000	0.019660
3.120000	0.019370
3.140000	0.019093
3.160000	0.019123
3.180000	0.019431
3.200000	0.020019
3.220000	0.020248
3.240000	0.019775
3.260000	0.019472
3.280000	0.019561
3.300000	0.019850
3.320000	0.020194
3.340000	0.020746
3.360000	0.020825
3.380000	0.020142
3.400000	0.019592
3.420000	0.019634
3.440000	0.020228
3.460000	0.021420
3.480000	0.022125
3.500000	0.021403
3.520000	0.020254
3.540000	0.019550
3.560000	0.020224
3.580000	0.021489
3.600000	0.022142
3.620000	0.021677
3.640000	0.020415
3.660000	0.019950
3.680000	0.020569
3.700000	0.021575
3.720000	0.022142
3.740000	0.022154
3.760000	0.021631
3.780000	0.021155
3.800000	0.020925
3.820000	0.021383
3.840000	0.022412
3.860000	0.022468
3.880000	0.022397
3.900000	0.021824
3.920000	0.020941
3.940000	0.021401
3.960000	0.021898
3.980000	0.022646
4.000000	0.022863
4.020000	0.021080
4.040000	0.019462
4.060000	0.020419
4.080000	0.022352
4.100000	0.022069
4.120000	0.022094
4.140000	0.022326
4.160000	0.022104
4.180000	0.022182
4.200000	0.021392
4.220000	0.021263
4.240000	0.021792
4.260000	0.023101
4.280000	0.023384
4.300000	0.022442
4.320000	0.021908
4.340000	0.022077
4.360000	0.022225
4.380000	0.021205
4.400000	0.020878
