Tiempo(s)	Amplitud(mm)
# npts=18501
# fs=50.0000 Hz
# duracion=370.0000 s

0.000000	0.000002
0.020000	0.000002
0.040000	0.000002
0.060000	0.000002
0.080000	0.000002
0.100000	0.000002
0.120000	0.000002
0.140000	0.000002
0.160000	0.000002
0.180000	0.000003
0.200000	0.000003
0.220000	0.000003
0.240000	0.000003
0.260000	0.000004
0.280000	0.000004
0.300000	0.000004
0.320000	0.000005
0.340000	0.000005
0.360000	0.000006
0.380000	0.000006
0.400000	0.000007
0.420000	0.000008
0.440000	0.000008
0.460000	0.000009
0.480000	0.000010
0.500000	0.000011
0.520000	0.000012
0.540000	0.000013
0.560000	0.000014
0.580000	0.000015
0.600000	0.000016
0.620000	0.000017
0.640000	0.000019
0.660000	0.000020
0.680000	0.000021
0.700000	0.000023
0.720000	0.000024
0.740000	0.000026
0.760000	0.000027
0.780000	0.000029
0.800000	0.000031
0.820000	0.000033
0.840000	0.000035
0.860000	0.000036
0.880000	0.000038
0.900000	0.000040
0.920000	0.000042
0.940000	0.000045
0.960000	0.000047
0.980000	0.000049
1.000000	0.000051
1.020000	0.000054
1.040000	0.000056
1.060000	0.000059
1.080000	0.000061
1.100000	0.000064
1.120000	0.000066
1.140000	0.000069
1.160000	0.000072
1.180000	0.000075
1.200000	0.000077
1.220000	0.000080
1.240000	0.000083
1.260000	0.000087
1.280000	0.000090
1.300000	0.000093
1.320000	0.000096
1.340000	0.000099
1.360000	0.000103
1.380000	0.000106
1.400000	0.000110
1.420000	0.000113
1.440000	0.000117
1.460000	0.000121
1.480000	0.000125
1.500000	0.000129
1.520000	0.000132
1.540000	0.000136
1.560000	0.000140
1.580000	0.000145
1.600000	0.000149
1.620000	0.000153
1.640000	0.000157
1.660000	0.000162
1.680000	0.000166
1.700000	0.000171
1.720000	0.000176
1.740000	0.000181
1.760000	0.000185
1.780000	0.000190
1.800000	0.000195
1.820000	0.000201
1.840000	0.000206
1.860000	0.000211
1.880000	0.000216
1.900000	0.000222
1.920000	0.000227
1.940000	0.000232
1.960000	0.000238
1.980000	0.000244
2.000000	0.000249
2.020000	0.000255
2.040000	0.000261
2.060000	0.000267
2.080000	0.000273
2.100000	0.000278
2.120000	0.000284
2.140000	0.000290
2.160000	0.000296
2.180000	0.000303
2.200000	0.000309
2.220000	0.000316
2.240000	0.000322
2.260000	0.000328
2.280000	0.000335
2.300000	0.000341
2.320000	0.000347
2.340000	0.000354
2.360000	0.000360
2.380000	0.000368
2.400000	0.000376
2.420000	0.000382
2.440000	0.000390
2.460000	0.000397
2.480000	0.000405
2.500000	0.000412
2.520000	0.000419
2.540000	0.000428
2.560000	0.000436
2.580000	0.000445
2.600000	0.000453
2.620000	0.000463
2.640000	0.000472
2.660000	0.000481
2.680000	0.000490
2.700000	0.000499
2.720000	0.000507
2.740000	0.000516
2.760000	0.000528
2.780000	0.000538
2.800000	0.000549
2.820000	0.000562
2.840000	0.000574
2.860000	0.000587
2.880000	0.000598
2.900000	0.000610
2.920000	0.000624
2.940000	0.000636
2.960000	0.000648
2.980000	0.000664
3.000000	0.000677
3.020000	0.000688
3.040000	0.000703
3.060000	0.000719
3.080000	0.000733
3.100000	0.000746
3.120000	0.000761
3.140000	0.000774
3.160000	0.000786
3.180000	0.000805
3.200000	0.000821
3.220000	0.000835
3.240000	0.000853
3.260000	0.000870
3.280000	0.000887
3.300000	0.000902
3.320000	0.000919
3.340000	0.000941
3.360000	0.000958
3.380000	0.000979
3.400000	0.000994
3.420000	0.001018
3.440000	0.001039
3.460000	0.001045
3.480000	0.001057
3.500000	0.001070
3.520000	0.001075
3.540000	0.001083
3.560000	0.001098
3.580000	0.001108
3.600000	0.001119
3.620000	0.001133
3.640000	0.001139
3.660000	0.001152
3.680000	0.001166
3.700000	0.001174
3.720000	0.001193
3.740000	0.001212
3.760000	0.001228
3.780000	0.001233
3.800000	0.001248
3.820000	0.001257
3.840000	0.001251
3.860000	0.001260
3.880000	0.001266
3.900000	0.001269
3.920000	0.001270
3.940000	0.001279
3.960000	0.001288
3.980000	0.001285
4.000000	0.001282
4.020000	0.001279
4.040000	0.001276
4.060000	0.001278
4.080000	0.001289
4.100000	0.001298
4.120000	0.001291
4.140000	0.001291
4.160000	0.001291
4.180000	0.001286
4.200000	0.001293
4.220000	0.001286
4.240000	0.001275
4.260000	0.001276
4.280000	0.001263
4.300000	0.001242
4.320000	0.001244
4.340000	0.001258
4.360000	0.001232
4.380000	0.001213
4.400000	0.001216
4.420000	0.001183
4.440000	0.001160
4.460000	0.001135
4.480000	0.001100
4.500000	0.001084
4.520000	0.001062
4.540000	0.001053
4.560000	0.001030
4.580000	0.000990
4.600000	0.000980
4.620000	0.000960
4.640000	0.000941
4.660000	0.000955
4.680000	0.000941
4.700000	0.000920
4.720000	0.000958
4.740000	0.000958
4.760000	0.000964
4.780000	0.000968
4.800000	0.000937
4.820000	0.000947
4.840000	0.000931
4.860000	0.000892
4.880000	0.000871
4.900000	0.000863
4.920000	0.000828
4.940000	0.000817
4.960000	0.000847
4.980000	0.000839
5.000000	0.000833
5.020000	0.000796
5.040000	0.000784
5.060000	0.000848
5.080000	0.000850
5.100000	0.000873
5.120000	0.000937
5.140000	0.000942
5.160000	0.000946
5.180000	0.001003
5.200000	0.001070
5.220000	0.001126
5.240000	0.001168
5.260000	0.001216
5.280000	0.001281
5.300000	0.001299
5.320000	0.001355
5.340000	0.001426
5.360000	0.001481
5.380000	0.001546
5.400000	0.001569
5.420000	0.001670
5.440000	0.001764
5.460000	0.001814
5.480000	0.001849
5.500000	0.001895
5.520000	0.001960
5.540000	0.001964
5.560000	0.001992
5.580000	0.002055
5.600000	0.002143
5.620000	0.002303
5.640000	0.002471
5.660000	0.002565
5.680000	0.002758
5.700000	0.002896
5.720000	0.002987
5.740000	0.003169
5.760000	0.003264
5.780000	0.003483
5.800000	0.003606
5.820000	0.003773
5.840000	0.003920
5.860000	0.003881
5.880000	0.004095
5.900000	0.004241
5.920000	0.004317
5.940000	0.004331
5.960000	0.004416
5.980000	0.004648
6.000000	0.004652
6.020000	0.004803
6.040000	0.004886
6.060000	0.004819
6.080000	0.005006
6.100000	0.005049
6.120000	0.004953
6.140000	0.004965
6.160000	0.005062
6.180000	0.005079
6.200000	0.005001
6.220000	0.005125
6.240000	0.005160
6.260000	0.005086
6.280000	0.005029
6.300000	0.005014
6.320000	0.005052
6.340000	0.005019
6.360000	0.004999
6.380000	0.004856
6.400000	0.004767
6.420000	0.004594
6.440000	0.004323
6.460000	0.004229
6.480000	0.004003
6.500000	0.003937
6.520000	0.003811
6.540000	0.003664
6.560000	0.003704
6.580000	0.003524
6.600000	0.003494
6.620000	0.003491
6.640000	0.003348
6.660000	0.003212
6.680000	0.003014
6.700000	0.002931
6.720000	0.002765
6.740000	0.002582
6.760000	0.002633
6.780000	0.002562
6.800000	0.002625
6.820000	0.002686
6.840000	0.002675
6.860000	0.002842
6.880000	0.002940
6.900000	0.003034
6.920000	0.002895
6.940000	0.002959
6.960000	0.002960
6.980000	0.003004
7.000000	0.003384
7.020000	0.003324
7.040000	0.003295
7.060000	0.003265
7.080000	0.003224
7.100000	0.003075
7.120000	0.002834
7.140000	0.002820
7.160000	0.002710
7.180000	0.002656
7.200000	0.002651
7.220000	0.002595
7.240000	0.002614
7.260000	0.002440
7.280000	0.002195
7.300000	0.002197
7.320000	0.001965
7.340000	0.001828
7.360000	0.001762
7.380000	0.001405
7.400000	0.001330
7.420000	0.001504
7.440000	0.001446
7.460000	0.001446
7.480000	0.001525
7.500000	0.001618
7.520000	0.001884
7.540000	0.001780
7.560000	0.001825
7.580000	0.002062
7.600000	0.002088
7.620000	0.002254
7.640000	0.002300
7.660000	0.002245
7.680000	0.002226
7.700000	0.001998
7.720000	0.001890
7.740000	0.002031
7.760000	0.002232
7.780000	0.002290
7.800000	0.002319
7.820000	0.002791
7.840000	0.003262
7.860000	0.003591
7.880000	0.004084
7.900000	0.004663
7.920000	0.005217
7.940000	0.005628
7.960000	0.006008
7.980000	0.006761
8.000000	0.007323
8.020000	0.007597
8.040000	0.007964
8.060000	0.008469
8.080000	0.009149
8.100000	0.009271
8.120000	0.009743
8.140000	0.010572
8.160000	0.011062
8.180000	0.011590
8.200000	0.012122
8.220000	0.012948
8.240000	0.013453
8.260000	0.013902
8.280000	0.014986
8.300000	0.015503
8.320000	0.015814
8.340000	0.016589
8.360000	0.016871
8.380000	0.017124
8.400000	0.017233
8.420000	0.017056
8.440000	0.017098
8.460000	0.016846
8.480000	0.016167
8.500000	0.015342
8.520000	0.014969
8.540000	0.014402
8.560000	0.013475
8.580000	0.012804
8.600000	0.012010
8.620000	0.010855
8.640000	0.009791
8.660000	0.009235
8.680000	0.008709
8.700000	0.007920
8.720000	0.007290
8.740000	0.006516
8.760000	0.005465
8.780000	0.005002
8.800000	0.004341
8.820000	0.003628
8.840000	0.003707
8.860000	0.003591
8.880000	0.003298
8.900000	0.003422
8.920000	0.003492
8.940000	0.003540
8.960000	0.003167
8.980000	0.002701
9.000000	0.002522
9.020000	0.001960
9.040000	0.001978
9.060000	0.001577
9.080000	0.000769
9.100000	0.000468
9.120000	-0.000118
9.140000	-0.000214
9.160000	-0.000410
9.180000	-0.000786
9.200000	-0.000685
9.220000	-0.000971
